站点编号,观测时间,存储时间,1小时时段降水量(毫米),日降水量(毫米),当前降水量(毫米),1分钟时段降水量(毫米),5分钟时段降水量(毫米),10分钟时段降水量(毫米),30分钟时段降水量(毫米),降水量累计值(毫米),小时水量1(立方米/小时),信号强度(百分比),浊度1(度),电源电压(伏特),水位1(米),报警信息
0210150002,2021-10-03 05:50:00,2021-10-03 05:50:31,,,0.0,0.0,0.0,0.0,,862.0,0.000,75,38.0,12.89,0.000,129
0210150002,2021-10-03 05:45:00,2021-10-03 05:45:23,,,0.0,0.0,0.0,,,862.0,0.000,78,37.9,12.88,0.000,129
0210150002,2021-10-03 05:40:00,2021-10-03 05:40:21,,,0.0,0.0,0.0,0.0,,862.0,0.000,78,37.9,12.90,0.000,129
0210150002,2021-10-03 05:35:00,2021-10-03 05:35:23,,,0.0,0.0,0.0,,,862.0,0.000,78,37.8,12.89,0.000,129
0210150002,2021-10-03 05:30:00,2021-10-03 05:30:21,,,0.0,0.0,0.0,0.0,0.0,862.0,0.000,78,37.8,12.89,0.000,129
0210150002,2021-10-03 05:25:00,2021-10-03 05:25:24,,,0.0,0.0,0.0,,,862.0,0.000,78,37.6,12.90,0.000,129
0210150002,2021-10-03 05:20:00,2021-10-03 05:20:21,,,0.0,0.0,0.0,0.0,,862.0,0.000,84,37.9,12.91,0.000,129
0210150002,2021-10-03 05:15:00,2021-10-03 05:15:20,,,0.0,0.0,0.0,,,862.0,0.000,78,37.9,12.91,0.000,129
0210150002,2021-10-03 05:10:00,2021-10-03 05:10:23,,,0.0,0.0,0.0,0.0,,862.0,0.000,78,37.8,12.89,0.000,129
0210150002,2021-10-03 05:05:00,2021-10-03 05:05:22,,,0.0,0.0,0.0,,,862.0,0.000,81,37.7,12.91,0.000,129
0210150002,2021-10-03 05:00:00,2021-10-03 05:00:29,,,0.0,0.0,0.0,0.0,0.0,862.0,0.000,84,37.6,12.91,0.000,129
0210150002,2021-10-03 04:55:00,2021-10-03 04:55:24,,,0.0,0.0,0.0,,,862.0,0.000,78,37.9,12.91,0.000,129
0210150002,2021-10-03 04:50:00,2021-10-03 04:50:24,,,0.0,0.0,0.0,0.0,,862.0,0.000,78,37.9,12.91,0.000,129
0210150002,2021-10-03 04:45:00,2021-10-03 04:45:23,,,0.0,0.0,0.0,,,862.0,0.000,78,37.8,12.91,0.000,129
0210150002,2021-10-03 04:40:00,2021-10-03 04:40:31,,,0.0,0.0,0.0,0.0,,862.0,0.000,78,37.8,12.91,0.000,129
0210150002,2021-10-03 04:35:00,2021-10-03 04:35:22,,,0.0,0.0,0.0,,,862.0,0.000,78,37.5,12.92,0.000,129
0210150002,2021-10-03 04:30:00,2021-10-03 04:30:23,,,0.0,0.0,0.0,0.0,0.0,862.0,0.000,84,37.4,12.93,0.000,129
0210150002,2021-10-03 04:25:00,2021-10-03 04:25:20,,,0.0,0.0,0.0,,,862.0,0.000,78,37.6,12.92,0.000,129
0210150002,2021-10-03 04:20:00,2021-10-03 04:20:29,,,0.0,0.0,0.0,0.0,,862.0,0.000,81,37.6,12.93,0.000,129
0210150002,2021-10-03 04:15:00,2021-10-03 04:15:23,,,0.0,0.0,0.0,,,862.0,0.000,78,37.8,12.93,0.000,129
0210150002,2021-10-03 04:10:00,2021-10-03 04:10:30,,,0.0,0.0,0.0,0.0,,862.0,0.000,84,37.4,12.94,0.000,129
0210150002,2021-10-03 04:05:00,2021-10-03 04:05:22,,,0.0,0.0,0.0,,,862.0,0.000,78,37.6,12.94,0.000,129
0210150002,2021-10-03 04:00:00,2021-10-03 04:00:23,,,0.0,0.0,0.0,0.0,0.0,862.0,0.000,81,37.8,12.94,0.000,129
0210150002,2021-10-03 03:55:00,2021-10-03 03:55:21,,,0.0,0.0,0.0,,,862.0,0.000,78,37.7,12.94,0.000,129
0210150002,2021-10-03 03:50:00,2021-10-03 03:50:23,,,0.0,0.0,0.0,0.0,,862.0,0.000,78,37.7,12.94,0.000,129
0210150002,2021-10-03 03:45:00,2021-10-03 03:45:21,,,0.0,0.0,0.0,,,862.0,0.000,78,37.6,12.95,0.000,129
0210150002,2021-10-03 03:40:00,2021-10-03 03:40:21,,,0.0,0.0,0.0,0.0,,862.0,0.000,84,37.7,12.95,0.000,129
0210150002,2021-10-03 03:35:00,2021-10-03 03:35:23,,,0.0,0.0,0.0,,,862.0,0.000,75,37.9,12.95,0.000,129
0210150002,2021-10-03 03:30:00,2021-10-03 03:30:26,,,0.0,0.0,0.0,0.0,0.0,862.0,0.000,78,37.8,12.95,0.000,129
0210150002,2021-10-03 03:25:00,2021-10-03 03:25:21,,,0.0,0.0,0.0,,,862.0,0.000,78,37.9,12.95,0.000,129
0210150002,2021-10-03 03:20:00,2021-10-03 03:20:21,,,0.0,0.0,0.0,0.0,,862.0,0.000,78,37.9,12.95,0.000,129
0210150002,2021-10-03 03:15:00,2021-10-03 03:15:22,,,0.0,0.0,0.0,,,862.0,0.000,78,37.8,12.95,0.000,129
0210150002,2021-10-03 03:10:00,2021-10-03 03:10:22,,,0.0,0.0,0.0,0.0,,862.0,0.000,78,37.8,12.95,0.000,129
0210150002,2021-10-03 03:05:00,2021-10-03 03:05:22,,,0.0,0.0,0.0,,,862.0,0.000,75,37.5,12.95,0.000,129
0210150002,2021-10-03 03:00:00,2021-10-03 03:00:20,,,0.0,0.0,0.0,0.0,0.0,862.0,0.000,78,37.4,12.96,0.000,129
0210150002,2021-10-03 02:55:00,2021-10-03 02:55:23,,,0.0,0.0,0.0,,,862.0,0.000,78,37.3,12.95,0.000,129
0210150002,2021-10-03 02:50:00,2021-10-03 02:50:21,,,0.0,0.0,0.0,0.0,,862.0,0.000,78,37.5,12.96,0.000,129
0210150002,2021-10-03 02:45:00,2021-10-03 02:45:20,,,0.0,0.0,0.0,,,862.0,0.000,78,37.8,12.95,0.000,129
0210150002,2021-10-03 02:40:00,2021-10-03 02:40:19,,,0.0,0.0,0.0,0.0,,862.0,0.000,78,37.8,12.95,0.000,129
0210150002,2021-10-03 02:35:00,2021-10-03 02:35:29,,,0.0,0.0,0.0,,,862.0,0.000,78,37.8,12.96,0.000,129
0210150002,2021-10-03 02:30:00,2021-10-03 02:30:24,,,0.0,0.0,0.0,0.0,0.0,862.0,0.000,78,37.8,12.96,0.000,129
0210150002,2021-10-03 02:25:00,2021-10-03 02:25:21,,,0.0,0.0,0.0,,,862.0,0.000,78,37.8,12.96,0.000,129
0210150002,2021-10-03 02:20:00,2021-10-03 02:20:21,,,0.0,0.0,0.0,0.0,,862.0,0.000,78,37.8,12.96,0.000,129
0210150002,2021-10-03 02:15:00,2021-10-03 02:15:22,,,0.0,0.0,0.0,,,862.0,0.000,78,37.8,12.96,0.000,129
0210150002,2021-10-03 02:10:00,2021-10-03 02:10:23,,,0.0,0.0,0.0,0.0,,862.0,0.000,78,37.8,12.96,0.000,129
0210150002,2021-10-03 02:05:00,2021-10-03 02:05:20,,,0.0,0.0,0.0,,,862.0,0.000,78,37.5,12.96,0.000,129
0210150002,2021-10-03 02:00:00,2021-10-03 02:00:25,,,0.0,0.0,0.0,0.0,0.0,862.0,0.000,78,37.7,12.97,0.000,129
0210150002,2021-10-03 01:55:00,2021-10-03 01:55:19,,,0.0,0.0,0.0,,,862.0,0.000,78,37.7,12.98,0.000,129
