站点编号,观测时间,存储时间,累计流量1(立方米),流量计1安装高度(米),小时水量1(立方米/小时),信号强度(百分比),浊度1(度),流速1(米/秒),电量(百分比),电源电压(伏特),水位计1安装高度(米),水位1(米),报警信息
0201330009,2022-09-25 23:55:00,2022-09-25 23:55:22,10561.74149,0.070,NaN,59,1.0,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 23:50:00,2022-09-25 23:50:21,10561.74149,0.070,NaN,68,1.2,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 23:45:00,2022-09-25 23:45:19,10561.74149,0.070,NaN,65,1.6,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 23:40:00,2022-09-25 23:40:23,10561.74149,0.070,NaN,68,2.0,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 23:35:00,2022-09-25 23:35:23,10561.74149,0.070,NaN,65,2.0,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 23:30:00,2022-09-25 23:30:20,10561.74149,0.070,NaN,68,2.0,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 23:25:00,2022-09-25 23:25:26,10561.74149,0.070,NaN,68,1.9,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 23:20:00,2022-09-25 23:20:28,10561.74149,0.070,NaN,62,1.7,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 23:15:00,2022-09-25 23:15:27,10561.74149,0.070,NaN,68,1.7,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 23:10:00,2022-09-25 23:10:23,10561.74149,0.070,NaN,68,1.5,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 23:05:00,2022-09-25 23:05:23,10561.74149,0.070,NaN,68,1.7,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 23:00:00,2022-09-25 23:00:23,10561.74149,0.070,NaN,68,1.8,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 22:55:00,2022-09-25 22:55:18,10561.74149,0.070,NaN,68,1.7,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 22:50:00,2022-09-25 22:50:20,10561.74149,0.070,NaN,65,3.0,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 22:45:00,2022-09-25 22:45:23,10561.74149,0.070,NaN,62,3.0,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 22:40:00,2022-09-25 22:40:19,10561.74149,0.070,NaN,68,3.5,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 22:35:00,2022-09-25 22:35:24,10561.74149,0.070,NaN,65,3.5,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 22:30:00,2022-09-25 22:30:27,10561.74149,0.070,NaN,68,3.4,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 22:25:00,2022-09-25 22:25:20,10561.74149,0.070,NaN,68,3.4,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 22:20:00,2022-09-25 22:20:21,10561.74149,0.070,NaN,62,3.5,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 22:15:00,2022-09-25 22:15:23,10561.74149,0.070,NaN,68,3.4,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 22:10:00,2022-09-25 22:10:25,10561.74149,0.070,NaN,68,3.4,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 22:05:00,2022-09-25 22:05:23,10561.74149,0.070,NaN,68,3.7,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 22:00:00,2022-09-25 22:00:18,10561.74149,0.070,NaN,68,3.7,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 21:55:00,2022-09-25 21:55:25,10561.74149,0.070,NaN,68,3.7,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 21:50:00,2022-09-25 21:50:23,10561.74149,0.070,NaN,65,3.7,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 21:45:00,2022-09-25 21:45:21,10561.74149,0.070,NaN,68,3.7,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 21:40:00,2022-09-25 21:40:31,10561.74149,0.070,NaN,68,3.6,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 21:35:00,2022-09-25 21:35:19,10561.74149,0.070,NaN,65,3.6,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 21:30:00,2022-09-25 21:30:22,10561.74149,0.070,NaN,65,3.6,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 21:25:00,2022-09-25 21:25:23,10561.74149,0.070,NaN,68,3.6,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 21:20:00,2022-09-25 21:20:28,10561.74149,0.070,NaN,71,3.5,NaN,0.0,0.30,0.000,NaN,131
0201330009,2022-09-25 21:15:00,2022-09-25 21:15:21,10561.74149,0.070,NaN,71,3.5,NaN,0.0,0.30,0.000,NaN,131
