站点编号,观测时间,存储时间,小时水量1(立方米/小时),信号强度(百分比),浊度1(度),流速1(米/秒),电源电压(伏特),水位1(米),报警信息
0210150007,2022-01-16 17:45:00,2022-01-16 17:45:26,0.000,84,511.0,0.000,13.76,0.020,129
0210150007,2022-01-16 17:40:00,2022-01-16 17:40:22,0.000,81,513.8,0.000,13.79,0.020,129
0210150007,2022-01-16 17:35:00,2022-01-16 17:35:23,0.000,84,512.9,0.000,13.85,0.020,129
0210150007,2022-01-16 17:30:00,2022-01-16 17:30:22,0.000,81,511.5,0.000,13.90,0.020,129
0210150007,2022-01-16 17:25:00,2022-01-16 17:25:19,0.000,84,507.7,0.000,13.93,0.020,129
0210150007,2022-01-16 17:20:00,2022-01-16 17:20:20,0.000,87,512.8,0.000,13.93,0.020,129
0210150007,2022-01-16 17:15:00,2022-01-16 17:15:22,0.000,84,514.2,0.000,13.93,0.020,129
0210150007,2022-01-16 17:10:00,2022-01-16 17:10:20,0.000,93,516.3,0.000,13.87,0.020,129
0210150007,2022-01-16 17:05:00,2022-01-16 17:05:20,0.000,84,515.1,0.000,13.86,0.020,129
0210150007,2022-01-16 17:00:00,2022-01-16 17:00:21,0.000,81,517.6,0.000,13.96,0.020,129
0210150007,2022-01-16 16:55:00,2022-01-16 16:55:19,0.000,84,513.3,0.000,13.92,0.020,129
0210150007,2022-01-16 16:50:00,2022-01-16 16:50:21,0.000,81,512.3,0.000,13.88,0.020,129
0210150007,2022-01-16 16:45:00,2022-01-16 16:45:21,0.000,84,512.0,0.000,13.85,0.020,129
0210150007,2022-01-16 16:40:00,2022-01-16 16:40:24,0.000,84,512.5,0.000,13.87,0.020,129
0210150007,2022-01-16 16:35:00,2022-01-16 16:35:22,0.000,87,515.9,0.000,14.02,0.020,129
0210150007,2022-01-16 16:30:00,2022-01-16 16:30:21,0.000,87,514.6,0.000,14.02,0.020,129
0210150007,2022-01-16 16:25:00,2022-01-16 16:25:25,0.000,81,511.6,0.000,14.05,0.020,129
