站点编号,观测时间,存储时间,小时水量1(立方米/小时),信号强度(百分比),浊度1(度),流速1(米/秒),电源电压(伏特),水位1(米),报警信息
0210150006,2021-10-03 02:35:00,2021-10-03 02:35:22,0.000,84,20.6,0.000,12.72,0.127,129
0210150006,2021-10-03 02:30:00,2021-10-03 02:30:20,0.000,78,20.6,0.000,12.72,0.127,129
0210150006,2021-10-03 02:25:00,2021-10-03 02:25:23,3.896,81,20.2,0.002,12.72,0.132,129
0210150006,2021-10-03 02:20:00,2021-10-03 02:20:23,6.641,84,20.0,0.003,12.73,0.150,129
0210150006,2021-10-03 02:15:00,2021-10-03 02:15:22,5.844,78,19.8,0.003,12.72,0.132,129
0210150006,2021-10-03 02:10:00,2021-10-03 02:10:22,9.372,81,20.0,0.005,12.73,0.127,129
0210150006,2021-10-03 02:05:00,2021-10-03 02:05:21,0.000,87,20.0,0.000,12.70,0.127,129
0210150006,2021-10-03 02:00:00,2021-10-03 02:00:28,3.749,84,21.9,0.002,12.74,0.127,129
0210150006,2021-10-03 01:55:00,2021-10-03 01:55:20,3.749,84,22.7,0.002,12.72,0.127,129
0210150006,2021-10-03 01:50:00,2021-10-03 01:50:20,1.874,84,40.8,0.001,12.74,0.127,129
0210150006,2021-10-03 01:45:00,2021-10-03 01:45:21,0.000,81,44.2,0.000,12.74,0.127,129
0210150006,2021-10-03 01:40:00,2021-10-03 01:40:20,0.000,81,24.6,0.000,12.74,0.127,129
0210150006,2021-10-03 01:35:00,2021-10-03 01:35:21,5.623,81,21.9,0.003,12.72,0.127,129
0210150006,2021-10-03 01:30:00,2021-10-03 01:30:21,0.000,81,22.1,0.000,12.73,0.132,129
0210150006,2021-10-03 01:25:00,2021-10-03 01:25:22,0.000,81,22.5,0.000,12.74,0.127,129
0210150006,2021-10-03 01:20:00,2021-10-03 01:20:22,6.641,81,22.2,0.003,12.74,0.150,129
0210150006,2021-10-03 01:15:00,2021-10-03 01:15:20,3.749,81,22.2,0.002,12.72,0.127,129
0210150006,2021-10-03 01:10:00,2021-10-03 01:10:23,1.948,84,23.7,0.001,12.75,0.132,129
0210150006,2021-10-03 01:05:00,2021-10-03 01:05:21,0.000,84,23.1,0.000,12.74,0.127,129
0210150006,2021-10-03 01:00:00,2021-10-03 01:00:23,0.000,78,23.2,0.000,12.75,0.127,129
0210150006,2021-10-03 00:55:00,2021-10-03 00:55:20,0.000,81,23.3,0.000,12.75,0.132,129
0210150006,2021-10-03 00:50:00,2021-10-03 00:50:19,1.874,81,23.7,0.001,12.75,0.127,129
0210150006,2021-10-03 00:45:00,2021-10-03 00:45:19,0.000,81,23.6,0.000,12.75,0.132,129
0210150006,2021-10-03 00:40:00,2021-10-03 00:40:20,1.948,84,23.5,0.001,12.75,0.132,129
0210150006,2021-10-03 00:35:00,2021-10-03 00:35:20,7.498,84,24.1,0.004,12.75,0.127,129
0210150006,2021-10-03 00:30:00,2021-10-03 00:30:21,0.000,90,24.5,0.000,12.75,0.132,129
0210150006,2021-10-03 00:25:00,2021-10-03 00:25:23,1.948,84,24.3,0.001,12.75,0.132,129
0210150006,2021-10-03 00:20:00,2021-10-03 00:20:20,0.000,87,24.3,0.000,12.75,0.132,129
0210150006,2021-10-03 00:15:00,2021-10-03 00:15:23,0.000,84,24.6,0.000,12.75,0.132,129
0210150006,2021-10-03 00:10:00,2021-10-03 00:10:20,0.000,81,25.1,0.000,12.75,0.132,129
