站点编号,观测时间,存储时间,小时水量1(立方米/小时),信号强度(百分比),浊度1(度),流速1(米/秒),电源电压(伏特),水位1(米),报警信息
0210150007,2022-04-30 23:55:00,2022-04-30 23:55:23,0.000,93,0.1,0.000,12.78,0.020,129
0210150007,2022-04-30 23:50:00,2022-04-30 23:48:05,0.000,87,0.1,0.000,12.78,0.020,129
0210150007,2022-04-30 23:45:00,2022-04-30 23:45:28,0.013,81,0.1,0.001,12.79,0.030,129
0210150007,2022-04-30 23:40:00,2022-04-30 23:38:02,0.000,87,0.1,0.000,12.78,0.020,129
0210150007,2022-04-30 23:35:00,2022-04-30 23:35:23,0.000,81,0.1,0.000,12.79,0.020,129
0210150007,2022-04-30 23:30:00,2022-04-30 23:28:07,0.000,84,0.1,0.000,12.79,0.020,129
0210150007,2022-04-30 23:25:00,2022-04-30 23:25:22,0.000,84,0.1,0.000,12.80,0.020,129
0210150007,2022-04-30 23:20:00,2022-04-30 23:20:24,0.000,84,0.1,0.000,12.80,0.020,129
0210150007,2022-04-30 23:15:00,2022-04-30 23:13:03,0.000,84,0.1,0.000,12.80,0.020,129
0210150007,2022-04-30 23:10:00,2022-04-30 23:08:05,0.000,87,0.1,0.000,12.81,0.020,129
0210150007,2022-04-30 23:05:00,2022-04-30 23:03:01,0.000,84,0.1,0.000,12.81,0.020,129
0210150007,2022-04-30 23:00:00,2022-04-30 23:00:21,0.000,84,0.1,0.000,12.80,0.020,129
0210150007,2022-04-30 22:55:00,2022-04-30 22:53:01,0.000,84,0.1,0.000,12.81,0.020,129
0210150007,2022-04-30 22:50:00,2022-04-30 22:48:02,0.000,84,0.1,0.000,12.81,0.020,129
0210150007,2022-04-30 22:45:00,2022-04-30 22:43:04,0.000,84,0.1,0.000,12.81,0.020,129
0210150007,2022-04-30 22:40:00,2022-04-30 22:38:06,0.000,87,0.1,0.000,12.81,0.020,129
0210150007,2022-04-30 22:35:00,2022-04-30 22:35:20,0.000,87,0.1,0.000,12.81,0.020,129
