epoch,accumulate_m0_day,accumulate_retain,accumulate_degrade,accumulate_usage_plus_870,accumulate_usage_plus_3718,accumulate_usage_plus_3716,scour_C1,scour_C2,scour_B1,scour_B2,TIC,MSLE,log_50%,log_70%,log_100%,R2,NSE,MAE,MSE
epoch,accumulate_m0_day,accumulate_retain,accumulate_degrade,accumulate_usage_plus_870,accumulate_usage_plus_3718,accumulate_usage_plus_3716,scour_C1,scour_C2,scour_B1,scour_B2,TIC,MSLE,log_50%,log_70%,log_100%,R2,NSE,MAE,MSE
1,3.042190558,0.90731354,0.895373542,5.531189951,8.901858393,10.19306951,0.227983188,0.262647972,0.408764382,0.630350368,0.548428984,1.420129392,0.728813559,0.836158192,0.93220339,0.028033129,-0.020521818,35.62480473,4247.966989
1,,,,,,,,,,,0.407412169,1.382631049,0.850746269,0.910447761,0.925373134,0.005962324,-0.185435738,23.9787538,1223.91214
1,,,,,,,,,,,0.524408321,1.409832716,0.762295082,0.856557377,0.930327869,0.020023673,-0.020459595,32.4269137,3417.591273
epoch,accumulate_m0_day,accumulate_retain,accumulate_degrade,accumulate_usage_plus_870,accumulate_usage_plus_3718,accumulate_usage_plus_3716,scour_C1,scour_C2,scour_B1,scour_B2,TIC,MSLE,log_50%,log_70%,log_100%,R2,NSE,MAE,MSE
1,3.042190558,0.90731354,0.895373542,5.531189951,10.90185839,10.19306951,0.227983188,0.262647972,0.408764382,0.630350368,0.511703938,1.474091231,0.655367232,0.836158192,0.937853107,0.037462565,5.66E-05,36.98536294,4162.308502
1,,,,,,,,,,,0.40018573,1.501339417,0.701492537,0.910447761,0.925373134,0.015922885,-0.341928825,27.97910362,1385.484618
1,,,,,,,,,,,0.491268195,1.481573315,0.668032787,0.856557377,0.93442623,0.029210371,-0.015153259,34.51233272,3399.819976
epoch,accumulate_m0_day,accumulate_retain,accumulate_degrade,accumulate_usage_plus_870,accumulate_usage_plus_3718,accumulate_usage_plus_3716,scour_C1,scour_C2,scour_B1,scour_B2,TIC,MSLE,log_50%,log_70%,log_100%,R2,NSE,MAE,MSE
1,3.042190558,0.90731354,0.895373542,5.531189951,11.90185839,10.19306951,0.227983188,0.262647972,0.408764382,0.630350368,0.497376991,1.510658352,0.649717514,0.830508475,0.937853107,0.040799784,-0.000923784,37.84632532,4166.389309
1,,,,,,,,,,,0.402513158,1.568947079,0.686567164,0.910447761,0.925373134,0.020373673,-0.466704236,30.1755532,1514.30994
1,,,,,,,,,,,0.479146955,1.526663863,0.659836066,0.852459016,0.93442623,0.03256624,-0.026599546,35.74000675,3438.1544
