time,pesticide,observed,runflow,prec,accumulation,accumulation_sub,log_diff,area_id
2022-09-09T00:30,0.000658340775856671,0.0,3.4012100305169694e-12,0.0,75716797.68812823,2289.506197756827,1.8249979584891372,870
2022-09-09T00:40,0.0004058255520708373,0.0,6.7302391715005e-13,0.0,75716797.68812823,2289.506197756827,1.6189111727838226,870
2022-09-09T00:50,0.00025016584837736966,0.0,1.3317648395478511e-13,0.0,75716797.68812823,2289.506197756827,1.4152502867117587,870
2022-09-09T01:00,0.00015421146198168708,0.0,2.6352668050287004e-14,0.0,75716797.68812823,2289.506197756827,1.2154034676534962,870
2022-09-09T18:10,0.0,0.0,0.0,0.0122162245527452,77172950.48136212,0.0,0.0,870
2022-09-09T18:20,0.0,0.0,0.0,0.0152702806909315,77172950.48136212,0.0,0.0,870
2022-09-09T18:30,0.0,0.0,0.0,0.0183243368291178,77172950.48136212,0.0,0.0,870
2022-09-09T18:40,0.0,0.0,0.0,0.0031627210569607,77172950.48136212,0.0,0.0,870
2022-09-09T18:50,0.0,0.0,0.0,0.0032713859757351,77172950.48136212,0.0,0.0,870
2022-09-09T19:00,0.0,0.0,0.0,0.0033800508945095,77172950.48136212,0.0,0.0,870
2022-09-09T19:10,0.0,0.0,0.0,0.0032631954350927,77172950.48136212,0.0,0.0,870
2022-09-09T19:20,0.0,0.0,0.0,0.0033648359486447,77172950.48136212,0.0,0.0,870
2022-09-09T19:30,0.0,0.0,0.0,0.0034664764621968,77172950.48136212,0.0,0.0,870
2022-09-09T19:40,0.0,0.0,0.0,0.000481455064194,77172950.48136212,0.0,0.0,870
2022-09-09T19:50,0.0,0.0,0.0,0.0003851640513552,77172950.48136212,0.0,0.0,870
2022-09-09T20:00,0.0,0.0,0.0,0.0002888730385164,77172950.48136212,0.0,0.0,870
2022-09-09T20:10,0.0,0.0,0.0,0.0,77172950.48136212,0.0,0.0,870
2022-09-09T20:20,0.0,0.0,0.0,0.0,77172950.48136212,0.0,0.0,870
2022-09-09T20:30,0.0,0.0,0.0,0.0,77172950.48136212,0.0,0.0,870
2022-09-09T20:40,0.0,0.0,0.0,0.0,77172950.48136212,0.0,0.0,870
2022-09-09T20:50,0.0,0.0,0.0,0.0,77172950.48136212,0.0,0.0,870
2022-09-09T21:00,0.0,0.0,0.0,0.0,77172950.48136212,0.0,0.0,870
2022-09-09T21:10,0.0,0.0,0.0,0.0,77172950.48136212,0.0,0.0,870
2022-09-09T21:20,0.0,0.0,0.0,0.0,77172950.48136212,0.0,0.0,870
2022-09-09T21:30,0.0,0.0,0.0,0.0,77172950.48136212,0.0,0.0,870
2022-09-09T21:40,0.0,0.0,0.0,0.0,77172950.48136212,0.0,0.0,870
2022-09-09T21:50,0.0,0.0,0.0,0.0,77172950.48136212,0.0,0.0,870
2022-09-09T22:00,0.0,0.0,0.0,0.0,77172950.48136212,0.0,0.0,870
2022-09-19T03:10,0.0,0.0,0.0,0.0192542059909725,60918996.52336408,0.0,0.0,870
2022-09-19T03:20,0.0,0.0,0.0,0.0240677574887156,60918996.52336408,0.0,0.0,870
2022-09-19T03:30,0.37887015546158237,0.0,0.0419187797569659,0.0288813089864587,60918996.52336408,0.015881774603281502,4.578501858905955,870
2022-09-19T03:40,0.6017273807319855,0.0,0.1830693410073094,0.004643730337847,60918996.52336408,0.12603960965994046,4.7794069912845325,870
