epoch,accumulate_m0_day,accumulate_retain,accumulate_degrade,accumulate_usage_plus_870,accumulate_usage_plus_3718,accumulate_usage_plus_3716,scour_C1,scour_C2,scour_B1,scour_B2,TIC,MSLE,log_50%,log_70%,log_100%,R2,NSE,MAE,MSE
1,3.04222532616713,0.98249153385767,0.912925047417531,1.50481892607464,1.8029504976148,1.1731695818354,0.141150958175524,0.386648854137008,0.44877755904084,0.410338375010964,0.5782028601800772,2.2129079137458136,0.3333333333333333,0.4632768361581921,0.6892655367231638,0.3063711063882738,-8.71467105571021,21.727401945586784,21.727401945586784
1,,,,,,,,,,,0.4961479615860712,1.8383534243780566,0.6119402985074627,0.7164179104477612,0.9104477611940298,0.019427566226060573,-3.3493038544751483,21.903614488667632,21.90361448866763
1,,,,,,,,,,,0.54942477393358,2.110058935107946,0.4098360655737705,0.5327868852459017,0.75,0.11598058233449683,-5.748193670284719,21.77578817667866,21.775788176678656
epoch,accumulate_m0_day,accumulate_retain,accumulate_degrade,accumulate_usage_plus_870,accumulate_usage_plus_3718,accumulate_usage_plus_3716,scour_C1,scour_C2,scour_B1,scour_B2,TIC,MSLE,log_50%,log_70%,log_100%,R2,NSE,MAE,MSE
1,3.04222532616713,0.98249153385767,0.912925047417531,1.50481892607464,1.8029504976148,1.1731695818354,0.141150958175524,0.386648854137008,0.44877755904084,0.410338375010964,0.5782028601800772,2.2129079137458136,0.3333333333333333,0.4632768361581921,0.6892655367231638,0.3063711063882738,-8.71467105571021,21.727401945586784,21.727401945586784
1,,,,,,,,,,,0.4961479615860712,1.8383534243780566,0.6119402985074627,0.7164179104477612,0.9104477611940298,0.019427566226060573,-3.3493038544751483,21.903614488667632,21.90361448866763
1,,,,,,,,,,,0.54942477393358,2.110058935107946,0.4098360655737705,0.5327868852459017,0.75,0.11598058233449683,-5.748193670284719,21.77578817667866,21.775788176678656
2,3.0422248845572124,0.9822850673791259,0.9126869622978913,1.504818146864022,1.8029368353923592,1.173168413059823,0.14099852839177537,0.3867217461958838,0.4487773504929914,0.4103385628218723,0.5768973018168913,2.2032352614811064,0.3333333333333333,0.4632768361581921,0.6892655367231638,0.30565277173739136,-8.600346084877875,21.599735226746006,21.59973522674601
2,,,,,,,,,,,0.49541566856567837,1.8322610703053688,0.6119402985074627,0.7164179104477612,0.9104477611940298,0.01941600144346641,-3.3152164063499443,21.795201433544015,21.79520143354402
2,,,,,,,,,,,0.5482575039215566,2.10136939751072,0.4098360655737705,0.5327868852459017,0.75,0.1157027161255913,-5.675520850148073,21.653408324514313,21.653408324514313
