time,pesticide_pred,pesticde_observe,runflow_pred,runflow_observe,prec,accumulation,accumulation_sub,log_diff,area_id
2022-07-02T10:00,0.0,58.3706,0.0,1.031,0.0143628477711033,31426821.895679276,0.0,6.766194231913033,870
2022-07-02T10:10,0.0,35.7619,0.0,2.5927,0.0188181018463606,31426821.895679276,0.0,6.553420705881953,870
2022-07-02T10:20,0.0,39.59354,0.0,1.7022,0.0227210838967303,31426821.895679276,0.0,6.597624442805284,870
2022-07-02T10:30,0.0,27.5071,0.0,1.5368,0.0266240659470999,31426821.895679276,0.0,6.439444964181623,870
2022-07-02T10:40,2.206833180220778,20.56852,0.000441384776775,2.5131,0.0088789635472265,31426821.895679276,0.0009740625706314114,0.9694317814740807,870
2022-07-02T10:50,12.42898025281336,44.165,0.2172294965618124,2.2411,0.0133205827699363,31426821.895679276,2.700915185665986,0.550642485676109,870
2022-07-02T11:00,5.881548858320674,35.96751333333333,0.0139945864047324,2.0235,0.0177622019926461,31426821.895679276,2.7832250293574097,0.7864180865403811,870
2022-07-02T11:10,3.777253584512566,30.94008,0.0027692178008707,1.9147,0.0161660256884352,31426821.895679276,2.7936850672220443,0.9133442808959451,870
2022-07-02T11:20,2.4250611373250504,25.912646666666667,0.0005479666927538,0.8364,0.019399853314597,31426821.895679276,2.79501391995319,1.0287874580621466,870
2022-07-02T11:30,1.5568328247435013,21.91044,0.0001084304370256,1.7225,0.0226336809407588,31426821.895679276,2.7951827280167527,1.1484065278421403,870
2022-07-02T11:40,0.999438037143719,22.00914,2.1455975023748155e-05,2.0197,0.0132278800877647,31426821.895679276,2.7952041719343153,1.342843050897344,870
2022-07-02T11:50,10.824710379526842,22.10784,0.1220603120035157,2.93,0.0226834800187362,31426821.895679276,4.116471698207056,0.3101298226424576,870
2022-07-02T12:00,5.117292690768501,21.845526666666668,0.0078619320837833,1.0873,0.0321390799497078,31426821.895679276,4.156703505794719,0.6303216117911227,870
2022-07-02T12:10,11.010746175610532,20.13916,0.1220036959461006,0.0,0.0693793262574988,31426821.895679276,5.500055234343597,0.26222442227328147,870
2022-07-02T12:20,16.849648031221555,18.432793333333333,0.4725592044619102,0.0,0.085151130595293,31426821.895679276,13.462511503440847,0.0390002982952633,870
2022-07-02T12:30,27.268582383238513,16.81301333333333,1.7400685691722677,4.4671,0.1009229349330872,31426821.895679276,60.91171463439879,0.2100169043521758,870
2022-07-02T12:40,34.56349450863851,15.53958,3.19322103438872,2.3283,0.0220846792801107,31426821.895679276,171.28059232136232,0.3471782145070528,870
