time,pesticide,observed,runflow,prec,accumulation,accumulation_sub,log_diff,area_id
2022-06-29T14:10,0.0,0.0,0.0,0.00774317617866,1724802.7421837405,0.0,0.0,870
2022-06-29T14:20,0.0,0.0,0.0,0.009678970223325,1724802.7421837405,0.0,0.0,870
2022-06-29T14:30,0.0,0.0,0.0,0.01161476426799,1724802.7421837405,0.0,0.0,870
2022-06-29T14:40,0.0,0.0,0.0,0.0043575785773366,1724802.7421837405,0.0,0.0,870
2022-06-29T14:50,0.0,0.0,0.0,0.0067793631100082,1724802.7421837405,0.0,0.0,870
2022-06-29T15:00,0.0,0.0,0.0,0.0092011476426799,1724802.7421837405,0.0,0.0,870
2022-06-29T15:10,0.0,0.0,0.0,0.0170842980876425,1724802.7421837405,0.0,0.0,870
2022-06-29T15:20,0.0,0.0,0.0,0.0206440270988766,1724802.7421837405,0.0,0.0,870
2022-06-29T15:30,0.0,0.0,0.0,0.0242037561101106,1724802.7421837405,0.0,0.0,870
2022-06-29T15:40,0.0,0.0,0.0,0.0033616327930709,1724802.7421837405,0.0,0.0,870
2022-06-29T15:50,0.012565668341449558,0.0,0.0081250068819266,0.0026893062344567,1724802.7421837405,0.00010209614175028487,3.0995310751824774,870
2022-06-29T16:00,0.005762155275678567,0.0,0.0005232957951453,0.0020169796758425,1724802.7421837405,0.00010511145337702177,2.7613380054539123,870
2022-06-29T16:10,0.003635403040967985,0.0,0.0001035486143804,0.0,1724802.7421837405,0.0001054878943246283,2.5617455515269065,870
2022-06-29T16:20,0.0022935890466906665,0.0,2.0489970757611252e-05,0.0,1724802.7421837405,0.00010553488989712497,2.36240500484089,870
2022-06-29T16:30,0.0014470306880431307,0.0,4.054510088423279e-06,0.0,1724802.7421837405,0.00010554075689764789,2.1634686989954104,870
2022-06-29T16:40,0.0009129346656927662,0.0,8.022974874680902e-07,0.0,1724802.7421837405,0.0001055414893428364,1.9651709585195278,870
2022-06-29T16:50,0.0005759723292482362,0.0,1.5875685208812133e-07,0.0,1724802.7421837405,0.00010554158078239029,1.767877108273149,870
2022-06-29T17:00,0.00036338210298646244,0.0,3.141445471114237e-08,0.0,1724802.7421837405,0.00010554159219784091,1.5721534974360454,870
2022-06-29T17:10,0.00022925850018134725,0.0,6.216222807508387e-09,0.0,1724802.7421837405,0.00010554159362296282,1.3788673759840022,870
2022-06-29T17:20,0.00014463964911932888,0.0,1.230052418477337e-09,0.0,1724802.7421837405,0.00010554159380087717,1.189320855598147,870
2022-06-29T17:30,9.12534456877258e-05,0.0,2.434000516156538e-10,0.0,1724802.7421837405,0.00010554159382308826,1.0054098113208116,870
2022-06-29T17:40,5.757198251225561e-05,0.0,4.8163463797615756e-11,0.0,1724802.7421837405,0.00010554159382586112,0.8297666609924947,870
2022-06-29T17:50,3.632227961799667e-05,0.0,9.530479675687364e-12,0.0,1724802.7421837405,0.0001055415938262073,0.6657899238013263,870
2022-06-29T18:00,2.2915799301610132e-05,0.0,1.8858702362097615e-12,0.0,1724802.7421837405,0.00010554159382625051,0.5174044056247826,870
2022-06-30T12:10,0.0,0.0,0.0,0.0205882352941176,2194424.2671485096,0.0,0.0,870
2022-06-30T12:20,0.0,0.0,0.0,0.025735294117647,2194424.2671485096,0.0,0.0,870
2022-06-30T12:30,0.029935875993489732,0.0,0.0717520713453125,0.0308823529411764,2194424.2671485096,0.002147961110069303,3.4763370218307905,870
2022-06-30T12:40,0.043649779533599095,0.0,0.2438836507182741,0.0042892156862745,2194424.2671485096,0.012793428695771254,3.640081538345564,870
2022-06-30T12:50,0.05600950598374273,0.0,0.487254461913144,0.0034313725490196,2194424.2671485096,0.04008431039590083,3.748339274614638,870
2022-06-30T13:00,0.031038126545394434,0.0,0.0598365468864894,0.0025735294117647,2194424.2671485096,0.04194152471020312,3.492035399825186,870
2022-06-30T13:10,0.017735424969075476,0.0,0.0083332341622298,0.0,2194424.2671485096,0.04208931815943708,3.2490864043324983,870
2022-06-30T13:20,0.011191122310698621,0.0,0.0016489619423885,0.0,2194424.2671485096,0.04210777189422004,3.049261539538403,870
2022-06-30T13:30,0.007060727127536459,0.0,0.0003262929415532,0.0,2194424.2671485096,0.04211007575964399,2.8494640773384776,870
2022-06-30T13:40,0.004454655108755711,0.0,6.456612549421896e-05,0.0,2194424.2671485096,0.04211036337946478,2.6497879155987047,870
2022-06-30T13:50,0.002810454387116137,0.0,1.2776202088500849e-05,0.0,2194424.2671485096,0.04211039928639799,2.4503190806315436,870
2022-06-30T14:00,0.0017731217670693333,0.0,2.528126607516951e-06,0.0,2194424.2671485096,0.04211040376907431,2.251181001594087,870
2022-06-30T14:10,0.0011186661456445547,0.0,5.002601007217734e-07,0.0,2194424.2671485096,0.04211040432869835,2.0525654985714934,870
2022-06-30T14:20,0.0007057687291961971,0.0,9.899036212429125e-08,0.0,2194424.2671485096,0.04211040439856265,1.8547727208293523,870
2022-06-30T14:30,0.0004452709123082512,0.0,1.9587993884301825e-08,0.0,2194424.2671485096,0.04211040440728461,1.6582699037069064,870
2022-06-30T14:40,0.0002809223146917858,0.0,3.87602889996189e-09,0.0,2194424.2671485096,0.04211040440837348,1.4637770343299987,870
2022-06-30T14:50,0.00017723445364681617,0.0,7.669800247068672e-10,0.0,2194424.2671485096,0.04211040440850941,1.2723857677563086,870
2022-06-30T15:00,0.00011181757345285098,0.0,1.5176831068136015e-10,0.0,2194424.2671485096,0.04211040440852638,1.0857099443155191,870
2022-06-30T15:10,0.0,0.0,0.0,0.0063235294117647,2239676.9137167945,0.0,0.0,870
