time,pesticide,observed,runflow,prec,accumulation,accumulation_sub,log_diff,area_id
2022-06-29T14:10,0.0,0.0,0.0,0.00774317617866,6603065.80458495,0.0,0.0,870
2022-06-29T14:20,0.0,0.0,0.0,0.009678970223325,6603065.80458495,0.0,0.0,870
2022-06-29T14:30,0.0,0.0,0.0,0.01161476426799,6603065.80458495,0.0,0.0,870
2022-06-29T14:40,0.0,0.0,0.0,0.0043575785773366,6603065.80458495,0.0,0.0,870
2022-06-29T14:50,0.0,0.0,0.0,0.0067793631100082,6603065.80458495,0.0,0.0,870
2022-06-29T15:00,0.0,0.0,0.0,0.0092011476426799,6603065.80458495,0.0,0.0,870
2022-06-29T15:10,0.0,0.0,0.0,0.0170842980876425,6603065.80458495,0.0,0.0,870
2022-06-29T15:20,0.0,0.0,0.0,0.0206440270988766,6603065.80458495,0.0,0.0,870
2022-06-29T15:30,0.0,0.0,0.0,0.0242037561101106,6603065.80458495,0.0,0.0,870
2022-06-29T15:40,0.0,0.0,0.0,0.0033616327930709,6603065.80458495,0.0,0.0,870
2022-06-29T15:50,0.24804004758126352,0.0,0.0081250068819266,0.0026893062344567,6603065.80458495,0.0020153270935911673,4.394539314679111,870
2022-06-29T16:00,0.08685488823465948,0.0,0.0005232957951453,0.0020169796758425,6603065.80458495,0.0020607778913921794,3.9388442652012596,870
2022-06-29T16:10,0.04672712269477417,0.0,0.0001035486143804,0.0,6603065.80458495,0.0020656164202012064,3.669661972150209,870
2022-06-29T16:20,0.025138431967459504,0.0,2.0489970757611252e-05,0.0,6603065.80458495,0.0020661315059371118,3.4005109114949477,870
2022-06-29T16:30,0.013524032827379111,0.0,4.054510088423279e-06,0.0,6603065.80458495,0.0020661863392646466,3.131427225548685,870
2022-06-29T16:40,0.007275687335797131,0.0,8.022974874680902e-07,0.0,6603065.80458495,0.0020661921765303157,2.8624705296218425,870
2022-06-29T16:50,0.003914189026952165,0.0,1.5875685208812133e-07,0.0,6603065.80458495,0.0020661927979346443,2.5937499190404845,870
2022-06-29T17:00,0.002105763308289321,0.0,3.141445471114237e-08,0.0,6603065.80458495,0.0020661928640860502,2.3254670812962988,870
2022-06-29T17:10,0.001132862787814012,0.0,6.216222807508387e-09,0.0,6603065.80458495,0.0020661928711281775,2.0579940920993054,870
2022-06-29T17:20,0.0006094598048903677,0.0,1.230052418477337e-09,0.0,6603065.80458495,0.002066192871877845,1.7920131314051346,870
2022-06-29T17:30,0.000327878413621973,0.0,2.434000516156538e-10,0.0,6603065.80458495,0.0020661928719576507,1.5287604464528335,870
2022-06-29T17:40,0.00017639268948232804,0.0,4.8163463797615756e-11,0.0,6603065.80458495,0.0020661928719661465,1.27042887486482,870
2022-06-29T17:50,9.489609443607571e-05,0.0,9.530479675687364e-12,0.0,6603065.80458495,0.0020661928719670508,1.0207593185421087,870
2022-06-29T18:00,5.105239205569262e-05,0.0,1.8858702362097615e-12,0.0,6603065.80458495,0.002066192871967147,0.7857026844354635,870
2022-06-30T12:10,0.0,0.0,0.0,0.0205882352941176,8387233.605791553,0.0,0.0,870
2022-06-30T12:20,0.0,0.0,0.0,0.025735294117647,8387233.605791553,0.0,0.0,870
2022-06-30T12:30,0.7322263975983984,0.0,0.0717520713453125,0.0308823529411764,8387233.605791553,0.052538760721401435,4.864651312749913,870
2022-06-30T12:40,1.211640192269694,0.0,0.2438836507182741,0.0042892156862745,8387233.605791553,0.34803799416912595,5.083377255560673,870
2022-06-30T12:50,1.6790310685659966,0.0,0.487254461913144,0.0034313725490196,8387233.605791553,1.1661533740187018,5.225061318909616,870
2022-06-30T13:00,0.7576535389924325,0.0,0.0598365468864894,0.0025735294117647,8387233.605791553,1.2114887455283372,4.879476388218949,870
2022-06-30T13:10,0.35667022816358634,0.0,0.0083332341622298,0.0,8387233.605791553,1.2144609620583202,4.552279035782305,870
2022-06-30T13:20,0.19191719016241093,0.0,0.0016489619423885,0.0,8387233.605791553,1.2147774262009883,4.283136505225335,870
2022-06-30T13:30,0.10325172374013508,0.0,0.0003262929415532,0.0,8387233.605791553,1.2148111165096478,4.0139393704166135,870
2022-06-30T13:40,0.05554796709061381,0.0,6.456612549421896e-05,0.0,8387233.605791553,1.2148147030266618,3.744746346182189,870
2022-06-30T13:50,0.029883849473743482,0.0,1.2776202088500849e-05,0.0,8387233.605791553,1.214815084828762,3.4755818433617973,870
2022-06-30T14:00,0.01607697803791252,0.0,2.528126607516951e-06,0.0,8387233.605791553,1.2148151254733979,3.206474468914348,870
2022-06-30T14:10,0.00864912551101356,0.0,5.002601007217734e-07,0.0,8387233.605791553,1.2148151298002103,2.937474034636513,870
2022-06-30T14:20,0.0046530740172843026,0.0,9.899036212429125e-08,0.0,8387233.605791553,1.2148151302608199,2.6686723090944264,870
2022-06-30T14:30,0.00250327013899648,0.0,1.9587993884301825e-08,0.0,8387233.605791553,1.214815130309854,2.4002391712707394,870
2022-06-30T14:40,0.0013467143128656615,0.0,3.87602889996189e-09,0.0,8387233.605791553,1.2148151303150738,2.1324884066809546,870
2022-06-30T14:50,0.0007245080790923081,0.0,7.669800247068672e-10,0.0,8387233.605791553,1.2148151303156296,1.8659965770982447,870
2022-06-30T15:00,0.0003897723159393381,0.0,1.5176831068136015e-10,0.0,8387233.605791553,1.2148151303156887,1.601812716117597,870
2022-06-30T15:10,0.0,0.0,0.0,0.0063235294117647,8543746.438314207,0.0,0.0,870
2022-06-30T15:20,0.0,0.0,0.0,0.0079044117647058,8543746.438314207,0.0,0.0,870
