time,id,times,THM,CLO,IMI,ACE,THA,Propoxur,Chlorpyrifos,Temephos,Fenthion,Fipronil,Tetramethrin,Cyhalothrin_Lambda,Cyfluthrin,Permethrin,Cypermethrin
2022-07-02T9:58,OSP1-0min-1,1,5.425543939,1.861199197,11.54065412,6.991954632,0,17.9243,13.8508,23.4086,0,2.9483,0,9.1779,9.862035314,96.0546,64.3992
2022-07-02T10:08,OSP1-10min-1,1,4.474156386,1.078782328,20.89973843,4.194301309,0,7.3621,12.9062,14.8185,8.2381,1.7769,0,3.446155389,9.862035314,54.3875,34.2562
2022-07-02T10:18,OSP1-20min-1,1,3.677537449,1.122193342,24.50472688,3.62298952,0,4.1697,12.2024,5.574120806,1.3129485,2.717,0,3.446155389,9.862035314,49.9311,41.7847
2022-07-02T10:28,OSP1-30min-1,1,3.351618087,0.894389134,35.69292421,3.554569862,0,2.2125,7.7198,16.547,0,0,0,3.446155389,0,30.4508,30.8289
2022-07-02T10:38,OSP1-40min-1,1,3.463795858,0.820522515,63.73969174,3.437163025,0,5.1901,10.3179,5.574120806,1.3129485,0,0,0,0,38.5078,14.2199
2022-07-02T10:48,OSP1-50min-1,1,3.69648905,0.594228771,55.48656642,3.206258385,0,4.2446,9.1008,5.574120806,3.1049,2.6697,0,3.446155389,0,38.5746,45.963
2022-07-02T10:58,OSP1-60min-1,1,1.151860855,0.606967052,58.93107257,4.284941369,0,0.343857088,7.8523,12.1013,0,0.655825271,0,3.446155389,0,28.0832,36.973
2022-07-02T11:28,OSP1-90min-1,1,2.389408884,0.364714715,26.67085359,2.576504466,0,0.7468,6.82,18.4846,0,2.3695,0,3.446155389,0,27.5998,21.8907
2022-07-02T11:58,OSP1-120min-1,1,2.332365307,1.180074316,32.32267355,2.940609485,0,2.699,12.5579,5.574120806,0,1.4795,0,3.446155389,0,14.0401,22.1868
2022-07-02T12:28,OSP1-150min-1,1,1.814034547,0.302976378,36.0575663,1.9738772,0,0,6.4294,15.3179,0,0,0,0,0,21.2925,17.0677
2022-07-02T12:58,OSP1-180min-1,1,1.038381878,0.289145918,40.1574023,1.935184874,0,0,2.897962068,5.574120806,0,0,0,3.446155389,0,12.7797,13.2474
2022-07-15T16:04,OSP1-0min-1,2,84.07446605,12.81614614,14.67421329,30.37786106,1.307348736,62.30076583,12.31724506,0,0,0,22.50555735,0,0,42.87579233,39.81113655
2022-07-15T16:14,OSP1-10min-1,2,63.62971531,21.85219009,9.895191446,17.99748536,0.847648881,24.01766927,20.63659117,0,0,0,7.333433922,0,0,35.98169282,36.96912269
2022-07-15T16:24,OSP1-20min-1,2,29.01953493,7.112406951,2.663430918,12.20700106,0.365029725,19.07994443,30.87289459,0,0,0,5.196673509,0,0,25.84268117,29.56554975
2022-07-15T16:34,OSP1-30min-1,2,10.016764,10.30875536,3.694865161,9.08346172,0.472370718,15.79000397,13.05914267,0,0,0,4.928085878,0,0,16.93713441,25.35165089
2022-07-15T16:44,OSP1-40min-1,2,9.225713831,7.59885923,10.08858864,11.78934808,0.392427164,15.58147483,8.50449483,0,0,0,4.212873333,0,0,15.1097968,16.17052188
2022-08-03T17:39,OSP1-0min-1,3,20.76069428,5.786601542,13.99986036,5.125473879,0.502525749,18.36297489,0,42.3451225,1.3129485,0,4.249408351,0,0,29.31641601,26.51946045
2022-08-03T17:49,OSP1-10min-1,3,14.78897038,11.42106596,63.08001897,2.964935155,0.215935316,40.63781871,0,39.62705173,1.3129485,0,5.435747188,0,0,37.30072626,23.53021025
2022-08-03T17:59,OSP1-20min-1,3,9.363376328,4.123608566,58.4179493,1.759102175,0.14249195,18.46029493,0,22.03045302,1.3129485,0,9.273224728,0,0,25.02249486,15.91151513
2022-08-03T18:09,OSP1-30min-1,3,7.728084297,1.835173999,43.21734289,0.952623475,0.231875051,5.617359231,0,17.70308572,1.3129485,0,5.128928544,0,0,6.429475603,4.765646883
2022-08-03T18:19,OSP1-40min-1,3,2.535363433,0.627094599,56.49407702,0.740012429,0.165392611,3.204408601,0,13.41848347,1.3129485,0,1.879642581,0,0,10.17072174,4.765646883
2022-08-03T18:29,OSP1-50min-1,3,2.080294165,0.296093505,19.06387963,0.514797072,0.449547987,2.142598279,0,13.27381716,0,0,8.088403124,0,0,3.209171687,4.765646883
2022-08-03T18:39,OSP1-60min-1,3,5.128343486,0.695255147,67.16020859,0.464884158,0.243179579,1.389272464,0,0,0,0,1.879642581,0,0,3.209171687,0
