time,id,times,THM,CLO,IMI,ACE,THA,Propoxur,Chlorpyrifos,Temephos,Fenthion,Fipronil,Tetramethrin,Cyhalothrin_Lambda,Cyfluthrin,Permethrin,Cypermethrin
2022-07-02T10:40,OSP2-0min-1,1,15.29621015,0.674484778,64.59814063,2.38847739,0,22.9722,2.897962068,17.6226,9.1118,60.2352,0,10.7667,0,324.8486,390.0567
2022-07-02T10:50,OSP2-10min-1,1,13.78646142,1.177532553,57.01801113,1.988423579,0,18.7885,2.897962068,5.574120806,6.4529,33.8529,0,9.1844,0,127.891,184.8092
2022-07-02T11:00,OSP2-20min-1,1,12.06104286,0,58.08507467,1.99296185,0,32.5731,0,16.0595,9.4071,36.0337,0,7.3553,0,94.3663,91.6727
2022-07-02T11:10,OSP2-30min-1,1,10.96508821,0.995440049,57.12500088,2.012056065,0,28.3658,0,16.4909,7.6427,35.3667,0,7.071,0,59.1571,75.0562
2022-07-02T11:20,OSP2-40min-1,1,254.1397419,14.97957857,54.60695881,5.057939845,0,27.162,2.897962068,144.0734,3.3946,29.2035,0,10.8301,9.862035314,30.3429,59.4227
2022-07-02T11:30,OSP2-50min-1,1,95.34713608,5.722300294,47.36918781,3.484085185,0,52.5344,2.897962068,138.7691,6.4458,55.4929,0,14.1873,9.862035314,66.4117,143.0455
2022-07-02T11:40,OSP2-60min-1,1,7.98000568,1.456388759,57.86920932,2.030095643,0,114.072,2.897962068,5.574120806,6.2706,36.2519,0,3.446155389,0,51.5823,44.8833
2022-07-02T12:10,OSP2-90min-1,1,7.41703011,0.770494942,29.23024364,1.962323911,0,69.6616,0,5.574120806,5.9553,29.2555,0,8.9367,0,21.6281,16.6997
2022-07-02T12:40,OSP2-120min-1,1,125.3404891,6.959046664,43.46912195,3.103547299,0,37.6883,2.897962068,94.3523,22.069,52.242,0,11.1319,9.862035314,367.4257,498.4749
2022-07-02T13:10,OSP2-150min-1,1,108.4684304,8.47591921,49.59721707,2.850133758,0,20.6786,2.897962068,102.212,1.3129485,27.7598,0,3.446155389,0,24.5799,40.0738
2022-07-02T13:40,OSP2-180min-1,1,91.66390272,7.693868817,55.17980239,3.332341555,0,17.0378,0,98.4496,2.7838,23.0163,0,3.446155389,0,20.407,15.6449
2022-07-15T16:11,OSP2-0min-1,2,44.55332978,1.287043844,95.38565043,3.658846734,0.200423071,48.76558916,0,52.44911716,31.86611582,0,4.55390129,0,0,44.49000285,50.47961025
2022-07-15T16:21,OSP2-10min-1,2,38.16980126,1.204297695,208.158368,4.886013364,0.265624291,21.85703688,0,244.2724899,14.42699626,0,1.879642581,0,0,26.34437374,29.1143194
2022-07-15T16:31,OSP2-20min-1,2,31.82637338,0.673179643,145.2953843,3.114778672,0.329480736,12.71911009,0,178.8749328,6.525812489,0,1.879642581,0,0,17.92228905,79.56410353
2022-07-15T16:41,OSP2-30min-1,2,68.79633565,6.975359828,49.08212119,3.910831843,0.22317933,11.85700746,0,194.1678255,5.047695238,0,5.088521061,29.71931201,0,19.9404714,19.04144045
2022-07-15T16:51,OSP2-40min-1,2,134.0396872,8.128200821,52.7689651,2.562181026,0.213081494,9.084022548,0,151.6537167,5.024385984,0,4.060132702,31.36395645,0,19.28053683,17.79254324
