time,times,THM,CLO,IMI,ACE,THA
2022-07-02T10:20,1,17.40828213,6.826156734,23.314228645,8.1349509724,0.0
2022-07-02T10:30,1,8.9551919709,5.5735307495,20.939221558,7.083348288,0.0
2022-07-02T10:40,1,5.0194759435,3.8040633828,17.237442055000002,6.1412159372,0.0
2022-07-02T10:50,1,3.3174480084,2.4822926031,13.848421474000002,5.3335665973,0.0
2022-07-02T11:00,1,3.5773869148,2.230824283,11.913184693,4.8455397939000004,0.0
2022-07-02T11:10,1,9.2718030794,1.6960368787000002,15.909567464999999,9.904586261799999,0.0
2022-07-02T11:20,1,8.8115297136,2.315987206,13.077310502,7.0126696039,0.0
2022-07-02T11:30,1,6.111994027150001,2.58531456525,10.62153934705,4.62043612135,0.0
2022-07-02T11:40,1,3.9562858116500004,2.44422384275,10.015100828549999,4.3291330418500005,0.0
2022-07-02T11:50,1,3.343265296666667,2.074306485966667,11.4289630103,3.9688179163333337,0.0
2022-07-02T12:00,1,3.3913966533333335,1.6063205716333333,13.708668349300002,3.578926199666667,0.0
2022-07-02T12:10,1,3.43952801,1.1383346573000002,15.988373688300001,3.1890344830000004,0.0
2022-07-02T12:20,1,3.2734636054,0.9666651967333333,15.731384401333335,3.0109928812666666,0.0
2022-07-02T12:30,1,3.0156010174,0.9219885020666666,14.387240274666667,2.9237441859333333,0.0
2022-07-02T12:40,1,2.7577384294000002,0.8773118073999999,13.043096148,2.8364954906,0.0
2022-07-02T12:50,1,2.4998758414,0.8326351125,11.698952019233333,2.7492467950333332,0.0
2022-07-02T13:00,1,2.2420132534,0.7879584175,10.354807889566667,2.6619980993666665,0.0
2022-07-02T13:10,1,1.9841506654,0.7432817225,9.0106637599,2.5747494037,0.0
2022-07-15T16:10,2,23.54664473,1.089838064,7.452771122,6.310008424,0.433870478
2022-07-15T16:20,2,14.27767312,2.203160979,7.274283838,2.921980626,0.15481827599999998
2022-07-15T16:30,2,21.73156471,4.502384308,6.748814313,2.583085757,0.178534288
2022-07-15T16:40,2,17.90293982,3.908609133,7.236481678,3.059769782,0.402679067
2022-07-30T14:50,3,46.500372952,5.5696349826,5.5062743890000005,5.7138124174,0.982710858
2022-08-03T04:00,4,9.866293576099999,7.123857278199999,6.3259846444,4.2418969458,0.8308888301
2022-08-03T04:10,4,2.7458082188,0.6745470746,1.3754296318,0.8743696052,0.1912795966
2022-08-03T04:20,4,7.7256972231,0.6876669258,0.0,0.8361655792,0.2185333182
2022-08-03T17:51,4,16.27647783,1.481395291,8.051591259,2.415804776,0.15178809500000004
2022-08-03T18:01,4,20.95542973,2.395795413,6.040649109,1.453350194,0.178450441
2022-08-03T18:11,4,5.40581446,3.516457126,4.282825756,0.45535834399999997,0.1506494
2022-08-03T18:21,4,4.505381522,3.2062114106666666,3.092072544,0.5291145266666667,0.14765759633333334
2022-08-03T18:31,4,3.6049485839999997,2.8959656953333335,1.901319332,0.6028707093333334,0.14466579266666665
2022-08-03T18:41,4,2.704515646,2.58571998,0.7105661200000002,0.676626892,0.141673989
2022-08-04T18:22,4,8.704925483,5.161571391,7.304694725000001,2.075736576,0.189811583
2022-08-04T18:32,4,7.308761255666667,3.7062070276666668,5.070208315333334,1.6058819966666669,0.24489697100000002
2022-08-04T18:42,4,5.912597028333334,2.2508426643333337,2.8357219056666665,1.1360274173333336,0.29998235900000003
2022-08-04T18:52,4,4.516432801,0.7954783010000002,0.6012354960000001,0.666172838,0.355067747
2022-08-04T19:02,4,4.670780980666667,0.9101651056666668,1.3685543883333333,0.8331095503333333,0.36127982999999997
2022-08-04T19:12,4,4.825129160333333,1.0248519103333333,2.1358732806666665,1.0000462626666666,0.367491913
2022-08-04T19:22,4,4.97947734,1.139538715,2.903192173,1.166982975,0.373703996
2022-08-04T19:32,4,5.37190173,1.248291234,1.9354614486666666,0.9417203439999999,0.29823580099999997
2022-08-04T19:42,4,5.76432612,1.357043753,0.9677307243333333,0.7164577129999999,0.22276760599999998
2022-08-04T19:52,4,6.15675051,1.465796272,0.0,0.49119508199999984,0.147299411
2022-08-04T20:02,4,8.943183746666667,1.275607259,0.490930931,0.5309852233333333,0.15307767566666666
2022-08-04T20:12,4,11.729616983333333,1.0854182460000001,0.981861862,0.5707753646666667,0.15885594033333333
2022-08-04T20:22,4,14.51605022,0.895229233,1.472792793,0.610565506,0.164634205
2022-08-04T20:32,4,11.871779328333334,1.5024029946666668,5.0445684386666665,0.735172617,0.20778147300000002
2022-08-04T20:42,4,9.227508436666668,2.1095767563333334,8.616344084333333,0.859779728,0.250928741
2022-08-04T20:52,4,6.583237545000001,2.716750518,12.18811973,0.984386839,0.294076009
2022-08-04T21:02,4,6.392905670689656,3.5660532928275863,12.11203481275862,0.9749990896896552,0.29272231382758623
2022-08-04T21:12,4,6.20257379637931,4.415356067655172,12.035949895517241,0.9656113403793103,0.29136861865517244
2022-08-04T21:22,4,6.012241922068966,5.264658842482758,11.959864978275862,0.9562235910689655,0.29001492348275865
2022-08-04T21:32,4,5.821910047758621,6.113961617310345,11.883780061034482,0.9468358417586207,0.2886612283103448
2022-08-04T21:42,4,5.6315781734482755,6.963264392137932,11.807695143793103,0.9374480924482759,0.287307533137931
2022-08-08T16:20,5,7.7724022406,1.70802682,5.7586472886,1.3275774794000001,0.2006335344
2022-08-08T16:30,5,5.7299791368,0.8253640502,5.5666274728000005,0.4795878428,0.0212052484
2022-08-08T16:40,5,2.684291435,1.6136047846,26.101143062,0.6807948066,0.1334218924
2022-08-08T16:50,5,2.6980371462,0.8231167402,35.576551232,0.699141033,0.2279912552
