humidity,temperature,wind_speed,wind_direction_degree,precip,pressure,solar_radiation,cloud,code,text,feels_like,wind_scale,wind_direction,vapor_pressure,last_update
90.21,24.68,0.58,221,0.00,1009.51,0.00,100.00,9,阴,29.19,0,西南,28.03,2022-09-30T23:00:00+08:00
89.18,24.26,0.88,78,0.00,1009.04,0.00,100.00,9,阴,28.49,0,东北,27.03,2022-10-01T00:00:00+08:00
90.98,24.24,1.27,16,0.00,1009.02,0.00,100.00,9,阴,28.50,1,东北,27.54,2022-10-01T01:00:00+08:00
90.97,24.11,0.49,66,0.00,1009.11,0.00,100.00,9,阴,28.46,0,东北,27.32,2022-10-01T02:00:00+08:00
91.36,24.33,0.99,33,0.00,1008.92,0.00,100.00,9,阴,28.70,0,东北,27.80,2022-10-01T03:00:00+08:00
91.72,23.98,1.67,16,0.00,1008.88,0.00,47.02,4,多云,28.11,1,东北,27.33,2022-10-01T04:00:00+08:00
91.89,23.71,2.63,24,0.00,1008.63,0.00,51.67,4,多云,27.57,1,东北,26.94,2022-10-01T05:00:00+08:00
92.40,24.21,1.56,63,0.00,1009.00,0.00,56.22,4,多云,28.49,1,东北,27.92,2022-10-01T06:00:00+08:00
92.35,24.44,2.09,44,0.00,1009.45,43.14,56.22,4,多云,28.72,1,东北,28.29,2022-10-01T07:00:00+08:00
90.55,25.70,2.13,101,0.00,1010.24,185.92,54.27,4,多云,30.38,1,东,29.90,2022-10-01T08:00:00+08:00
87.24,27.28,4.10,65,0.00,1010.79,385.56,64.62,4,多云,32.05,1,东北,31.62,2022-10-01T09:00:00+08:00
83.39,29.11,2.95,50,0.00,1011.06,461.74,64.62,4,多云,34.62,1,东北,33.61,2022-10-01T10:00:00+08:00
79.48,30.86,4.20,148,0.00,1011.04,769.68,73.67,4,多云,36.62,1,东南,35.42,2022-10-01T11:00:00+08:00
73.26,32.87,3.57,78,0.00,1010.17,703.59,50.10,4,多云,39.12,1,东北,36.58,2022-10-01T12:00:00+08:00
69.41,32.82,3.98,156,0.00,1009.02,649.19,39.03,0,晴,38.58,1,东南,34.56,2022-10-01T13:00:00+08:00
91.00,28.28,2.48,106,0.37,1008.92,252.15,76.10,13,小雨,34.08,1,东南,34.96,2022-10-01T14:00:00+08:00
86.04,28.39,1.63,151,0.20,1008.32,246.43,74.02,13,小雨,34.02,1,东南,33.27,2022-10-01T15:00:00+08:00
85.55,29.36,0.81,211,0.00,1007.52,174.12,100.00,9,阴,35.54,0,西南,34.99,2022-10-01T16:00:00+08:00
84.62,28.93,0.86,222,0.00,1008.07,75.11,70.39,4,多云,34.83,0,西南,33.76,2022-10-01T17:00:00+08:00
90.60,28.01,0.53,332,0.00,1008.09,4.27,100.00,9,阴,34.00,0,西北,34.26,2022-10-01T18:00:00+08:00
92.69,27.18,1.28,33,0.00,1008.07,0.00,100.00,9,阴,32.81,1,东北,33.40,2022-10-01T19:00:00+08:00
93.51,27.06,0.31,16,0.00,1009.09,0.00,100.00,9,阴,32.87,0,东北,33.45,2022-10-01T20:00:00+08:00
93.69,26.64,0.72,7,0.00,1009.48,0.00,100.00,9,阴,32.20,0,北,32.70,2022-10-01T21:00:00+08:00
93.59,26.60,1.50,69,0.00,1009.86,0.00,100.00,9,阴,31.99,1,东北,32.59,2022-10-01T22:00:00+08:00
93.56,26.80,1.09,80,0.00,1009.96,0.00,0.00,0,晴,32.35,1,东,32.97,2022-10-01T23:00:00+08:00
96.01,26.25,0.67,71,0.00,1009.15,0.00,0.00,0,晴,31.79,0,东北,32.75,2022-10-02T00:00:00+08:00
93.14,25.67,0.69,304,0.00,1009.88,0.00,100.00,9,阴,30.77,0,西北,30.70,2022-10-02T01:00:00+08:00
93.39,25.48,2.88,49,0.00,1009.10,0.00,24.80,0,晴,30.11,1,东北,30.44,2022-10-02T02:00:00+08:00
92.87,25.10,1.40,27,0.00,1008.55,0.00,100.00,9,阴,29.80,1,东北,29.59,2022-10-02T03:00:00+08:00
93.13,24.58,0.84,41,0.00,1008.39,0.00,41.28,4,多云,29.19,0,东北,28.77,2022-10-02T04:00:00+08:00
94.46,24.55,0.53,326,0.00,1008.68,0.00,45.13,4,多云,29.28,0,西北,29.13,2022-10-02T05:00:00+08:00
94.90,25.05,0.60,33,0.00,1008.85,0.00,48.89,4,多云,30.01,0,东北,30.15,2022-10-02T06:00:00+08:00
95.34,25.19,1.03,35,0.00,1009.76,20.90,48.89,4,多云,30.16,1,东北,30.54,2022-10-02T07:00:00+08:00
95.89,26.04,2.83,38,0.00,1010.23,107.41,71.24,4,多云,31.09,1,东北,32.31,2022-10-02T08:00:00+08:00
91.37,27.16,4.39,40,0.00,1010.88,201.65,75.77,4,多云,32.12,1,东北,32.88,2022-10-02T09:00:00+08:00
87.14,29.43,3.76,44,0.00,1011.14,376.92,75.77,4,多云,35.25,1,东北,35.78,2022-10-02T10:00:00+08:00
82.90,31.52,1.53,12,0.00,1010.74,670.45,62.58,4,多云,38.40,1,东北,38.36,2022-10-02T11:00:00+08:00
77.60,32.24,5.49,110,0.00,1010.08,402.81,94.48,9,阴,38.26,1,东南,37.40,2022-10-02T12:00:00+08:00
73.80,33.99,3.72,125,0.00,1009.31,649.19,89.45,9,阴,40.82,1,东南,39.23,2022-10-02T13:00:00+08:00
71.80,34.16,2.52,36,0.00,1008.36,455.88,83.30,9,阴,41.07,1,东北,38.53,2022-10-02T14:00:00+08:00
67.70,33.83,4.81,102,0.00,1007.88,461.26,71.35,4,多云,39.74,1,东南,35.67,2022-10-02T15:00:00+08:00
70.01,34.22,3.19,99,0.00,1007.75,313.90,96.54,9,阴,40.85,1,东,37.70,2022-10-02T16:00:00+08:00
72.13,33.25,3.74,106,0.00,1007.71,107.19,0.00,0,晴,39.53,1,东南,36.79,2022-10-02T17:00:00+08:00
81.64,31.24,2.56,92,0.00,1007.91,3.67,0.00,0,晴,37.68,1,东,37.18,2022-10-02T18:00:00+08:00
81.37,29.69,1.15,120,0.24,1008.27,0.00,0.00,13,小雨,35.62,1,东南,33.91,2022-10-02T19:00:00+08:00
88.35,28.79,2.37,112,0.00,1009.00,0.00,0.00,0,晴,34.65,1,东南,34.96,2022-10-02T20:00:00+08:00
89.60,28.15,1.58,118,0.00,1009.65,0.00,0.00,0,晴,33.95,1,东南,34.16,2022-10-02T21:00:00+08:00
89.80,27.02,1.12,349,0.00,1009.98,0.00,0.00,0,晴,32.40,1,北,32.05,2022-10-02T22:00:00+08:00
89.83,27.03,0.86,80,0.00,1010.02,0.00,0.00,0,晴,32.46,0,东,32.08,2022-10-02T23:00:00+08:00
89.84,26.71,1.50,81,0.00,1009.84,0.00,0.00,0,晴,31.89,1,东,31.49,2022-10-03T00:00:00+08:00
