humidity,temperature,wind_speed,wind_direction_degree,precip,pressure,solar_radiation,cloud,code,text,feels_like,wind_scale,wind_direction,vapor_pressure,last_update
72.53,13.02,9.13,24,0.00,1021.12,0.00,100.00,9,阴,11.75,2,东北,10.88,2022-11-30T23:00:00+08:00
72.99,12.62,10.90,10,0.00,1021.18,0.00,100.00,9,阴,10.96,2,北,10.66,2022-12-01T00:00:00+08:00
71.44,12.22,13.76,21,0.00,1020.98,0.00,100.00,9,阴,9.92,3,东北,10.17,2022-12-01T01:00:00+08:00
70.99,12.04,11.41,19,0.00,1020.95,0.00,100.00,9,阴,10.12,2,东北,9.98,2022-12-01T02:00:00+08:00
70.72,11.67,9.91,0,0.00,1020.62,0.00,100.00,9,阴,9.94,2,北,9.70,2022-12-01T03:00:00+08:00
71.21,11.49,11.59,26,0.00,1020.71,0.00,21.20,0,晴,9.43,2,东北,9.66,2022-12-01T04:00:00+08:00
70.36,11.16,14.20,35,0.00,1020.45,0.00,22.96,0,晴,8.54,3,东北,9.33,2022-12-01T05:00:00+08:00
71.46,11.03,12.84,16,0.00,1021.04,0.00,24.88,0,晴,8.66,3,东北,9.40,2022-12-01T06:00:00+08:00
71.27,10.75,12.00,25,0.00,1021.63,0.48,24.88,0,晴,8.48,3,东北,9.20,2022-12-01T07:00:00+08:00
72.43,10.88,9.14,0,0.00,1022.55,75.32,33.87,0,晴,9.17,2,北,9.43,2022-12-01T08:00:00+08:00
69.90,11.83,8.23,18,0.00,1023.20,210.06,36.88,0,晴,10.41,2,东北,9.69,2022-12-01T09:00:00+08:00
67.33,12.47,8.08,38,0.00,1023.47,202.52,36.88,0,晴,11.13,2,东北,9.74,2022-12-01T10:00:00+08:00
64.93,12.68,14.44,36,0.00,1023.08,248.51,36.88,0,晴,10.16,3,东北,9.52,2022-12-01T11:00:00+08:00
71.57,11.96,11.52,41,0.00,1022.33,207.89,100.00,9,阴,10.02,2,东北,10.01,2022-12-01T12:00:00+08:00
69.80,12.66,8.76,21,0.00,1021.13,196.11,38.12,0,晴,11.31,2,东北,10.22,2022-12-01T13:00:00+08:00
71.64,12.58,10.75,347,0.00,1020.29,210.53,38.67,0,晴,10.90,2,西北,10.44,2022-12-01T14:00:00+08:00
69.53,12.54,6.22,6,0.00,1019.84,175.80,38.40,0,晴,11.61,2,北,10.10,2022-12-01T15:00:00+08:00
68.79,12.52,8.79,350,0.00,1019.67,125.78,100.00,9,阴,11.10,2,北,9.98,2022-12-01T16:00:00+08:00
75.51,10.75,10.07,343,0.00,1021.02,0.00,100.00,9,阴,8.93,2,西北,9.75,2022-12-01T18:00:00+08:00
75.85,10.50,7.93,353,0.00,1021.60,0.00,100.00,9,阴,9.03,2,北,9.63,2022-12-01T19:00:00+08:00
75.92,10.37,11.43,334,0.00,1021.99,0.00,100.00,9,阴,8.24,2,西北,9.56,2022-12-01T20:00:00+08:00
77.83,10.06,8.08,347,0.00,1022.69,0.00,100.00,9,阴,8.52,2,西北,9.60,2022-12-01T21:00:00+08:00
77.65,10.13,8.56,5,0.00,1022.99,0.00,100.00,9,阴,8.51,2,北,9.62,2022-12-01T22:00:00+08:00
74.23,9.81,11.70,19,0.00,1022.96,0.00,40.21,4,多云,8.40,2,东北,9.00,2022-12-01T23:00:00+08:00
75.43,9.46,9.77,19,0.00,1022.76,0.00,43.08,4,多云,8.14,2,东北,8.93,2022-12-02T01:00:00+08:00
77.32,9.00,12.13,11,0.00,1021.67,0.00,41.08,4,多云,7.47,3,北,8.88,2022-12-02T03:00:00+08:00
78.28,8.81,9.11,16,0.00,1021.50,0.00,40.05,4,多云,7.45,2,东北,8.87,2022-12-02T04:00:00+08:00
78.94,8.87,4.90,3,0.00,1021.33,0.00,40.12,4,多云,7.85,1,北,8.98,2022-12-02T05:00:00+08:00
75.52,9.03,10.19,356,0.00,1021.61,0.00,100.00,9,阴,7.63,2,北,8.69,2022-12-02T06:00:00+08:00
81.35,7.87,8.64,357,0.27,1022.56,54.61,29.56,13,小雨,6.41,2,北,8.65,2022-12-02T08:00:00+08:00
78.19,10.14,9.48,353,0.00,1022.61,259.45,32.37,0,晴,8.38,2,北,9.69,2022-12-02T10:00:00+08:00
67.44,11.30,10.15,11,0.00,1021.70,396.85,32.37,0,晴,9.36,2,北,9.03,2022-12-02T11:00:00+08:00
64.51,12.48,10.73,11,0.00,1020.42,487.32,25.83,0,晴,10.58,2,北,9.34,2022-12-02T12:00:00+08:00
61.82,14.03,7.05,355,0.00,1018.89,400.97,19.52,0,晴,13.01,2,北,9.90,2022-12-02T13:00:00+08:00
60.92,14.35,9.18,337,0.00,1017.61,317.60,14.53,0,晴,12.99,2,西北,9.96,2022-12-02T14:00:00+08:00
60.74,13.86,7.28,330,0.00,1017.01,344.78,15.53,0,晴,12.74,2,西北,9.62,2022-12-02T15:00:00+08:00
60.52,14.18,6.27,343,0.00,1016.93,160.35,17.19,0,晴,13.30,2,西北,9.79,2022-12-02T16:00:00+08:00
66.85,13.10,6.57,345,0.00,1017.35,0.00,15.99,0,晴,12.15,2,西北,10.08,2022-12-02T18:00:00+08:00
68.10,12.52,7.75,353,0.00,1017.85,0.00,100.00,9,阴,11.27,2,北,9.88,2022-12-02T19:00:00+08:00
69.79,12.28,8.50,343,0.00,1018.36,0.00,100.00,9,阴,10.90,2,西北,9.97,2022-12-02T20:00:00+08:00
70.44,12.21,8.46,358,0.00,1019.06,0.00,100.00,9,阴,10.84,2,北,10.02,2022-12-02T21:00:00+08:00
71.39,12.39,5.97,348,0.00,1019.55,0.00,10.35,0,晴,11.53,1,西北,10.27,2022-12-02T22:00:00+08:00
71.63,12.33,5.66,342,0.00,1019.51,0.00,11.90,0,晴,11.52,1,西北,10.27,2022-12-02T23:00:00+08:00
71.81,12.18,7.84,356,0.00,1019.24,0.00,11.90,0,晴,10.95,2,北,10.19,2022-12-03T00:00:00+08:00
72.57,11.90,4.58,347,0.00,1018.74,0.00,100.00,9,阴,11.23,1,西北,10.11,2022-12-03T01:00:00+08:00
74.04,11.89,5.25,6,0.00,1018.40,0.00,83.54,9,阴,11.13,1,北,10.31,2022-12-03T02:00:00+08:00
74.30,11.70,6.03,344,0.00,1017.67,0.00,83.54,9,阴,10.77,2,西北,10.22,2022-12-03T03:00:00+08:00
76.86,11.65,6.14,12,0.00,1017.87,0.00,31.90,0,晴,10.76,2,东北,10.53,2022-12-03T06:00:00+08:00
76.12,12.09,7.19,350,0.00,1018.68,82.56,9.81,0,晴,11.08,2,北,10.74,2022-12-03T08:00:00+08:00
70.65,14.08,4.56,1,0.00,1018.81,270.14,7.86,0,晴,13.81,1,北,11.35,2022-12-03T10:00:00+08:00
67.01,15.52,4.29,33,0.00,1018.07,325.07,7.86,0,晴,15.49,1,东北,11.82,2022-12-03T11:00:00+08:00
61.91,17.02,4.63,323,0.00,1016.87,531.83,6.58,0,晴,17.07,1,西北,12.01,2022-12-03T12:00:00+08:00
61.95,17.83,0.36,294,0.00,1015.61,360.55,6.04,0,晴,18.84,0,西北,12.65,2022-12-03T13:00:00+08:00
60.48,18.54,3.56,13,0.00,1014.72,302.81,6.24,0,晴,19.07,1,东北,12.91,2022-12-03T14:00:00+08:00
60.19,19.24,2.17,350,0.00,1014.31,266.14,100.00,9,阴,20.18,1,北,13.42,2022-12-03T15:00:00+08:00
61.81,19.17,5.98,346,0.00,1014.29,152.84,29.56,0,晴,19.47,1,西北,13.73,2022-12-03T16:00:00+08:00
66.26,18.23,4.75,354,0.00,1014.75,0.00,26.74,0,晴,18.72,1,北,13.87,2022-12-03T18:00:00+08:00
68.71,17.81,3.86,348,0.00,1015.29,0.00,26.74,0,晴,18.46,1,西北,14.01,2022-12-03T19:00:00+08:00
68.27,17.46,4.75,12,0.00,1016.00,0.00,100.00,9,阴,17.84,1,东北,13.62,2022-12-03T20:00:00+08:00
72.51,17.32,3.77,7,0.00,1016.50,0.00,100.00,9,阴,18.01,1,北,14.34,2022-12-03T21:00:00+08:00
91.98,16.33,3.86,38,0.00,1016.75,0.00,100.00,9,阴,17.49,1,东北,17.08,2022-12-03T22:00:00+08:00
93.12,16.29,5.43,339,0.00,1016.68,0.00,100.00,9,阴,17.19,1,西北,17.25,2022-12-03T23:00:00+08:00
92.97,15.88,3.51,339,0.00,1016.63,0.00,100.00,9,阴,17.01,1,西北,16.77,2022-12-04T00:00:00+08:00
92.79,15.98,4.16,344,0.00,1016.44,0.00,100.00,9,阴,17.01,1,西北,16.85,2022-12-04T01:00:00+08:00
90.65,15.79,5.62,16,0.00,1016.27,0.00,100.00,9,阴,16.43,1,东北,16.26,2022-12-04T02:00:00+08:00
90.64,15.63,6.96,354,0.00,1016.18,0.00,27.07,0,晴,15.98,2,北,16.09,2022-12-04T03:00:00+08:00
90.14,15.23,6.50,358,0.00,1016.24,0.00,100.00,9,阴,15.53,2,北,15.60,2022-12-04T04:00:00+08:00
88.41,15.29,5.51,359,0.00,1016.51,0.00,100.00,9,阴,15.73,1,北,15.36,2022-12-04T05:00:00+08:00
94.85,14.81,6.62,14,0.00,1017.31,0.00,28.88,0,晴,15.14,2,东北,15.98,2022-12-04T06:00:00+08:00
93.20,14.51,5.94,360,0.00,1017.90,0.24,28.88,0,晴,14.83,1,北,15.40,2022-12-04T07:00:00+08:00
90.42,14.41,7.82,5,0.00,1018.81,78.40,22.81,0,晴,14.27,2,北,14.84,2022-12-04T08:00:00+08:00
84.53,15.18,7.87,358,0.00,1019.49,198.52,100.00,9,阴,15.03,2,北,14.58,2022-12-04T09:00:00+08:00
77.57,16.04,8.76,4,0.00,1019.83,275.16,100.00,9,阴,15.71,2,北,14.14,2022-12-04T10:00:00+08:00
