humidity,temperature,wind_speed,wind_direction_degree,precip,pressure,solar_radiation,cloud,code,text,feels_like,wind_scale,wind_direction,vapor_pressure,last_update
98.94,28.05,0.68,219,0.00,1005.22,0.00,100.00,9,阴,34.67,0,西南,37.51,2022-08-31T23:00:00+08:00
99.44,27.98,2.46,33,0.00,1005.42,0.00,100.00,9,阴,34.28,1,东北,37.54,2022-09-01T00:00:00+08:00
100.01,27.71,1.19,304,0.66,1005.25,0.00,100.00,13,小雨,34.15,1,西北,37.17,2022-09-01T01:00:00+08:00
100.07,27.67,1.03,41,0.00,1005.05,0.00,100.00,9,阴,34.12,1,东北,37.10,2022-09-01T02:00:00+08:00
99.93,27.25,2.43,44,0.00,1004.24,0.00,100.00,9,阴,33.22,1,东北,36.15,2022-09-01T03:00:00+08:00
94.32,27.16,3.39,11,0.00,1004.07,0.00,100.00,9,阴,32.52,1,北,33.94,2022-09-01T04:00:00+08:00
93.76,27.29,2.65,37,0.00,1004.61,0.00,20.75,0,晴,32.80,1,东北,34.00,2022-09-01T05:00:00+08:00
96.99,26.76,0.14,343,0.00,1004.89,0.00,100.00,9,阴,32.71,0,西北,34.09,2022-09-01T06:00:00+08:00
98.48,26.79,2.19,53,0.00,1005.84,34.67,100.00,9,阴,32.48,1,东北,34.68,2022-09-01T07:00:00+08:00
92.09,28.11,3.28,48,0.00,1006.19,127.50,39.07,0,晴,33.77,1,东北,35.03,2022-09-01T08:00:00+08:00
88.03,29.38,4.05,33,0.00,1006.48,201.91,39.07,0,晴,35.19,1,东北,36.04,2022-09-01T09:00:00+08:00
87.39,30.59,4.25,22,0.00,1006.65,524.22,41.10,4,多云,36.91,1,东北,38.35,2022-09-01T10:00:00+08:00
85.04,30.89,4.67,20,0.00,1006.62,436.24,100.00,9,阴,37.07,1,东北,37.96,2022-09-01T11:00:00+08:00
82.38,30.36,4.11,339,0.00,1006.34,422.14,50.89,4,多云,36.16,1,西北,35.68,2022-09-01T12:00:00+08:00
81.22,30.42,5.50,12,0.00,1006.07,310.86,71.25,4,多云,35.89,1,东北,35.30,2022-09-01T13:00:00+08:00
78.91,31.03,6.70,34,0.00,1005.38,626.31,93.16,9,阴,36.37,2,东北,35.51,2022-09-01T14:00:00+08:00
78.72,31.98,6.60,46,0.00,1004.58,576.53,100.00,9,阴,37.78,2,东北,37.38,2022-09-01T15:00:00+08:00
76.06,32.11,5.40,51,0.00,1004.09,360.48,100.00,9,阴,37.94,1,东北,36.39,2022-09-01T16:00:00+08:00
74.49,32.02,4.89,14,0.00,1003.53,178.15,100.00,9,阴,37.74,1,东北,35.46,2022-09-01T17:00:00+08:00
80.23,30.75,3.02,31,0.00,1003.99,48.84,68.88,4,多云,36.74,1,东北,35.53,2022-09-01T18:00:00+08:00
84.20,29.69,2.15,10,0.00,1004.73,0.00,68.88,4,多云,35.67,1,北,35.09,2022-09-01T19:00:00+08:00
87.04,28.95,2.62,20,0.00,1004.90,0.00,100.00,9,阴,34.73,1,东北,34.76,2022-09-01T20:00:00+08:00
87.24,28.49,1.54,348,0.00,1005.59,0.00,100.00,9,阴,34.27,1,西北,33.93,2022-09-01T21:00:00+08:00
98.51,27.53,2.71,57,0.00,1005.86,0.00,100.00,9,阴,33.49,1,东北,36.23,2022-09-01T22:00:00+08:00
95.80,27.52,1.29,70,0.00,1005.75,0.00,100.00,9,阴,33.53,1,东北,35.21,2022-09-01T23:00:00+08:00
90.59,27.54,3.50,7,0.00,1005.57,0.00,100.00,9,阴,32.78,1,北,33.33,2022-09-02T00:00:00+08:00
93.35,27.03,2.41,29,0.00,1005.25,0.00,100.00,9,阴,32.43,1,东北,33.34,2022-09-02T01:00:00+08:00
87.05,26.96,3.55,2,0.00,1004.47,0.00,8.82,0,晴,31.68,1,北,30.96,2022-09-02T02:00:00+08:00
89.35,26.27,1.66,200,0.00,1004.33,0.00,0.00,0,晴,31.19,1,西南,30.52,2022-09-02T03:00:00+08:00
88.56,25.88,1.38,27,0.00,1004.47,0.00,0.00,0,晴,30.64,1,东北,29.56,2022-09-02T04:00:00+08:00
89.49,25.49,1.19,337,0.00,1004.78,0.00,0.00,0,晴,30.18,1,西北,29.18,2022-09-02T05:00:00+08:00
91.16,25.30,1.87,330,0.00,1005.33,0.00,34.69,0,晴,29.89,1,西北,29.40,2022-09-02T06:00:00+08:00
89.62,25.77,2.04,351,0.00,1005.76,46.44,34.69,0,晴,30.43,1,北,29.72,2022-09-02T07:00:00+08:00
