humidity,temperature,wind_speed,wind_direction_degree,precip,pressure,solar_radiation,cloud,code,text,feels_like,wind_scale,wind_direction,vapor_pressure,last_update
55.86,31.91,1.68,136,0.00,998.06,0.00,23.22,0,晴,36.40,1,东南,26.42,2022-06-28T20:00:00+08:00
59.75,31.22,0.39,151,0.00,998.66,0.00,20.23,0,晴,36.05,0,东南,27.18,2022-06-28T21:00:00+08:00
64.22,31.20,2.44,209,0.00,999.68,0.00,20.23,0,晴,36.06,1,西南,29.18,2022-06-28T22:00:00+08:00
66.16,30.84,1.85,192,0.00,1000.31,0.00,100.00,9,阴,35.84,1,西南,29.45,2022-06-28T23:00:00+08:00
67.53,30.21,2.54,185,0.00,999.96,0.00,1.33,0,晴,34.94,1,南,29.00,2022-06-29T00:00:00+08:00
72.67,29.71,1.63,183,0.00,999.35,0.00,100.00,9,阴,34.84,1,南,30.32,2022-06-29T01:00:00+08:00
75.59,28.53,0.72,83,0.00,999.19,0.00,0.00,0,晴,33.57,0,东,29.46,2022-06-29T02:00:00+08:00
74.95,28.65,1.14,353,0.00,999.46,0.00,0.00,0,晴,33.61,1,北,29.42,2022-06-29T03:00:00+08:00
78.10,28.44,0.76,99,0.00,999.20,0.00,0.00,0,晴,33.63,0,东,30.28,2022-06-29T04:00:00+08:00
80.63,27.81,1.17,128,0.00,998.99,0.00,0.00,0,晴,32.86,1,东南,30.14,2022-06-29T05:00:00+08:00
86.87,27.81,0.22,97,0.00,999.13,1.62,0.00,0,晴,33.49,0,东,32.47,2022-06-29T06:00:00+08:00
80.45,29.04,2.22,344,0.00,999.68,108.32,0.00,0,晴,34.41,1,西北,32.30,2022-06-29T07:00:00+08:00
70.43,30.86,2.24,107,0.00,999.67,305.62,100.00,9,阴,36.17,1,东南,31.39,2022-06-29T08:00:00+08:00
64.35,32.07,0.90,270,0.00,999.33,543.47,100.00,9,阴,37.57,0,西,30.72,2022-06-29T09:00:00+08:00
61.30,34.08,2.66,148,0.00,999.75,737.93,100.00,9,阴,39.81,1,东南,32.75,2022-06-29T10:00:00+08:00
57.48,34.38,1.49,184,0.00,999.64,788.19,56.48,4,多云,40.04,1,南,31.23,2022-06-29T11:00:00+08:00
53.67,34.83,0.61,204,0.00,999.43,753.14,0.00,0,晴,40.41,0,西南,29.89,2022-06-29T12:00:00+08:00
