humidity,temperature,wind_speed,wind_direction_degree,precip,pressure,solar_radiation,cloud,code,text,feels_like,wind_scale,wind_direction,vapor_pressure,last_update
82.23,12.29,10.95,20,0.00,1021.88,0.00,100.00,9,阴,10.82,2,东北,11.76,2022-11-30T23:00:00+08:00
80.52,12.13,12.71,34,0.00,1022.04,0.00,100.00,9,阴,10.26,3,东北,11.39,2022-12-01T00:00:00+08:00
82.55,11.83,11.02,56,0.00,1021.82,0.00,100.00,9,阴,10.25,2,东北,11.45,2022-12-01T01:00:00+08:00
82.23,11.62,9.75,51,0.00,1021.84,0.00,100.00,9,阴,10.22,2,东北,11.25,2022-12-01T02:00:00+08:00
82.38,11.18,11.97,48,0.00,1021.74,0.00,100.00,9,阴,9.28,2,东北,10.94,2022-12-01T03:00:00+08:00
85.42,10.89,10.83,30,0.00,1021.48,0.00,100.00,9,阴,9.22,2,东北,11.13,2022-12-01T04:00:00+08:00
88.25,10.68,13.28,24,0.00,1021.51,0.00,22.65,0,晴,8.59,3,东北,11.34,2022-12-01T05:00:00+08:00
86.73,10.48,11.36,30,0.00,1021.88,0.00,24.68,0,晴,8.66,2,东北,11.00,2022-12-01T06:00:00+08:00
86.16,10.38,10.56,37,0.00,1022.75,0.35,24.68,0,晴,8.67,2,东北,10.85,2022-12-01T07:00:00+08:00
81.62,10.39,13.81,18,0.00,1023.37,54.62,32.42,0,晴,7.98,3,东北,10.29,2022-12-01T08:00:00+08:00
76.46,10.90,12.28,32,0.00,1023.94,158.12,35.45,0,晴,8.74,3,东北,9.97,2022-12-01T09:00:00+08:00
72.54,11.17,12.00,39,0.00,1024.41,346.25,35.45,0,晴,9.01,3,东北,9.63,2022-12-01T10:00:00+08:00
69.53,11.82,9.14,51,0.00,1023.85,385.08,35.45,0,晴,10.22,2,东北,9.64,2022-12-01T11:00:00+08:00
68.90,12.11,12.04,23,0.00,1023.32,297.63,39.36,0,晴,10.03,3,东北,9.73,2022-12-01T12:00:00+08:00
68.45,12.23,15.03,12,0.00,1022.08,268.72,43.15,4,多云,9.62,3,东北,9.75,2022-12-01T13:00:00+08:00
67.74,11.76,13.10,10,0.00,1021.19,231.05,46.84,4,多云,9.38,3,北,9.35,2022-12-01T14:00:00+08:00
67.75,11.54,13.19,15,0.00,1020.72,205.97,45.40,4,多云,9.11,3,东北,9.22,2022-12-01T15:00:00+08:00
69.03,11.21,11.52,11,0.00,1020.65,138.45,45.50,4,多云,9.05,2,北,9.19,2022-12-01T16:00:00+08:00
75.95,9.61,12.23,7,0.00,1022.06,0.00,100.00,9,阴,8.15,3,北,9.09,2022-12-01T18:00:00+08:00
76.62,9.37,12.15,12,0.00,1022.50,0.00,100.00,9,阴,7.89,3,东北,9.02,2022-12-01T19:00:00+08:00
78.28,9.47,12.08,15,0.00,1023.07,0.00,100.00,9,阴,8.01,3,东北,9.28,2022-12-01T20:00:00+08:00
77.85,9.13,15.80,12,0.00,1023.70,0.00,100.00,9,阴,7.42,3,东北,9.02,2022-12-01T21:00:00+08:00
78.30,9.10,9.59,22,0.00,1023.92,0.00,100.00,9,阴,7.75,2,东北,9.05,2022-12-01T22:00:00+08:00
79.69,9.21,12.70,23,0.00,1023.71,0.00,100.00,9,阴,7.68,3,东北,9.28,2022-12-01T23:00:00+08:00
82.04,8.64,10.68,9,0.00,1023.60,0.00,38.33,0,晴,7.15,2,北,9.19,2022-12-02T01:00:00+08:00
82.42,8.35,12.99,19,0.00,1022.62,0.00,40.51,4,多云,6.68,3,东北,9.05,2022-12-02T03:00:00+08:00
83.57,8.23,10.98,17,0.00,1022.44,0.00,41.47,4,多云,6.66,2,东北,9.11,2022-12-02T04:00:00+08:00
83.54,8.11,9.27,15,0.00,1022.26,0.00,37.40,0,晴,6.63,2,东北,9.03,2022-12-02T05:00:00+08:00
89.00,7.38,11.81,6,0.00,1022.44,0.00,100.00,9,阴,5.58,2,北,9.15,2022-12-02T06:00:00+08:00
89.59,7.70,7.64,17,0.00,1023.36,49.40,23.93,0,晴,6.24,2,东北,9.42,2022-12-02T08:00:00+08:00
76.87,9.78,9.11,34,0.00,1023.57,273.14,21.61,0,晴,8.54,2,东北,9.30,2022-12-02T10:00:00+08:00
69.74,10.59,8.45,50,0.00,1022.58,310.14,21.61,0,晴,8.88,2,东北,8.91,2022-12-02T11:00:00+08:00
66.36,11.65,12.44,27,0.00,1021.21,401.56,20.61,0,晴,9.33,3,东北,9.09,2022-12-02T12:00:00+08:00
64.11,11.83,11.54,355,0.00,1019.98,347.19,19.34,0,晴,9.65,2,北,8.89,2022-12-02T13:00:00+08:00
64.25,12.13,12.11,360,0.00,1018.70,320.61,17.80,0,晴,9.91,3,北,9.09,2022-12-02T14:00:00+08:00
63.71,12.37,11.14,8,0.00,1018.06,256.34,20.17,0,晴,10.36,2,北,9.16,2022-12-02T15:00:00+08:00
64.64,12.31,9.20,5,0.00,1017.93,136.95,24.41,0,晴,10.65,2,北,9.25,2022-12-02T16:00:00+08:00
71.11,11.76,7.80,12,0.00,1018.17,0.00,23.20,0,晴,10.43,2,东北,9.82,2022-12-02T18:00:00+08:00
72.14,11.51,9.92,17,0.00,1018.61,0.00,100.00,9,阴,9.78,2,东北,9.80,2022-12-02T19:00:00+08:00
74.50,11.42,8.28,18,0.00,1019.23,0.00,100.00,9,阴,10.03,2,东北,10.06,2022-12-02T20:00:00+08:00
74.16,11.34,9.90,10,0.00,1019.91,0.00,100.00,9,阴,9.63,2,北,9.96,2022-12-02T21:00:00+08:00
74.09,11.24,11.00,15,0.00,1020.33,0.00,100.00,9,阴,9.31,2,东北,9.88,2022-12-02T22:00:00+08:00
74.79,11.19,9.33,23,0.00,1020.32,0.00,100.00,9,阴,9.57,2,东北,9.94,2022-12-02T23:00:00+08:00
76.10,11.06,8.79,13,0.00,1020.00,0.00,100.00,9,阴,9.55,2,东北,10.03,2022-12-03T00:00:00+08:00
77.59,11.04,9.19,9,0.00,1019.57,0.00,100.00,9,阴,9.49,2,北,10.21,2022-12-03T01:00:00+08:00
77.97,10.91,10.68,5,0.00,1019.07,0.00,100.00,9,阴,9.07,2,北,10.17,2022-12-03T02:00:00+08:00
79.09,10.85,8.52,17,0.00,1018.53,0.00,100.00,9,阴,9.42,2,东北,10.28,2022-12-03T03:00:00+08:00
79.73,10.78,8.03,12,0.00,1018.55,0.00,40.64,4,多云,9.44,2,东北,10.31,2022-12-03T06:00:00+08:00
79.12,11.13,8.92,5,0.00,1019.41,83.69,16.40,0,晴,9.69,2,北,10.48,2022-12-03T08:00:00+08:00
70.80,13.47,7.21,15,0.00,1019.53,309.90,13.44,0,晴,12.60,2,东北,10.93,2022-12-03T10:00:00+08:00
66.23,14.51,9.12,33,0.00,1018.72,382.37,13.44,0,晴,13.37,2,东北,10.94,2022-12-03T11:00:00+08:00
62.19,15.83,8.27,354,0.00,1017.52,535.32,10.58,0,晴,14.98,2,北,11.19,2022-12-03T12:00:00+08:00
60.20,17.03,5.54,4,0.00,1016.28,477.77,8.36,0,晴,16.85,1,北,11.69,2022-12-03T13:00:00+08:00
58.79,17.83,4.31,7,0.00,1015.39,308.76,6.79,0,晴,17.99,1,北,12.00,2022-12-03T14:00:00+08:00
60.42,18.00,6.89,346,0.00,1015.05,206.64,12.19,0,晴,17.81,2,西北,12.47,2022-12-03T15:00:00+08:00
60.72,18.18,6.78,355,0.00,1014.92,174.96,21.54,0,晴,18.06,2,北,12.67,2022-12-03T16:00:00+08:00
66.59,17.30,3.71,34,0.00,1015.33,0.00,100.00,9,阴,17.77,1,东北,13.15,2022-12-03T18:00:00+08:00
68.44,17.05,5.58,25,0.00,1016.05,0.00,100.00,9,阴,17.19,1,东北,13.30,2022-12-03T19:00:00+08:00
70.95,16.95,3.56,45,0.00,1016.73,0.00,100.00,9,阴,17.53,1,东北,13.70,2022-12-03T20:00:00+08:00
71.61,16.82,5.22,32,0.00,1017.20,0.00,100.00,9,阴,17.09,1,东北,13.72,2022-12-03T21:00:00+08:00
73.08,16.56,6.22,27,0.00,1017.35,0.00,100.00,9,阴,16.64,2,东北,13.77,2022-12-03T22:00:00+08:00
73.56,16.49,7.33,7,0.00,1017.29,0.00,100.00,9,阴,16.37,2,北,13.80,2022-12-03T23:00:00+08:00
74.12,16.30,5.85,17,0.00,1017.12,0.00,100.00,9,阴,16.43,1,东北,13.74,2022-12-04T00:00:00+08:00
72.71,16.12,5.52,13,0.00,1017.15,0.00,100.00,9,阴,16.21,1,东北,13.32,2022-12-04T01:00:00+08:00
73.79,16.08,6.91,10,0.00,1017.01,0.00,100.00,9,阴,15.95,2,北,13.49,2022-12-04T02:00:00+08:00
74.86,15.88,7.77,16,0.00,1016.95,0.00,35.74,0,晴,15.58,2,东北,13.51,2022-12-04T03:00:00+08:00
75.25,15.47,7.04,16,0.00,1016.90,0.00,40.93,4,多云,15.22,2,东北,13.23,2022-12-04T04:00:00+08:00
76.66,15.17,10.71,13,0.00,1017.38,0.00,38.34,0,晴,14.23,2,东北,13.22,2022-12-04T05:00:00+08:00
77.39,14.59,11.39,10,0.00,1017.96,0.00,100.00,9,阴,13.42,2,北,12.85,2022-12-04T06:00:00+08:00
82.01,14.00,12.03,12,0.00,1018.77,0.20,100.00,9,阴,12.73,3,东北,13.11,2022-12-04T07:00:00+08:00
85.88,13.75,11.43,7,0.00,1019.71,74.23,21.37,0,晴,12.65,2,北,13.51,2022-12-04T08:00:00+08:00
83.94,13.77,12.01,17,0.00,1020.47,206.24,19.12,0,晴,12.50,3,东北,13.22,2022-12-04T09:00:00+08:00
80.84,14.43,12.28,8,0.00,1020.82,308.22,19.12,0,晴,13.18,3,北,13.29,2022-12-04T10:00:00+08:00
72.80,15.38,10.40,14,0.00,1020.60,329.93,19.12,0,晴,14.42,2,东北,12.72,2022-12-04T11:00:00+08:00
68.16,16.17,10.69,10,0.00,1020.01,475.85,23.41,0,晴,15.17,2,北,12.53,2022-12-04T12:00:00+08:00
62.56,17.53,10.72,12,0.00,1017.82,433.56,31.13,0,晴,16.62,2,东北,12.53,2022-12-04T14:00:00+08:00
62.17,17.53,11.27,359,0.00,1017.77,275.72,30.34,0,晴,16.51,2,北,12.46,2022-12-04T15:00:00+08:00
64.14,16.43,13.11,10,0.00,1017.95,167.18,30.52,0,晴,14.91,3,北,11.99,2022-12-04T16:00:00+08:00
68.83,14.82,11.76,5,0.00,1018.88,0.00,100.00,9,阴,13.35,2,北,11.60,2022-12-04T18:00:00+08:00
69.86,13.96,13.32,11,0.00,1019.49,0.00,100.00,9,阴,12.06,3,北,11.14,2022-12-04T19:00:00+08:00
70.31,13.48,13.16,10,0.00,1020.43,0.00,100.00,9,阴,11.51,3,北,10.87,2022-12-04T20:00:00+08:00
71.43,13.31,12.36,4,0.00,1020.74,0.00,100.00,9,阴,11.49,3,北,10.92,2022-12-04T21:00:00+08:00
72.40,13.12,13.05,4,0.00,1021.18,0.00,100.00,9,阴,11.16,3,北,10.93,2022-12-04T22:00:00+08:00
73.20,12.79,15.05,13,0.00,1021.21,0.00,100.00,9,阴,10.43,3,东北,10.81,2022-12-04T23:00:00+08:00
74.05,12.60,12.40,1,0.00,1021.41,0.00,100.00,9,阴,10.70,3,北,10.80,2022-12-05T00:00:00+08:00
74.37,12.26,13.09,13,0.00,1021.29,0.00,24.75,0,晴,10.17,3,东北,10.61,2022-12-05T01:00:00+08:00
74.38,12.07,11.44,11,0.00,1021.27,0.00,29.60,0,晴,10.24,2,北,10.48,2022-12-05T02:00:00+08:00
74.29,11.77,13.47,7,0.00,1021.39,0.00,32.02,0,晴,9.51,3,北,10.26,2022-12-05T03:00:00+08:00
74.77,11.53,12.09,16,0.00,1021.66,0.00,34.00,0,晴,9.48,3,东北,10.17,2022-12-05T04:00:00+08:00
74.96,11.39,16.11,22,0.00,1021.82,0.00,26.71,0,晴,8.60,3,东北,10.10,2022-12-05T05:00:00+08:00
73.79,11.35,14.24,27,0.00,1022.41,0.00,19.53,0,晴,8.85,3,东北,9.91,2022-12-05T06:00:00+08:00
72.65,11.11,14.82,11,0.00,1023.19,0.06,19.53,0,晴,8.43,3,北,9.61,2022-12-05T07:00:00+08:00
71.68,11.26,11.85,37,0.00,1023.86,50.85,6.81,0,晴,9.12,2,东北,9.57,2022-12-05T08:00:00+08:00
69.50,11.28,14.51,16,0.00,1024.52,134.08,3.37,0,晴,8.61,3,东北,9.29,2022-12-05T09:00:00+08:00
67.98,11.47,13.08,2,0.00,1024.54,245.74,3.37,0,晴,9.05,3,北,9.21,2022-12-05T10:00:00+08:00
65.66,11.93,11.41,4,0.00,1023.97,205.81,3.37,0,晴,9.83,2,北,9.17,2022-12-05T11:00:00+08:00
65.42,13.95,12.82,10,0.00,1023.17,270.82,4.52,0,晴,11.99,3,北,10.42,2022-12-05T12:00:00+08:00
62.92,12.87,10.15,12,0.00,1020.87,222.37,11.57,0,晴,11.10,2,东北,9.34,2022-12-05T14:00:00+08:00
62.73,13.06,12.20,18,0.00,1020.43,156.84,74.27,4,多云,10.95,3,东北,9.43,2022-12-05T15:00:00+08:00
62.45,13.32,10.14,18,0.00,1020.20,135.84,0.00,0,晴,11.63,2,东北,9.55,2022-12-05T16:00:00+08:00
62.73,13.27,7.19,15,0.00,1020.38,0.00,0.00,0,晴,12.11,2,东北,9.56,2022-12-05T18:00:00+08:00
65.28,12.31,8.65,23,0.00,1021.04,0.00,0.00,0,晴,10.78,2,东北,9.34,2022-12-05T19:00:00+08:00
67.61,11.56,9.61,13,0.00,1021.40,0.00,0.00,0,晴,9.77,2,东北,9.21,2022-12-05T20:00:00+08:00
70.29,10.97,8.76,14,0.00,1021.91,0.00,0.00,0,晴,9.30,2,东北,9.21,2022-12-05T21:00:00+08:00
72.53,10.60,7.71,10,0.00,1022.15,0.00,0.00,0,晴,9.10,2,北,9.27,2022-12-05T22:00:00+08:00
74.35,10.16,10.80,10,0.00,1022.17,0.00,0.00,0,晴,8.06,2,北,9.23,2022-12-05T23:00:00+08:00
75.03,10.39,7.73,15,0.00,1022.04,0.00,0.00,0,晴,8.91,2,东北,9.46,2022-12-06T00:00:00+08:00
75.36,10.39,9.06,10,0.00,1022.04,0.00,1.99,0,晴,8.68,2,北,9.50,2022-12-06T01:00:00+08:00
75.22,10.16,8.55,15,0.00,1021.68,0.00,5.77,0,晴,8.49,2,东北,9.34,2022-12-06T02:00:00+08:00
73.34,10.21,9.31,16,0.00,1021.44,0.00,5.77,0,晴,8.36,2,东北,9.13,2022-12-06T03:00:00+08:00
71.94,10.05,9.79,1,0.00,1021.21,0.00,6.40,0,晴,8.06,2,北,8.86,2022-12-06T04:00:00+08:00
71.29,9.98,10.31,18,0.00,1021.28,0.00,6.88,0,晴,8.66,2,东北,8.74,2022-12-06T05:00:00+08:00
71.94,9.93,9.54,10,0.00,1021.50,0.00,7.49,0,晴,8.66,2,北,8.79,2022-12-06T06:00:00+08:00
73.01,9.90,9.70,10,0.00,1022.05,0.00,7.49,0,晴,8.62,2,北,8.91,2022-12-06T07:00:00+08:00
72.83,10.00,7.37,10,0.00,1022.60,64.11,20.94,0,晴,8.89,2,北,8.94,2022-12-06T08:00:00+08:00
71.43,10.53,8.21,17,0.00,1023.11,172.57,22.73,0,晴,8.90,2,东北,9.09,2022-12-06T09:00:00+08:00
69.12,11.07,9.96,16,0.00,1023.20,279.11,22.73,0,晴,9.16,2,东北,9.12,2022-12-06T10:00:00+08:00
66.61,11.98,9.36,22,0.00,1022.56,338.52,22.73,0,晴,10.29,2,东北,9.33,2022-12-06T11:00:00+08:00
60.58,13.61,7.87,24,0.00,1019.65,434.71,5.51,0,晴,12.32,2,东北,9.44,2022-12-06T13:00:00+08:00
59.91,13.97,9.03,23,0.00,1018.49,406.10,0.00,0,晴,12.52,2,东北,9.56,2022-12-06T14:00:00+08:00
60.12,14.49,11.55,11,0.00,1017.79,326.46,0.32,0,晴,12.70,2,北,9.92,2022-12-06T15:00:00+08:00
62.44,14.22,8.18,10,0.00,1017.58,156.34,3.21,0,晴,13.06,2,北,10.12,2022-12-06T16:00:00+08:00
69.73,12.90,10.17,17,0.00,1019.20,0.00,0.00,0,晴,11.34,2,东北,10.38,2022-12-06T19:00:00+08:00
70.38,12.79,9.42,28,0.00,1019.85,0.00,0.00,0,晴,11.36,2,东北,10.40,2022-12-06T20:00:00+08:00
71.65,12.75,8.24,21,0.00,1020.25,0.00,0.00,0,晴,11.56,2,东北,10.56,2022-12-06T21:00:00+08:00
72.01,12.63,8.25,22,0.00,1020.52,0.00,0.00,0,晴,11.43,2,东北,10.53,2022-12-06T22:00:00+08:00
73.17,12.43,6.33,23,0.00,1020.49,0.00,0.00,0,晴,11.56,2,东北,10.56,2022-12-06T23:00:00+08:00
75.63,11.97,5.66,30,0.00,1020.19,0.00,0.00,0,晴,11.20,1,东北,10.59,2022-12-07T00:00:00+08:00
77.20,11.72,6.37,16,0.00,1019.93,0.00,0.00,0,晴,10.81,2,东北,10.63,2022-12-07T01:00:00+08:00
77.16,11.55,9.63,10,0.00,1020.01,0.00,0.00,0,晴,10.01,2,北,10.50,2022-12-07T02:00:00+08:00
76.06,11.41,8.52,18,0.00,1019.88,0.00,0.00,0,晴,10.02,2,东北,10.26,2022-12-07T03:00:00+08:00
77.69,11.33,5.06,6,0.00,1019.96,0.00,0.00,0,晴,10.59,1,北,10.42,2022-12-07T04:00:00+08:00
78.35,11.57,7.46,10,0.00,1019.81,0.00,0.00,0,晴,10.47,2,北,10.68,2022-12-07T05:00:00+08:00
77.88,11.36,6.94,1,0.00,1019.99,0.00,0.00,0,晴,10.29,2,北,10.47,2022-12-07T06:00:00+08:00
82.58,11.02,4.32,9,0.00,1020.38,0.00,0.00,0,晴,10.48,1,北,10.85,2022-12-07T07:00:00+08:00
77.47,11.55,9.28,9,0.00,1020.92,106.23,0.00,0,晴,10.09,2,北,10.55,2022-12-07T08:00:00+08:00
72.19,12.52,11.83,19,0.00,1021.46,304.36,0.00,0,晴,10.65,2,东北,10.48,2022-12-07T09:00:00+08:00
67.95,14.29,7.05,27,0.00,1021.35,495.04,0.00,0,晴,13.53,2,东北,11.07,2022-12-07T10:00:00+08:00
62.34,15.62,7.95,21,0.00,1020.65,630.65,0.00,0,晴,14.78,2,东北,11.06,2022-12-07T11:00:00+08:00
58.03,16.67,8.61,5,0.00,1019.51,443.26,0.00,0,晴,15.78,2,北,11.01,2022-12-07T12:00:00+08:00
56.74,17.10,9.91,23,0.00,1018.34,675.64,0.00,0,晴,16.02,2,东北,11.06,2022-12-07T13:00:00+08:00
55.24,17.87,7.16,34,0.00,1017.09,583.62,0.00,0,晴,17.38,2,东北,11.31,2022-12-07T14:00:00+08:00
53.96,18.45,9.34,18,0.00,1016.58,427.96,0.00,0,晴,17.64,2,东北,11.46,2022-12-07T15:00:00+08:00
54.01,19.13,6.22,17,0.00,1016.41,227.72,0.00,0,晴,19.03,2,东北,11.96,2022-12-07T16:00:00+08:00
61.90,16.74,6.06,39,0.00,1017.18,0.00,0.00,0,晴,16.47,2,东北,11.80,2022-12-07T18:00:00+08:00
66.91,15.89,4.62,38,0.00,1017.83,0.00,0.00,0,晴,15.88,1,东北,12.08,2022-12-07T19:00:00+08:00
69.41,15.32,5.41,29,0.00,1018.39,0.00,0.00,0,晴,15.13,1,东北,12.08,2022-12-07T20:00:00+08:00
71.01,14.93,5.83,56,0.00,1018.74,0.00,0.00,0,晴,14.63,1,东北,12.05,2022-12-07T21:00:00+08:00
72.89,14.44,5.84,33,0.00,1019.22,0.00,0.00,0,晴,14.09,1,东北,11.99,2022-12-07T22:00:00+08:00
75.18,13.84,4.60,22,0.00,1019.35,0.00,0.00,0,晴,13.65,1,东北,11.89,2022-12-07T23:00:00+08:00
77.94,13.42,6.47,19,0.00,1019.08,0.00,0.00,0,晴,12.88,2,东北,12.00,2022-12-08T01:00:00+08:00
77.19,13.42,4.85,10,0.00,1018.57,0.00,100.00,9,阴,13.15,1,北,11.88,2022-12-08T02:00:00+08:00
78.09,13.50,7.29,8,0.00,1018.41,0.00,100.00,9,阴,12.84,2,北,12.08,2022-12-08T03:00:00+08:00
76.73,13.23,6.38,18,0.00,1018.38,0.00,0.00,0,晴,12.63,2,东北,11.67,2022-12-08T04:00:00+08:00
76.15,13.16,5.39,36,0.00,1018.32,0.00,0.00,0,晴,12.71,1,东北,11.52,2022-12-08T05:00:00+08:00
78.13,12.90,6.75,13,0.00,1018.93,0.00,0.00,0,晴,12.20,2,东北,11.63,2022-12-08T06:00:00+08:00
79.88,12.50,7.32,8,0.00,1019.57,0.00,0.00,0,晴,11.67,2,北,11.58,2022-12-08T07:00:00+08:00
75.80,13.14,6.96,23,0.00,1020.09,100.15,83.13,9,阴,12.39,2,东北,11.46,2022-12-08T08:00:00+08:00
70.54,13.88,6.91,13,0.00,1020.52,255.84,0.00,0,晴,13.14,2,东北,11.19,2022-12-08T09:00:00+08:00
63.31,16.15,5.53,31,0.00,1020.27,304.44,0.00,0,晴,15.90,1,东北,11.62,2022-12-08T10:00:00+08:00
59.56,16.58,5.94,359,0.00,1019.91,381.55,0.00,0,晴,16.21,1,北,11.24,2022-12-08T11:00:00+08:00
56.99,18.16,9.21,355,0.00,1018.78,682.60,0.00,0,晴,17.44,2,北,11.88,2022-12-08T12:00:00+08:00
51.89,19.22,7.80,360,0.00,1017.40,551.33,0.00,0,晴,18.76,2,北,11.56,2022-12-08T13:00:00+08:00
49.70,19.74,8.54,351,0.00,1016.24,583.93,65.48,4,多云,19.16,2,北,11.43,2022-12-08T14:00:00+08:00
48.94,20.81,7.86,345,0.00,1015.71,428.73,0.00,0,晴,20.55,2,西北,12.03,2022-12-08T15:00:00+08:00
50.30,20.88,9.49,353,0.00,1015.35,228.73,0.00,0,晴,20.40,2,北,12.42,2022-12-08T16:00:00+08:00
60.79,17.90,7.76,10,0.00,1015.55,0.00,0.00,0,晴,17.54,2,北,12.47,2022-12-08T18:00:00+08:00
64.80,16.89,8.18,18,0.00,1016.13,0.00,0.00,0,晴,16.38,2,东北,12.47,2022-12-08T19:00:00+08:00
69.78,15.74,8.86,12,0.00,1016.83,0.00,0.00,0,晴,15.03,2,东北,12.48,2022-12-08T21:00:00+08:00
70.71,15.15,9.53,8,0.00,1017.29,0.00,0.00,0,晴,14.22,2,北,12.17,2022-12-08T22:00:00+08:00
71.80,14.43,9.50,7,0.00,1017.69,0.00,0.00,0,晴,13.38,2,北,11.80,2022-12-08T23:00:00+08:00
75.57,13.90,5.95,40,0.00,1017.39,0.00,0.00,0,晴,13.50,1,东北,12.00,2022-12-09T00:00:00+08:00
