humidity,temperature,wind_speed,wind_direction_degree,precip,pressure,solar_radiation,cloud,code,text,feels_like,wind_scale,wind_direction,vapor_pressure,last_update
64.87,32.11,5.74,149,0.00,1001.46,0.00,0.00,0,晴,36.81,1,东南,31.03,2022-06-28T20:00:00+08:00
69.54,31.40,4.09,136,0.00,1002.15,0.00,0.00,0,晴,36.53,1,东南,31.96,2022-06-28T21:00:00+08:00
68.26,30.84,5.35,157,0.00,1003.07,0.00,0.00,0,晴,35.39,1,东南,30.39,2022-06-28T22:00:00+08:00
71.06,30.54,4.96,146,0.00,1003.46,0.00,0.00,0,晴,35.28,1,东南,31.10,2022-06-28T23:00:00+08:00
74.74,30.03,4.41,117,0.00,1003.32,0.00,0.00,0,晴,34.96,1,东南,31.76,2022-06-29T00:00:00+08:00
76.05,29.64,4.18,148,0.00,1002.78,0.00,0.00,0,晴,34.56,1,东南,31.61,2022-06-29T01:00:00+08:00
72.91,29.55,6.85,151,0.00,1002.45,0.00,0.00,0,晴,33.69,2,东南,30.14,2022-06-29T02:00:00+08:00
78.20,28.98,3.28,145,0.00,1002.86,0.00,0.00,0,晴,33.95,1,东南,31.29,2022-06-29T03:00:00+08:00
81.31,28.12,1.44,69,0.00,1002.63,0.00,15.30,0,晴,33.30,1,东北,30.95,2022-06-29T04:00:00+08:00
80.96,27.78,0.94,8,0.00,1002.36,0.00,22.70,0,晴,32.88,0,北,30.21,2022-06-29T05:00:00+08:00
83.22,27.58,1.06,93,0.00,1002.34,6.16,30.11,0,晴,32.74,1,东,30.69,2022-06-29T06:00:00+08:00
85.23,28.41,1.50,47,0.00,1002.86,108.84,30.11,0,晴,34.00,1,东北,32.99,2022-06-29T07:00:00+08:00
75.86,29.77,1.70,30,0.00,1002.83,305.06,39.99,0,晴,35.18,1,东北,31.76,2022-06-29T08:00:00+08:00
67.72,32.12,2.34,2,0.00,1002.63,527.21,22.13,0,晴,37.71,1,北,32.42,2022-06-29T09:00:00+08:00
67.36,32.11,2.45,17,0.00,1003.06,491.54,31.41,0,晴,37.64,1,东北,32.23,2022-06-29T10:00:00+08:00
62.52,33.67,4.11,104,0.00,1002.80,657.31,49.14,4,多云,39.09,1,东南,32.65,2022-06-29T11:00:00+08:00
57.66,34.58,5.03,115,0.00,1002.53,522.40,0.00,0,晴,39.70,1,东南,31.67,2022-06-29T12:00:00+08:00
56.16,35.41,3.60,53,0.00,1001.85,586.35,0.00,0,晴,40.97,1,东北,32.30,2022-06-29T13:00:00+08:00
54.29,35.90,6.71,57,0.00,1000.95,580.79,100.00,9,阴,40.90,2,东北,32.07,2022-06-29T14:00:00+08:00
64.10,32.97,10.06,126,0.00,1000.83,136.65,100.00,9,阴,37.18,2,东南,32.19,2022-06-29T15:00:00+08:00
89.82,28.84,2.88,45,0.74,1000.71,281.30,100.00,13,小雨,34.74,1,东北,35.65,2022-06-29T16:00:00+08:00
89.42,29.10,2.93,46,0.39,1000.48,233.66,100.00,13,小雨,35.09,1,东北,36.02,2022-06-29T17:00:00+08:00
78.49,31.01,2.55,108,0.00,1000.73,97.45,29.68,0,晴,37.05,1,东南,35.28,2022-06-29T18:00:00+08:00
76.53,30.64,3.59,85,0.00,1001.36,2.91,85.11,9,阴,36.15,1,东,33.68,2022-06-29T19:00:00+08:00
77.67,30.16,4.66,112,0.00,1002.01,0.00,41.15,4,多云,35.36,1,东南,33.26,2022-06-29T20:00:00+08:00
79.23,29.85,4.45,144,0.00,1002.36,0.00,55.21,4,多云,35.08,1,东南,33.33,2022-06-29T21:00:00+08:00
80.88,29.55,2.87,108,0.00,1002.84,0.00,69.50,4,多云,35.06,1,东南,33.44,2022-06-29T22:00:00+08:00
85.01,28.87,1.30,34,0.00,1002.91,0.00,100.00,9,阴,34.69,1,东北,33.79,2022-06-29T23:00:00+08:00
83.89,29.24,3.51,90,0.00,1003.21,0.00,100.00,9,阴,34.75,1,东,34.07,2022-06-30T00:00:00+08:00
90.47,28.10,0.91,138,0.00,1003.21,0.00,49.12,4,多云,34.06,0,东南,34.39,2022-06-30T01:00:00+08:00
91.62,27.62,1.94,47,0.00,1002.81,0.00,50.27,4,多云,33.26,1,东北,33.87,2022-06-30T02:00:00+08:00
90.63,27.46,0.60,10,0.00,1002.76,0.00,50.70,4,多云,33.19,0,北,33.19,2022-06-30T03:00:00+08:00
90.22,27.20,2.46,61,0.00,1002.35,0.00,32.51,0,晴,32.45,1,东北,32.54,2022-06-30T04:00:00+08:00
89.14,27.23,2.29,54,0.00,1002.51,0.00,31.30,0,晴,32.44,1,东北,32.21,2022-06-30T05:00:00+08:00
91.13,26.86,1.10,9,0.00,1002.53,1.63,32.24,0,晴,32.26,1,北,32.22,2022-06-30T06:00:00+08:00
86.44,27.58,2.48,35,0.00,1003.18,97.11,32.24,0,晴,32.72,1,东北,31.88,2022-06-30T07:00:00+08:00
81.15,28.73,3.45,36,0.00,1003.24,271.82,44.48,4,多云,33.80,1,东北,32.00,2022-06-30T08:00:00+08:00
72.40,30.98,4.43,32,0.00,1003.25,299.22,45.10,4,多云,36.12,1,东北,32.49,2022-06-30T09:00:00+08:00
70.39,31.32,4.37,30,0.00,1003.14,340.56,62.97,4,多云,36.44,1,东北,32.20,2022-06-30T10:00:00+08:00
65.20,32.57,8.11,27,0.00,1003.32,460.71,89.71,9,阴,37.07,2,东北,32.01,2022-06-30T11:00:00+08:00
65.16,32.29,7.14,44,0.00,1003.09,300.41,100.00,9,阴,36.84,2,东北,31.49,2022-06-30T12:00:00+08:00
84.75,28.92,4.56,57,1.71,1003.41,346.49,100.00,13,小雨,34.15,1,东北,33.79,2022-06-30T13:00:00+08:00
77.96,30.62,6.54,42,0.00,1002.34,397.17,100.00,9,阴,35.71,2,东北,34.27,2022-06-30T14:00:00+08:00
68.93,32.27,4.88,38,0.00,1001.75,421.90,100.00,9,阴,37.58,1,东北,33.28,2022-06-30T15:00:00+08:00
71.20,31.14,8.48,165,0.00,1001.95,248.45,69.10,4,多云,35.51,2,东南,32.24,2022-06-30T16:00:00+08:00
76.73,29.93,2.12,82,0.00,1001.15,202.27,85.55,9,阴,35.41,1,东,32.42,2022-06-30T17:00:00+08:00
79.45,29.61,3.86,36,0.00,1001.42,93.94,100.00,9,阴,34.86,1,东北,32.96,2022-06-30T18:00:00+08:00
78.01,29.34,3.32,37,0.00,1001.57,2.91,100.00,9,阴,34.45,1,东北,31.87,2022-06-30T19:00:00+08:00
81.13,28.97,3.40,27,0.00,1002.72,0.00,78.28,4,多云,34.15,1,东北,32.44,2022-06-30T20:00:00+08:00
75.34,29.31,5.46,60,0.00,1003.67,0.00,57.59,4,多云,33.80,1,东北,30.72,2022-06-30T21:00:00+08:00
81.23,28.73,2.50,68,0.00,1004.03,0.00,54.11,4,多云,33.98,1,东北,32.03,2022-06-30T22:00:00+08:00
