humidity,temperature,wind_speed,wind_direction_degree,precip,pressure,solar_radiation,cloud,code,text,feels_like,wind_scale,wind_direction,vapor_pressure,last_update
94.02,29.91,2.35,55,0.00,1003.90,0.00,100.00,9,阴,36.79,1,东北,39.68,2022-08-31T23:00:00+08:00
95.10,29.65,1.78,337,0.00,1004.08,0.00,100.00,9,阴,36.59,1,西北,39.55,2022-09-01T00:00:00+08:00
94.21,29.35,6.48,314,0.00,1003.80,0.00,100.00,9,阴,35.21,2,西北,38.50,2022-09-01T01:00:00+08:00
100.54,27.34,0.66,67,3.61,1003.80,0.00,100.00,14,中雨,33.73,0,东北,36.56,2022-09-01T02:00:00+08:00
101.66,26.90,3.67,4,12.81,1002.72,0.00,100.00,15,大雨,32.60,1,北,36.03,2022-09-01T03:00:00+08:00
101.84,26.99,1.62,328,0.00,1002.69,0.00,100.00,9,阴,33.12,1,西北,36.29,2022-09-01T04:00:00+08:00
101.72,26.88,0.42,291,0.00,1003.43,0.00,53.10,4,多云,33.16,0,西北,36.01,2022-09-01T05:00:00+08:00
101.76,26.58,1.83,356,0.00,1003.66,0.00,100.00,9,阴,32.47,1,北,35.39,2022-09-01T06:00:00+08:00
102.13,26.44,0.53,359,0.00,1004.56,15.89,100.00,9,阴,32.52,0,北,35.23,2022-09-01T07:00:00+08:00
102.73,27.03,4.45,308,0.00,1004.89,45.37,100.00,9,阴,32.73,1,西北,36.69,2022-09-01T08:00:00+08:00
93.06,27.70,4.62,10,0.00,1005.12,227.24,100.00,9,阴,33.00,1,北,34.56,2022-09-01T09:00:00+08:00
84.66,28.99,1.98,335,0.00,1005.48,306.95,100.00,9,阴,34.72,1,西北,33.89,2022-09-01T10:00:00+08:00
76.95,29.86,5.76,338,0.00,1005.36,370.54,100.00,9,阴,34.67,1,西北,32.39,2022-09-01T11:00:00+08:00
77.26,30.49,6.06,350,0.00,1005.01,450.56,50.77,4,多云,35.55,2,北,33.71,2022-09-01T12:00:00+08:00
74.17,30.58,9.36,16,0.00,1004.56,484.58,100.00,9,阴,34.81,2,东北,32.53,2022-09-01T13:00:00+08:00
70.21,31.54,7.98,1,0.00,1003.92,552.42,100.00,9,阴,36.09,2,北,32.52,2022-09-01T14:00:00+08:00
70.60,32.28,3.01,16,0.00,1003.26,536.21,100.00,9,阴,38.09,1,东北,34.10,2022-09-01T15:00:00+08:00
67.67,32.26,2.67,289,0.00,1002.72,383.01,100.00,9,阴,37.84,1,西北,32.65,2022-09-01T16:00:00+08:00
68.24,32.06,0.99,62,0.00,1002.64,174.45,100.00,9,阴,37.92,0,东北,32.55,2022-09-01T17:00:00+08:00
69.01,31.68,3.27,319,0.00,1002.67,50.01,65.94,4,多云,37.03,1,西北,32.22,2022-09-01T18:00:00+08:00
72.10,30.61,1.68,22,0.00,1003.30,0.00,65.94,4,多云,36.06,1,东北,31.68,2022-09-01T19:00:00+08:00
75.34,30.03,1.51,2,0.00,1003.61,0.00,100.00,9,阴,35.54,1,北,32.02,2022-09-01T20:00:00+08:00
79.57,29.72,3.39,35,0.00,1004.40,0.00,100.00,9,阴,35.11,1,东北,33.22,2022-09-01T21:00:00+08:00
81.06,29.34,3.14,356,0.00,1004.57,0.00,100.00,9,阴,34.73,1,北,33.11,2022-09-01T22:00:00+08:00
80.68,29.01,4.32,344,0.00,1004.49,0.00,100.00,9,阴,34.01,1,西北,32.33,2022-09-01T23:00:00+08:00
80.61,28.60,0.71,12,0.00,1004.15,0.00,100.00,9,阴,34.06,0,东北,31.55,2022-09-02T00:00:00+08:00
79.82,28.31,3.03,44,0.00,1003.88,0.00,100.00,9,阴,33.17,1,东北,30.72,2022-09-02T01:00:00+08:00
79.52,27.80,4.09,1,0.00,1003.10,0.00,100.00,9,阴,32.23,1,北,29.71,2022-09-02T02:00:00+08:00
79.21,27.50,2.73,325,0.00,1002.95,0.00,100.00,9,阴,32.03,1,西北,29.08,2022-09-02T03:00:00+08:00
80.21,27.22,3.22,7,0.00,1003.05,0.00,100.00,9,阴,31.62,1,北,28.97,2022-09-02T04:00:00+08:00
81.95,26.77,2.61,5,0.00,1003.42,0.00,0.82,0,晴,31.22,1,北,28.82,2022-09-02T05:00:00+08:00
82.42,26.46,5.77,358,0.00,1003.89,0.00,0.00,0,晴,30.25,1,北,28.47,2022-09-02T06:00:00+08:00
79.37,26.43,5.33,306,0.00,1004.36,41.64,0.00,0,晴,30.07,1,西北,27.36,2022-09-02T07:00:00+08:00
71.83,28.04,5.39,343,0.00,1004.65,243.60,19.69,0,晴,31.75,1,西北,27.21,2022-09-02T08:00:00+08:00
68.82,29.06,8.79,358,0.00,1004.62,514.96,19.69,0,晴,32.32,2,北,27.66,2022-09-02T09:00:00+08:00
58.81,30.37,11.01,353,0.00,1003.74,729.90,0.00,0,晴,32.89,2,北,25.49,2022-09-02T11:00:00+08:00
58.13,31.25,7.22,34,0.00,1002.95,725.56,0.00,0,晴,34.71,2,东北,26.49,2022-09-02T12:00:00+08:00
56.29,31.28,11.55,26,0.00,1002.09,670.37,0.98,0,晴,33.80,2,东北,25.69,2022-09-02T13:00:00+08:00
53.90,31.58,10.24,0,0.00,1001.26,581.87,100.00,9,阴,34.23,2,北,25.02,2022-09-02T14:00:00+08:00
52.93,31.76,7.94,33,0.00,1000.50,518.18,60.64,4,多云,34.79,2,东北,24.83,2022-09-02T15:00:00+08:00
52.91,32.07,8.14,17,0.00,1000.34,366.60,0.00,0,晴,35.18,2,东北,25.26,2022-09-02T16:00:00+08:00
52.87,31.81,4.62,335,0.00,1000.44,183.02,73.51,4,多云,35.46,1,西北,24.87,2022-09-02T17:00:00+08:00
55.31,31.34,3.02,9,0.00,1000.68,43.85,27.68,0,晴,35.34,1,北,25.33,2022-09-02T18:00:00+08:00
59.61,30.65,1.62,350,0.00,1001.03,0.00,27.68,0,晴,35.04,1,北,26.25,2022-09-02T19:00:00+08:00
60.13,30.41,7.17,42,0.00,1001.69,0.00,100.00,9,阴,33.75,2,东北,26.12,2022-09-02T20:00:00+08:00
59.34,29.94,4.54,313,0.00,1002.21,0.00,100.00,9,阴,33.52,1,西北,25.09,2022-09-02T21:00:00+08:00
62.69,29.43,1.69,12,0.00,1002.64,0.00,100.00,9,阴,33.62,1,东北,25.74,2022-09-02T22:00:00+08:00
62.32,28.95,4.25,331,0.00,1002.61,0.00,0.00,0,晴,32.47,1,西北,24.89,2022-09-02T23:00:00+08:00
64.15,28.30,4.96,305,0.00,1001.85,0.00,0.00,0,晴,31.60,1,西北,24.67,2022-09-03T00:00:00+08:00
68.08,27.68,5.01,308,0.00,1001.53,0.00,0.00,0,晴,31.05,1,西北,25.26,2022-09-03T01:00:00+08:00
68.53,27.13,5.49,328,0.00,1000.58,0.00,0.00,0,晴,30.25,1,西北,24.62,2022-09-03T02:00:00+08:00
69.80,26.75,5.98,322,0.00,1000.42,0.00,0.00,0,晴,29.73,1,西北,24.52,2022-09-03T03:00:00+08:00
71.08,26.48,2.32,350,0.00,999.87,0.00,0.00,0,晴,30.12,1,北,24.58,2022-09-03T04:00:00+08:00
71.67,26.24,3.52,328,0.00,1000.08,0.00,0.00,0,晴,29.61,1,西北,24.43,2022-09-03T05:00:00+08:00
71.04,26.03,3.71,345,0.00,1000.58,0.00,0.00,0,晴,29.25,1,西北,23.92,2022-09-03T06:00:00+08:00
71.06,26.07,1.74,7,0.00,1001.01,66.29,0.00,0,晴,29.67,1,北,23.98,2022-09-03T07:00:00+08:00
66.17,27.99,7.68,327,0.00,1001.19,267.82,0.00,0,晴,30.85,2,西北,25.00,2022-09-03T08:00:00+08:00
59.39,29.38,8.06,329,0.00,1001.17,511.34,0.00,0,晴,32.13,2,西北,24.32,2022-09-03T09:00:00+08:00
49.04,29.91,6.21,320,0.00,1000.63,720.38,0.00,0,晴,32.31,2,西北,20.70,2022-09-03T10:00:00+08:00
46.53,31.11,4.34,2,0.00,1000.23,869.04,0.00,0,晴,33.99,1,北,21.03,2022-09-03T11:00:00+08:00
44.48,31.93,7.66,343,0.00,999.98,947.50,0.00,0,晴,34.28,2,西北,21.06,2022-09-03T12:00:00+08:00
43.28,32.48,8.06,5,0.00,998.98,865.87,0.00,0,晴,34.81,2,北,21.14,2022-09-03T13:00:00+08:00
42.88,33.23,4.31,357,0.00,997.97,836.05,0.00,0,晴,36.43,1,北,21.85,2022-09-03T14:00:00+08:00
39.96,33.47,8.19,316,0.00,997.52,629.25,0.00,0,晴,35.75,2,西北,20.63,2022-09-03T15:00:00+08:00
41.19,33.49,13.57,321,0.00,997.61,454.54,0.00,0,晴,34.93,3,西北,21.29,2022-09-03T16:00:00+08:00
41.39,33.42,5.75,40,0.00,997.12,236.50,0.00,0,晴,36.27,1,东北,21.31,2022-09-03T17:00:00+08:00
43.44,32.74,4.29,341,0.00,997.56,40.03,0.00,0,晴,35.85,1,西北,21.53,2022-09-03T18:00:00+08:00
49.78,31.83,2.79,339,0.00,998.07,0.00,0.00,0,晴,35.52,1,西北,23.44,2022-09-03T19:00:00+08:00
58.84,30.60,2.61,314,0.00,998.74,0.00,0.00,0,晴,34.72,1,西北,25.84,2022-09-03T20:00:00+08:00
62.97,30.03,3.46,289,0.00,999.09,0.00,0.00,0,晴,34.14,1,西北,26.76,2022-09-03T21:00:00+08:00
62.23,29.73,4.55,306,0.00,999.70,0.00,18.19,0,晴,33.47,1,西北,26.00,2022-09-03T22:00:00+08:00
57.15,29.74,1.94,21,0.00,1000.26,0.00,0.00,0,晴,33.53,1,东北,23.89,2022-09-03T23:00:00+08:00
59.22,29.09,3.11,341,0.00,999.98,0.00,0.00,0,晴,32.62,1,西北,23.84,2022-09-04T00:00:00+08:00
64.46,28.36,3.58,34,0.00,999.62,0.00,29.25,0,晴,31.96,1,东北,24.88,2022-09-04T01:00:00+08:00
63.62,27.76,2.20,348,0.00,999.78,0.00,0.00,0,晴,31.33,1,西北,23.71,2022-09-04T02:00:00+08:00
64.32,27.68,1.03,100,0.00,999.68,0.00,0.00,0,晴,31.49,1,东,23.86,2022-09-04T03:00:00+08:00
63.72,27.33,1.46,220,0.00,999.68,0.00,100.00,9,阴,30.89,1,西南,23.16,2022-09-04T04:00:00+08:00
63.29,27.36,5.13,6,0.00,999.78,0.00,22.31,0,晴,30.24,1,北,23.04,2022-09-04T05:00:00+08:00
66.39,26.99,4.78,3,0.00,1000.30,0.00,0.00,0,晴,30.03,1,北,23.65,2022-09-04T06:00:00+08:00
65.52,27.06,1.54,2,0.00,1000.55,63.91,0.00,0,晴,30.65,1,北,23.44,2022-09-04T07:00:00+08:00
61.16,29.04,4.34,5,0.00,1001.18,255.76,0.00,0,晴,32.48,1,北,24.55,2022-09-04T08:00:00+08:00
57.55,30.20,6.39,350,0.00,1001.41,496.20,0.00,0,晴,33.39,2,北,24.70,2022-09-04T09:00:00+08:00
51.25,31.05,3.65,16,0.00,1001.13,704.00,0.00,0,晴,34.47,1,东北,23.09,2022-09-04T10:00:00+08:00
48.87,31.80,7.86,345,0.00,1000.80,849.17,0.00,0,晴,34.49,2,西北,22.97,2022-09-04T11:00:00+08:00
48.40,32.36,8.38,2,0.00,1000.12,920.00,0.00,0,晴,35.09,2,北,23.48,2022-09-04T12:00:00+08:00
47.23,33.28,7.42,6,0.00,999.43,766.23,0.00,0,晴,36.38,2,北,24.13,2022-09-04T13:00:00+08:00
47.27,33.41,6.58,272,0.00,998.37,724.23,33.94,0,晴,36.71,2,西,24.33,2022-09-04T14:00:00+08:00
45.44,34.03,2.39,20,0.00,997.76,586.07,49.81,4,多云,38.11,1,东北,24.21,2022-09-04T15:00:00+08:00
45.31,34.00,8.08,346,0.00,997.58,386.45,0.00,0,晴,37.03,2,西北,24.10,2022-09-04T16:00:00+08:00
44.02,34.01,1.19,246,0.00,996.97,218.63,0.00,0,晴,38.14,1,西南,23.43,2022-09-04T17:00:00+08:00
45.49,33.29,5.00,294,0.00,998.26,36.31,0.00,0,晴,36.65,1,西北,23.26,2022-09-04T18:00:00+08:00
48.52,32.31,2.81,281,0.00,998.77,0.00,0.00,0,晴,36.04,1,西,23.48,2022-09-04T19:00:00+08:00
57.95,31.29,1.23,322,0.00,999.37,0.00,0.00,0,晴,35.83,1,西北,26.47,2022-09-04T20:00:00+08:00
62.12,30.73,2.52,309,0.00,1000.10,0.00,0.00,0,晴,35.20,1,西北,27.48,2022-09-04T21:00:00+08:00
63.67,30.23,1.03,290,0.00,1000.44,0.00,0.00,0,晴,34.91,1,西北,27.37,2022-09-04T22:00:00+08:00
58.62,30.02,2.17,48,0.00,1000.64,0.00,0.00,0,晴,33.99,1,东北,24.90,2022-09-04T23:00:00+08:00
55.38,29.66,0.55,311,0.00,1000.64,0.00,0.00,0,晴,33.53,0,西北,23.04,2022-09-05T00:00:00+08:00
54.04,28.91,2.35,351,0.00,1000.31,0.00,0.00,0,晴,32.10,1,北,21.53,2022-09-05T01:00:00+08:00
58.92,28.64,2.25,62,0.00,1000.08,0.00,0.00,0,晴,32.14,1,东北,23.11,2022-09-05T02:00:00+08:00
65.22,27.87,2.74,42,0.00,999.81,0.00,100.00,9,阴,31.50,1,东北,24.47,2022-09-05T03:00:00+08:00
62.66,27.33,2.09,288,0.00,999.85,0.00,100.00,9,阴,30.71,1,西北,22.78,2022-09-05T04:00:00+08:00
65.65,27.26,2.27,254,0.00,999.97,0.00,61.57,4,多云,30.80,1,西南,23.76,2022-09-05T05:00:00+08:00
63.71,26.91,1.32,332,0.00,1000.26,0.00,94.94,9,阴,30.36,1,西北,22.59,2022-09-05T06:00:00+08:00
63.53,27.27,3.20,289,0.00,1000.44,59.11,99.43,9,阴,30.49,1,西北,23.01,2022-09-05T07:00:00+08:00
60.25,28.16,1.19,319,0.00,1001.26,192.92,74.75,4,多云,31.80,1,西北,22.99,2022-09-05T08:00:00+08:00
53.10,30.36,1.84,304,0.00,1001.90,396.17,74.75,4,多云,34.04,1,西北,23.00,2022-09-05T09:00:00+08:00
50.25,30.67,1.92,329,0.00,1002.35,586.29,16.37,0,晴,34.19,1,西北,22.15,2022-09-05T10:00:00+08:00
45.90,32.19,6.84,9,0.00,1001.95,847.85,0.00,0,晴,34.90,2,北,22.06,2022-09-05T11:00:00+08:00
43.34,33.04,3.87,4,0.00,1001.56,843.56,0.00,0,晴,36.31,1,北,21.85,2022-09-05T12:00:00+08:00
41.55,34.11,2.88,301,0.00,1000.91,841.54,43.09,4,多云,37.71,1,西北,22.24,2022-09-05T13:00:00+08:00
40.44,34.58,2.51,320,0.00,1000.11,735.91,0.00,0,晴,38.27,1,西北,22.21,2022-09-05T14:00:00+08:00
41.42,34.78,4.85,334,0.00,999.56,594.90,44.55,4,多云,38.22,1,西北,23.01,2022-09-05T15:00:00+08:00
42.63,34.65,4.37,304,0.00,999.26,377.86,0.00,0,晴,38.27,1,西北,23.51,2022-09-05T16:00:00+08:00
