humidity,temperature,wind_speed,wind_direction_degree,precip,pressure,solar_radiation,cloud,code,text,feels_like,wind_scale,wind_direction,vapor_pressure,last_update
67.60,31.21,8.23,157,0.00,1001.02,0.00,0.00,0,晴,35.33,2,东南,30.73,2022-06-28T20:00:00+08:00
70.70,30.77,8.20,148,0.00,1001.73,0.00,0.00,0,晴,34.99,2,东南,31.35,2022-06-28T21:00:00+08:00
74.94,30.45,7.17,144,0.00,1002.64,0.00,0.00,0,晴,35.09,2,东南,32.63,2022-06-28T22:00:00+08:00
77.14,30.07,4.93,183,0.00,1002.80,0.00,0.00,0,晴,35.13,1,南,32.86,2022-06-28T23:00:00+08:00
78.63,29.76,6.01,169,0.00,1002.77,0.00,0.00,0,晴,34.62,2,南,32.90,2022-06-29T00:00:00+08:00
79.33,29.61,4.78,168,0.00,1002.26,0.00,100.00,9,阴,34.68,1,东南,32.91,2022-06-29T01:00:00+08:00
82.55,29.19,3.61,134,0.00,1002.00,0.00,3.00,0,晴,34.55,1,东南,33.43,2022-06-29T02:00:00+08:00
81.52,28.85,2.96,188,0.00,1002.14,0.00,15.54,0,晴,34.09,1,南,32.37,2022-06-29T03:00:00+08:00
85.17,28.13,1.03,305,0.00,1002.07,0.00,100.00,9,阴,33.68,1,西北,32.44,2022-06-29T04:00:00+08:00
81.96,28.61,0.80,88,0.00,1001.84,0.00,100.00,9,阴,34.17,0,东,32.10,2022-06-29T05:00:00+08:00
85.47,28.36,1.15,61,0.00,1001.69,2.95,100.00,9,阴,34.01,1,东北,32.99,2022-06-29T06:00:00+08:00
79.44,29.59,0.99,152,0.00,1002.00,103.98,100.00,9,阴,35.35,0,东南,32.92,2022-06-29T07:00:00+08:00
71.55,31.18,1.41,68,0.00,1002.19,260.93,100.00,9,阴,36.88,1,东北,32.47,2022-06-29T08:00:00+08:00
72.71,31.07,4.19,48,0.00,1002.05,447.91,100.00,9,阴,36.33,1,东北,32.79,2022-06-29T09:00:00+08:00
