humidity,temperature,wind_speed,wind_direction_degree,precip,pressure,solar_radiation,cloud,code,text,feels_like,wind_scale,wind_direction,vapor_pressure,last_update
78.17,29.92,1.51,87,0.00,997.96,0.00,0.00,0,晴,35.62,1,东,33.01,2022-06-28T20:00:00+08:00
77.79,29.30,1.51,75,0.00,998.39,0.00,0.00,0,晴,34.70,1,东北,31.70,2022-06-28T21:00:00+08:00
85.77,28.80,0.82,71,0.00,999.74,0.00,0.00,0,晴,34.74,0,东北,33.96,2022-06-28T22:00:00+08:00
90.11,28.32,1.27,312,0.00,1000.08,0.00,0.00,0,晴,34.29,1,西北,34.70,2022-06-28T23:00:00+08:00
93.78,27.64,1.80,355,0.00,999.91,0.00,15.14,0,晴,33.47,1,北,34.71,2022-06-29T00:00:00+08:00
94.30,27.36,1.20,55,0.00,999.44,0.00,2.66,0,晴,33.21,1,东北,34.34,2022-06-29T01:00:00+08:00
92.83,26.69,2.06,337,0.00,999.16,0.00,2.59,0,晴,31.97,1,西北,32.50,2022-06-29T02:00:00+08:00
93.39,26.25,0.18,198,0.00,999.40,0.00,9.60,0,晴,31.71,0,西南,31.86,2022-06-29T03:00:00+08:00
95.96,26.05,1.11,17,0.00,999.21,0.00,100.00,9,阴,31.42,1,东北,32.35,2022-06-29T04:00:00+08:00
97.21,25.42,1.18,23,0.00,999.13,0.00,37.71,0,晴,30.58,1,东北,31.57,2022-06-29T05:00:00+08:00
97.50,25.45,1.30,18,0.00,999.12,5.55,100.00,9,阴,30.62,1,东北,31.72,2022-06-29T06:00:00+08:00
91.72,27.53,1.07,7,0.00,999.45,111.39,100.00,9,阴,33.29,1,北,33.73,2022-06-29T07:00:00+08:00
82.99,30.06,4.21,321,0.00,999.51,328.14,44.74,4,多云,35.75,1,西北,35.33,2022-06-29T08:00:00+08:00
74.95,32.17,1.15,32,0.00,999.39,555.57,30.42,0,晴,38.68,1,东北,35.98,2022-06-29T09:00:00+08:00
72.30,33.54,4.84,310,0.00,999.60,748.92,40.13,4,多云,39.79,1,西北,37.48,2022-06-29T10:00:00+08:00
70.22,33.88,5.12,312,0.00,999.43,810.86,56.71,4,多云,40.02,1,西北,37.10,2022-06-29T11:00:00+08:00
66.12,34.81,5.10,309,0.00,999.22,956.14,0.00,0,晴,40.95,1,西北,36.79,2022-06-29T12:00:00+08:00
62.34,35.47,0.78,122,0.00,998.51,954.88,0.00,0,晴,42.28,0,东南,35.97,2022-06-29T13:00:00+08:00
60.14,34.91,1.47,360,0.00,997.72,724.01,100.00,9,阴,41.09,1,北,33.64,2022-06-29T14:00:00+08:00
64.41,36.69,1.62,322,0.00,997.20,425.69,100.00,9,阴,44.18,1,西北,39.74,2022-06-29T15:00:00+08:00
84.99,31.60,1.63,41,0.00,997.26,396.93,100.00,9,阴,38.69,1,东北,39.50,2022-06-29T16:00:00+08:00
86.96,33.48,2.28,340,0.00,997.09,241.01,100.00,9,阴,41.67,1,西北,44.93,2022-06-29T17:00:00+08:00
80.24,32.16,2.65,10,0.00,997.63,59.60,100.00,9,阴,38.90,1,北,38.50,2022-06-29T18:00:00+08:00
81.26,30.16,2.90,295,0.00,998.05,2.63,40.32,4,多云,35.98,1,西北,34.79,2022-06-29T19:00:00+08:00
86.85,29.27,0.44,176,0.00,998.88,0.00,40.98,4,多云,35.58,0,南,35.33,2022-06-29T20:00:00+08:00
85.90,28.55,1.49,292,0.00,999.13,0.00,51.58,4,多云,34.26,1,西北,33.52,2022-06-29T21:00:00+08:00
89.74,28.35,2.30,355,0.00,999.46,0.00,61.81,4,多云,34.12,1,北,34.62,2022-06-29T22:00:00+08:00
90.71,28.14,2.50,289,0.00,999.63,0.00,39.25,0,晴,33.85,1,西北,34.57,2022-06-29T23:00:00+08:00
90.40,27.87,1.87,322,0.00,999.99,0.00,56.99,4,多云,33.54,1,西北,33.91,2022-06-30T00:00:00+08:00
92.08,27.94,2.01,305,0.00,1000.00,0.00,64.55,4,多云,33.75,1,西北,34.68,2022-06-30T01:00:00+08:00
93.23,27.32,0.60,30,0.00,999.58,0.00,54.15,4,多云,33.17,0,东北,33.87,2022-06-30T02:00:00+08:00
91.48,26.75,3.38,325,0.00,999.49,0.00,41.35,4,多云,31.72,1,西北,32.14,2022-06-30T03:00:00+08:00
92.22,26.40,2.01,331,0.00,999.07,0.00,29.10,0,晴,31.51,1,西北,31.74,2022-06-30T04:00:00+08:00
94.40,25.86,0.74,74,0.00,999.14,0.00,100.00,9,阴,31.11,0,东北,31.47,2022-06-30T05:00:00+08:00
98.07,26.49,3.29,311,0.00,999.37,4.67,100.00,9,阴,31.82,1,西北,33.93,2022-06-30T06:00:00+08:00
89.83,27.65,3.15,306,0.00,999.72,101.53,100.00,9,阴,32.95,1,西北,33.27,2022-06-30T07:00:00+08:00
83.35,28.58,6.99,310,0.00,999.84,231.90,100.00,9,阴,33.12,2,西北,32.58,2022-06-30T08:00:00+08:00
73.25,30.07,5.86,315,0.00,999.18,469.04,37.39,0,晴,34.64,1,西北,31.20,2022-06-30T09:00:00+08:00
75.56,30.74,8.74,326,0.00,999.78,442.47,58.61,4,多云,35.28,2,西北,33.44,2022-06-30T10:00:00+08:00
71.85,31.65,6.59,299,0.00,1000.02,454.27,87.71,9,阴,36.65,2,西北,33.49,2022-06-30T11:00:00+08:00
72.32,30.30,1.56,85,0.00,999.74,287.50,100.00,9,阴,35.66,1,东,31.22,2022-06-30T12:00:00+08:00
84.84,25.56,0.98,20,8.21,999.92,227.59,100.00,15,大雨,30.01,0,东北,27.78,2022-06-30T13:00:00+08:00
90.00,26.43,2.02,228,0.33,999.01,424.71,100.00,13,小雨,31.40,1,西南,31.03,2022-06-30T14:00:00+08:00
83.37,27.25,4.57,244,0.00,998.59,420.26,100.00,9,阴,31.65,1,西南,30.16,2022-06-30T15:00:00+08:00
84.89,26.21,3.25,316,8.48,998.87,92.15,100.00,15,大雨,30.52,1,西北,28.89,2022-06-30T16:00:00+08:00
85.15,26.50,3.15,327,0.00,997.67,196.61,100.00,9,阴,30.96,1,西北,29.48,2022-06-30T17:00:00+08:00
91.80,26.73,1.56,76,0.00,997.97,95.54,91.32,9,阴,32.04,1,东北,32.21,2022-06-30T18:00:00+08:00
92.51,26.23,0.38,138,0.00,998.30,2.63,91.32,9,阴,31.58,0,东南,31.52,2022-06-30T19:00:00+08:00
94.43,25.76,1.70,346,0.00,999.38,0.00,80.81,9,阴,30.80,1,西北,31.29,2022-06-30T20:00:00+08:00
95.88,25.31,0.86,1,0.00,1000.57,0.00,100.00,9,阴,30.39,0,北,30.94,2022-06-30T21:00:00+08:00
96.30,25.12,0.26,111,0.00,1000.71,0.00,57.22,4,多云,30.26,0,东南,30.72,2022-06-30T22:00:00+08:00
