humidity,temperature,wind_speed,wind_direction_degree,precip,pressure,solar_radiation,cloud,code,text,feels_like,wind_scale,wind_direction,vapor_pressure,last_update
81.53,12.78,4.90,16,0.00,1011.69,0.00,100.00,9,阴,12.49,1,东北,12.04,2022-11-30T23:00:00+08:00
80.40,12.32,4.51,19,0.00,1011.67,0.00,100.00,9,阴,11.97,1,东北,11.52,2022-12-01T00:00:00+08:00
83.23,11.82,5.03,8,0.00,1011.51,0.00,100.00,9,阴,11.34,1,北,11.54,2022-12-01T01:00:00+08:00
84.28,11.46,4.03,9,0.00,1011.57,0.00,100.00,9,阴,11.11,1,北,11.41,2022-12-01T02:00:00+08:00
81.19,11.46,4.71,16,0.00,1011.52,0.00,100.00,9,阴,10.90,1,东北,10.99,2022-12-01T03:00:00+08:00
78.86,11.11,5.64,10,0.00,1011.36,0.00,100.00,9,阴,10.25,1,北,10.43,2022-12-01T04:00:00+08:00
80.12,10.60,6.09,18,0.00,1011.32,0.00,29.13,0,晴,9.59,2,东北,10.24,2022-12-01T05:00:00+08:00
81.33,10.42,4.69,24,0.00,1011.79,0.00,31.44,0,晴,9.66,1,东北,10.27,2022-12-01T06:00:00+08:00
81.06,10.26,4.90,6,0.00,1012.42,0.62,31.44,0,晴,9.42,1,北,10.13,2022-12-01T07:00:00+08:00
79.88,10.12,3.84,7,0.00,1013.02,57.51,38.05,0,晴,9.41,1,北,9.89,2022-12-01T08:00:00+08:00
75.83,10.57,5.70,11,0.00,1013.56,152.86,40.41,4,多云,9.51,1,北,9.67,2022-12-01T09:00:00+08:00
73.57,11.09,5.93,30,0.00,1014.01,209.93,40.41,4,多云,10.03,1,东北,9.72,2022-12-01T10:00:00+08:00
72.50,11.65,3.03,45,0.00,1013.50,256.93,40.41,4,多云,11.20,1,东北,9.94,2022-12-01T11:00:00+08:00
73.24,12.06,5.04,17,0.00,1012.62,214.26,36.08,0,晴,11.35,1,东北,10.31,2022-12-01T12:00:00+08:00
76.27,12.01,7.83,360,0.00,1011.56,254.69,32.59,0,晴,10.88,2,北,10.70,2022-12-01T13:00:00+08:00
78.90,11.21,6.89,17,0.00,1009.17,186.54,100.00,9,阴,10.15,2,东北,10.50,2022-12-01T14:00:00+08:00
76.09,11.24,5.88,40,0.00,1010.39,175.69,32.76,0,晴,10.29,1,东北,10.15,2022-12-01T15:00:00+08:00
80.55,11.23,6.85,15,0.00,1010.05,122.23,33.28,0,晴,10.22,2,东北,10.74,2022-12-01T16:00:00+08:00
82.56,10.33,5.56,23,0.00,1011.50,0.00,100.00,9,阴,9.42,1,东北,10.36,2022-12-01T18:00:00+08:00
85.72,9.97,5.26,4,0.00,1011.97,0.00,100.00,9,阴,9.08,1,北,10.50,2022-12-01T19:00:00+08:00
84.22,10.01,6.34,14,0.00,1012.19,0.00,100.00,9,阴,8.93,2,东北,10.35,2022-12-01T20:00:00+08:00
82.83,9.73,4.21,10,0.00,1012.80,0.00,100.00,9,阴,8.89,1,北,9.99,2022-12-01T21:00:00+08:00
75.06,9.48,6.78,21,0.00,1013.26,0.00,100.00,9,阴,8.37,2,东北,8.90,2022-12-01T22:00:00+08:00
81.44,9.21,5.99,3,0.00,1012.96,0.00,100.00,9,阴,8.14,1,北,9.48,2022-12-01T23:00:00+08:00
77.25,9.00,4.87,4,0.00,1013.04,0.00,54.94,4,多云,8.00,1,北,8.87,2022-12-02T01:00:00+08:00
78.63,8.58,5.08,11,0.00,1011.90,0.00,47.56,4,多云,7.51,1,北,8.77,2022-12-02T03:00:00+08:00
81.11,8.29,7.07,18,0.00,1011.76,0.00,47.40,4,多云,7.01,2,东北,8.87,2022-12-02T04:00:00+08:00
86.49,7.97,5.59,35,0.00,1011.63,0.00,48.09,4,多云,6.74,1,东北,9.26,2022-12-02T05:00:00+08:00
82.92,8.06,5.16,12,0.00,1011.96,0.00,52.21,4,多云,6.90,1,东北,8.93,2022-12-02T06:00:00+08:00
82.55,8.23,4.68,6,0.00,1012.80,67.77,37.28,0,晴,7.14,1,北,9.00,2022-12-02T08:00:00+08:00
85.65,9.04,6.90,21,0.00,1013.39,306.86,40.86,4,多云,7.87,2,东北,9.86,2022-12-02T10:00:00+08:00
72.10,10.36,5.45,24,0.00,1012.04,302.67,40.86,4,多云,9.21,1,东北,9.07,2022-12-02T11:00:00+08:00
68.04,12.03,4.31,11,0.00,1011.12,367.55,27.77,0,晴,11.30,1,北,9.56,2022-12-02T12:00:00+08:00
64.96,13.36,5.48,9,0.00,1009.38,465.18,20.88,0,晴,12.60,1,北,9.96,2022-12-02T13:00:00+08:00
62.79,14.50,4.89,322,0.00,1008.04,444.11,17.36,0,晴,14.00,1,西北,10.37,2022-12-02T14:00:00+08:00
62.95,15.48,6.22,6,0.00,1007.33,307.35,19.30,0,晴,14.95,2,北,11.07,2022-12-02T15:00:00+08:00
64.44,14.62,7.23,325,0.00,1007.39,204.72,22.80,0,晴,13.78,2,西北,10.72,2022-12-02T16:00:00+08:00
73.09,13.04,5.69,313,0.00,1007.73,0.00,22.06,0,晴,12.42,1,西北,10.98,2022-12-02T18:00:00+08:00
73.59,12.60,4.92,332,0.00,1008.12,0.00,100.00,9,阴,12.03,1,西北,10.74,2022-12-02T19:00:00+08:00
75.28,12.02,5.26,334,0.00,1008.72,0.00,100.00,9,阴,11.32,1,西北,10.57,2022-12-02T20:00:00+08:00
77.58,11.71,5.25,322,0.00,1009.46,0.00,100.00,9,阴,11.01,1,西北,10.67,2022-12-02T21:00:00+08:00
78.56,11.71,4.40,323,0.00,1009.85,0.00,59.56,4,多云,11.19,1,西北,10.81,2022-12-02T22:00:00+08:00
80.17,11.60,3.99,0,0.00,1009.88,0.00,19.02,0,晴,11.18,1,北,10.95,2022-12-02T23:00:00+08:00
80.20,11.32,5.46,323,0.00,1009.75,0.00,19.02,0,晴,10.57,1,西北,10.75,2022-12-03T00:00:00+08:00
79.67,11.33,4.76,308,0.00,1009.06,0.00,100.00,9,阴,10.70,1,西北,10.69,2022-12-03T01:00:00+08:00
80.17,11.42,4.14,323,0.00,1008.87,0.00,48.86,4,多云,10.93,1,西北,10.82,2022-12-03T02:00:00+08:00
81.15,11.43,3.78,331,0.00,1008.26,0.00,48.86,4,多云,11.04,1,西北,10.96,2022-12-03T03:00:00+08:00
83.17,10.92,6.79,313,0.00,1008.49,0.00,33.51,0,晴,9.92,2,西北,10.86,2022-12-03T06:00:00+08:00
84.88,11.29,4.67,311,0.00,1009.19,75.72,13.15,0,晴,10.80,1,西北,11.36,2022-12-03T08:00:00+08:00
75.80,13.32,4.15,299,0.00,1009.39,266.11,12.89,0,晴,13.12,1,西北,11.59,2022-12-03T10:00:00+08:00
72.27,14.66,3.00,336,0.00,1008.66,315.49,12.89,0,晴,14.85,1,西北,12.06,2022-12-03T11:00:00+08:00
68.40,16.55,4.12,308,0.00,1007.47,405.42,16.92,0,晴,16.84,1,西北,12.88,2022-12-03T12:00:00+08:00
66.27,17.56,2.88,313,0.00,1006.49,331.42,20.80,0,晴,18.22,1,西北,13.30,2022-12-03T13:00:00+08:00
67.29,18.47,3.30,11,0.00,1005.67,321.58,24.54,0,晴,19.32,1,北,14.30,2022-12-03T14:00:00+08:00
66.25,18.97,2.91,297,0.00,1005.09,269.33,34.22,0,晴,19.97,1,西北,14.53,2022-12-03T15:00:00+08:00
69.18,18.79,3.63,311,0.00,1005.15,150.44,49.68,4,多云,19.74,1,西北,15.00,2022-12-03T16:00:00+08:00
72.55,17.64,3.14,301,0.00,1013.66,0.00,100.00,9,阴,18.53,1,西北,14.64,2022-12-03T18:00:00+08:00
80.22,17.15,1.05,315,0.00,1006.33,0.00,100.00,9,阴,18.59,1,西北,15.69,2022-12-03T19:00:00+08:00
80.42,16.97,2.64,301,0.00,1007.04,0.00,40.79,4,多云,18.09,1,西北,15.55,2022-12-03T20:00:00+08:00
