humidity,temperature,wind_speed,wind_direction_degree,precip,pressure,solar_radiation,cloud,code,text,feels_like,wind_scale,wind_direction,vapor_pressure,last_update
94.16,26.62,9.48,115,0.00,1009.02,0.00,100.00,9,阴,30.62,2,东南,32.83,2022-09-30T23:00:00+08:00
92.99,26.57,6.64,64,0.00,1008.77,0.00,100.00,9,阴,30.98,2,东北,32.32,2022-10-01T00:00:00+08:00
93.67,26.49,3.87,83,0.00,1008.54,0.00,100.00,9,阴,31.41,1,东,32.41,2022-10-01T01:00:00+08:00
94.34,26.43,4.74,60,0.00,1008.51,0.00,100.00,9,阴,31.21,1,东北,32.52,2022-10-01T02:00:00+08:00
94.19,26.40,5.21,53,0.00,1008.31,0.00,100.00,9,阴,31.07,1,东北,32.42,2022-10-01T03:00:00+08:00
95.07,26.47,4.26,60,0.00,1008.04,0.00,37.52,0,晴,31.41,1,东北,32.85,2022-10-01T04:00:00+08:00
95.43,26.37,7.33,48,0.00,1007.91,0.00,47.94,4,多云,30.73,2,东北,32.78,2022-10-01T05:00:00+08:00
96.59,26.46,5.17,56,0.00,1008.36,0.00,59.35,4,多云,31.33,1,东北,33.36,2022-10-01T06:00:00+08:00
95.83,26.98,6.04,50,0.00,1008.95,49.91,59.35,4,多云,31.88,2,东北,34.12,2022-10-01T07:00:00+08:00
88.59,27.95,9.13,61,0.00,1009.53,189.24,100.00,9,阴,32.21,2,东北,33.39,2022-10-01T08:00:00+08:00
83.72,28.39,7.56,60,0.00,1010.00,343.55,64.41,4,多云,32.77,2,东北,32.37,2022-10-01T09:00:00+08:00
80.29,29.36,7.80,59,0.00,1010.60,477.74,64.41,4,多云,33.85,2,东北,32.83,2022-10-01T10:00:00+08:00
75.18,30.38,4.32,84,0.00,1010.39,536.81,42.56,4,多云,35.52,1,东,32.60,2022-10-01T11:00:00+08:00
72.09,31.69,7.18,159,0.00,1009.72,137.24,32.17,0,晴,36.63,2,东南,33.68,2022-10-01T12:00:00+08:00
95.98,26.15,6.01,61,3.10,1008.84,640.80,100.00,14,中雨,30.68,2,东北,32.55,2022-10-01T13:00:00+08:00
86.86,28.78,7.44,83,0.00,1008.50,629.54,93.91,9,阴,33.60,2,东,34.35,2022-10-01T14:00:00+08:00
80.24,30.38,8.66,133,0.00,1007.69,411.42,76.57,4,多云,35.18,2,东南,34.79,2022-10-01T15:00:00+08:00
80.07,30.17,11.57,129,0.00,1007.17,146.97,100.00,9,阴,34.33,2,东南,34.30,2022-10-01T16:00:00+08:00
79.05,30.43,13.62,138,0.00,1007.74,92.96,91.88,9,阴,34.26,3,东南,34.38,2022-10-01T17:00:00+08:00
80.11,29.76,12.41,143,0.00,1007.54,4.83,96.59,9,阴,33.58,3,东南,33.52,2022-10-01T18:00:00+08:00
80.78,29.30,11.03,151,0.00,1007.83,0.00,96.59,9,阴,33.22,2,东南,32.92,2022-10-01T19:00:00+08:00
81.63,28.85,10.26,150,0.00,1008.46,0.00,100.00,9,阴,32.78,2,东南,32.41,2022-10-01T20:00:00+08:00
82.81,28.62,6.46,99,0.00,1008.92,0.00,100.00,9,阴,33.23,2,东,32.45,2022-10-01T21:00:00+08:00
84.48,28.50,7.48,72,0.00,1009.41,0.00,8.79,0,晴,33.00,2,东北,32.87,2022-10-01T22:00:00+08:00
83.73,28.47,10.33,137,0.00,1009.51,0.00,15.52,0,晴,32.38,2,东南,32.52,2022-10-01T23:00:00+08:00
84.26,28.29,10.73,117,0.00,1009.73,0.00,15.52,0,晴,32.09,2,东南,32.39,2022-10-02T00:00:00+08:00
83.79,28.03,11.19,78,0.00,1009.05,0.00,100.00,9,阴,31.60,2,东北,31.73,2022-10-02T01:00:00+08:00
85.14,27.83,9.37,73,0.00,1008.33,0.00,35.97,0,晴,31.74,2,东北,31.86,2022-10-02T02:00:00+08:00
84.82,27.67,7.90,82,0.00,1007.84,0.00,100.00,9,阴,31.75,2,东,31.45,2022-10-02T03:00:00+08:00
85.30,27.46,5.87,48,0.00,1007.60,0.00,100.00,9,阴,31.85,1,东北,31.24,2022-10-02T04:00:00+08:00
87.77,27.40,4.38,51,0.00,1007.92,0.00,100.00,9,阴,32.21,1,东北,32.03,2022-10-02T05:00:00+08:00
89.38,27.21,5.31,39,0.00,1008.08,0.00,100.00,9,阴,31.89,1,东北,32.26,2022-10-02T06:00:00+08:00
86.85,27.34,5.25,37,0.00,1008.98,13.51,100.00,9,阴,31.90,1,东北,31.59,2022-10-02T07:00:00+08:00
82.72,27.79,7.77,47,0.00,1009.49,194.26,100.00,9,阴,31.79,2,东北,30.89,2022-10-02T08:00:00+08:00
79.36,28.68,7.68,53,0.00,1010.29,270.26,96.83,9,阴,32.82,2,东北,31.20,2022-10-02T09:00:00+08:00
77.49,29.34,7.47,53,0.00,1010.51,425.85,96.83,9,阴,33.66,2,东北,31.65,2022-10-02T10:00:00+08:00
71.40,30.67,7.44,59,0.00,1010.18,549.82,100.00,9,阴,35.05,2,东北,31.48,2022-10-02T11:00:00+08:00
69.30,31.48,7.86,99,0.00,1009.56,809.42,0.00,0,晴,35.94,2,东,31.99,2022-10-02T12:00:00+08:00
67.27,32.49,5.38,143,0.00,1008.84,640.80,78.38,4,多云,37.65,1,东南,32.88,2022-10-02T13:00:00+08:00
64.26,33.04,6.10,116,0.00,1008.00,474.09,82.02,9,阴,38.01,2,东南,32.39,2022-10-02T14:00:00+08:00
66.07,33.59,4.10,151,0.00,1007.49,340.57,75.98,4,多云,39.35,1,东南,34.35,2022-10-02T15:00:00+08:00
62.77,33.62,7.38,153,0.00,1007.28,304.55,0.00,0,晴,38.45,2,东南,32.69,2022-10-02T16:00:00+08:00
65.72,32.99,10.03,149,0.00,1007.23,107.39,0.00,0,晴,37.37,2,东南,33.04,2022-10-02T17:00:00+08:00
71.42,31.93,10.33,146,0.00,1007.48,4.46,0.00,0,晴,36.34,2,东南,33.82,2022-10-02T18:00:00+08:00
83.28,29.72,12.41,131,0.00,1008.06,0.00,0.00,0,晴,33.79,3,东南,34.77,2022-10-02T19:00:00+08:00
83.00,29.51,6.66,138,0.00,1008.60,0.00,0.00,0,晴,34.50,2,东南,34.24,2022-10-02T20:00:00+08:00
85.95,29.62,8.24,109,0.00,1009.24,0.00,0.00,0,晴,34.62,2,东南,35.68,2022-10-02T21:00:00+08:00
85.82,29.41,6.41,140,0.00,1009.57,0.00,0.00,0,晴,34.63,2,东南,35.20,2022-10-02T22:00:00+08:00
84.54,29.14,9.39,118,0.00,1009.54,0.00,4.56,0,晴,33.59,2,东南,34.14,2022-10-02T23:00:00+08:00
84.85,28.83,8.48,113,0.00,1009.58,0.00,4.56,0,晴,33.32,2,东南,33.65,2022-10-03T00:00:00+08:00
86.09,28.48,8.56,139,0.00,1009.15,0.00,100.00,9,阴,32.90,2,东南,33.46,2022-10-03T01:00:00+08:00
88.96,28.21,7.66,135,0.00,1008.92,0.00,100.00,9,阴,32.89,2,东南,34.04,2022-10-03T02:00:00+08:00
91.36,27.97,6.00,73,0.00,1008.92,0.00,100.00,9,阴,33.01,2,东北,34.47,2022-10-03T03:00:00+08:00
92.67,27.81,7.28,101,0.00,1008.62,0.00,100.00,9,阴,32.65,2,东,34.64,2022-10-03T04:00:00+08:00
93.52,27.70,5.23,80,0.00,1008.93,0.00,8.74,0,晴,32.92,1,东,34.73,2022-10-03T05:00:00+08:00
94.81,27.37,1.70,73,0.00,1009.25,0.00,100.00,9,阴,33.17,1,东北,34.54,2022-10-03T06:00:00+08:00
95.06,27.67,3.22,26,0.00,1009.69,41.96,100.00,9,阴,33.36,1,东北,35.24,2022-10-03T07:00:00+08:00
87.21,28.80,4.02,29,0.00,1010.39,213.33,0.00,0,晴,34.27,1,东北,34.53,2022-10-03T08:00:00+08:00
81.99,29.70,5.02,35,0.00,1010.80,343.52,0.00,0,晴,34.99,1,东北,34.19,2022-10-03T09:00:00+08:00
74.67,31.21,2.80,169,0.00,1011.03,584.36,0.00,0,晴,36.95,1,南,33.95,2022-10-03T10:00:00+08:00
