time,prec,total_prec,duration,id
2022-06-29T15:10,0.1468096514745308,0.1468096514745308,0,1
2022-06-29T15:20,0.1835120643431635,0.3303217158176943,10,1
2022-06-29T15:30,0.2202144772117962,0.5505361930294905,20,1
2022-06-29T15:40,0.0499285075960679,0.6004647006255585,30,1
2022-06-29T15:50,0.0631546023235031,0.6636193029490616,40,1
2022-06-29T16:00,0.0763806970509383,0.7399999999999999,50,1
2022-06-29T16:10,0.1006571428571428,0.8406571428571427,60,1
2022-06-29T16:20,0.1155142857142857,0.9561714285714283,70,1
2022-06-29T16:30,0.1303714285714285,1.0865428571428568,80,1
2022-06-29T16:40,0.0181071428571428,1.1046499999999997,90,1
2022-06-29T16:50,0.0144857142857142,1.119135714285714,100,1
2022-06-29T17:00,0.0108642857142857,1.1299999999999997,110,1
2022-06-29T17:10,0.0,1.1299999999999997,120,1
2022-06-29T17:20,0.0,1.1299999999999997,130,1
2022-06-29T17:30,0.0,1.1299999999999997,140,1
2022-06-29T17:40,0.0,1.1299999999999997,150,1
2022-06-29T17:50,0.0,1.1299999999999997,160,1
2022-06-29T18:00,0.0,1.1299999999999997,170,1
2022-06-29T18:10,0.0,1.1299999999999997,180,1
2022-06-29T18:20,0.0,1.1299999999999997,190,1
2022-06-29T18:30,0.0,1.1299999999999997,200,1
2022-06-29T18:40,0.0,1.1299999999999997,210,1
2022-06-29T18:50,0.0,1.1299999999999997,220,1
2022-06-29T19:00,0.0,1.1299999999999997,230,1
2022-06-30T12:10,0.4023529411764705,0.4023529411764705,0,2
2022-06-30T12:20,0.5029411764705883,0.9052941176470588,10,2
2022-06-30T12:30,0.6035294117647059,1.5088235294117647,20,2
2022-06-30T12:40,0.0838235294117647,1.5926470588235293,30,2
2022-06-30T12:50,0.0670588235294117,1.659705882352941,40,2
2022-06-30T13:00,0.0502941176470588,1.7099999999999997,50,2
2022-06-30T13:10,0.0,1.7099999999999997,60,2
2022-06-30T13:20,0.0,1.7099999999999997,70,2
2022-06-30T13:30,0.0,1.7099999999999997,80,2
2022-06-30T13:40,0.0,1.7099999999999997,90,2
2022-06-30T13:50,0.0,1.7099999999999997,100,2
2022-06-30T14:00,0.0,1.7099999999999997,110,2
2022-06-30T14:10,0.0,1.7099999999999997,120,2
2022-06-30T14:20,0.0,1.7099999999999997,130,2
2022-06-30T14:30,0.0,1.7099999999999997,140,2
2022-06-30T14:40,0.0,1.7099999999999997,150,2
2022-06-30T14:50,0.0,1.7099999999999997,160,2
2022-06-30T15:00,0.0,1.7099999999999997,170,2
2022-07-01T20:10,0.0287077534791252,0.0287077534791252,0,3
2022-07-01T20:20,0.0358846918489065,0.0645924453280317,10,3
2022-07-01T20:30,0.0430616302186878,0.10765407554671949,20,3
2022-07-01T20:40,0.017312789927104,0.12496686547382349,30,3
2022-07-01T20:50,0.0274486414844267,0.15241550695825018,40,3
2022-07-01T21:00,0.0375844930417494,0.18999999999999959,50,3
2022-07-01T21:10,0.0729547641963426,0.26295476419634217,60,3
2022-07-01T21:20,0.0884504331087584,0.35140519730510056,70,3
2022-07-01T21:30,0.1039461020211741,0.45535129932627466,80,3
2022-07-01T21:40,0.0144369586140519,0.4697882579403266,90,3
2022-07-01T21:50,0.0115495668912415,0.48133782483156806,100,3
2022-07-01T22:00,0.0086621751684311,0.48999999999999916,110,3
2022-07-01T22:10,0.0,0.48999999999999916,120,3
2022-07-01T22:20,0.0,0.48999999999999916,130,3
2022-07-01T22:30,0.0,0.48999999999999916,140,3
2022-07-01T22:40,0.0,0.48999999999999916,150,3
2022-07-01T22:50,0.0,0.48999999999999916,160,3
2022-07-01T23:00,0.0,0.48999999999999916,170,3
2022-07-01T23:10,0.0,0.48999999999999916,180,3
2022-07-01T23:20,0.0,0.48999999999999916,190,3
2022-07-01T23:30,0.0,0.48999999999999916,200,3
2022-07-01T23:40,0.0,0.48999999999999916,210,3
2022-07-01T23:50,0.0,0.48999999999999916,220,3
2022-07-02T00:00,0.0,0.48999999999999916,230,3
2022-07-02T03:10,0.0471809256661991,0.0471809256661991,0,4
2022-07-02T03:20,0.0589761570827489,0.106157082748948,10,4
2022-07-02T03:30,0.0707713884992987,0.1769284712482467,20,4
2022-07-02T03:40,0.073076203833567,0.2500046750818137,30,4
2022-07-02T03:50,0.1343571762505843,0.384361851332398,40,4
2022-07-02T04:00,0.1956381486676016,0.5799999999999996,50,4
2022-07-02T04:10,0.7390832706295459,1.3190832706295454,60,4
2022-07-02T04:20,0.915371206420868,2.2344544770504133,70,4
2022-07-02T04:30,1.0916591422121895,3.326113619262603,80,4
2022-07-02T04:40,0.1516193253072485,3.4777329445698513,90,4
2022-07-02T04:50,0.1212954602457988,3.59902840481565,100,4
2022-07-02T05:00,0.0909715951843491,3.689999999999999,110,4
2022-07-02T05:10,0.0,3.689999999999999,120,4
2022-07-02T05:20,0.0,3.689999999999999,130,4
2022-07-02T05:30,0.0,3.689999999999999,140,4
2022-07-02T05:40,0.0,3.689999999999999,150,4
2022-07-02T05:50,0.0,3.689999999999999,160,4
2022-07-02T06:00,0.0,3.689999999999999,170,4
2022-07-02T06:10,0.0,3.689999999999999,180,4
2022-07-02T06:20,0.0,3.689999999999999,190,4
2022-07-02T06:30,0.0,3.689999999999999,200,4
2022-07-02T06:40,0.0,3.689999999999999,210,4
2022-07-02T06:50,0.0,3.689999999999999,220,4
2022-07-02T07:00,0.0,3.689999999999999,230,4
2022-07-02T09:10,0.216524741081703,0.216524741081703,0,5
2022-07-02T09:20,0.2706559263521289,0.48718066743383187,10,5
