time,prec,total_prec,flow,greenland,water,impervious,area,slope,duration,area_id,outlet_id,id
2022-07-03 16:40:00,0.0,0.037499999999999964,0.0,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,90,870,870,2
2022-07-03 16:50:00,0.0,0.037499999999999964,0.0,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,100,870,870,2
2022-07-03 17:00:00,0.0,0.037499999999999964,0.0,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,110,870,870,2
2022-07-03 17:10:00,0.017936320754716975,0.05543632075471694,0.0,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,120,870,870,2
2022-07-03 17:20:00,0.022420400943396226,0.07785672169811317,0.0,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,130,870,870,2
2022-07-03 17:30:00,0.02690448113207547,0.10476120283018864,0.0,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,140,870,870,2
2022-07-03 17:40:00,0.015406839622641506,0.12016804245283014,3.0369,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,150,870,870,2
2022-07-03 17:50:00,0.026329599056603776,0.14649764150943392,0.0911,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,160,870,870,2
2022-07-03 18:00:00,0.037252358490566045,0.18374999999999997,0.0,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,170,870,870,2
2022-07-03 18:10:00,0.09000105812641082,0.27375105812641076,0.0,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,180,870,870,2
2022-07-03 18:20:00,0.11040702595936794,0.3841580840857787,0.0,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,190,870,870,2
2022-07-03 18:30:00,0.13081299379232508,0.5149710778781038,0.0,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,200,870,870,2
2022-07-03 18:40:00,0.019135069836343107,0.5341061477144469,0.0,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,210,870,870,2
2022-07-03 18:50:00,0.01646797404063205,0.5505741217550789,4.2537,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,220,870,870,2
2022-07-03 19:00:00,0.013800878244920994,0.564375,3.0841,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,230,870,870,2
2022-07-03 19:10:00,0.0068737721021611,0.5712487721021611,3.5899,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,240,870,870,2
2022-07-03 19:20:00,0.005227161100196462,0.5764759332023576,5.5375,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,250,870,870,2
2022-07-03 19:30:00,0.003580550098231825,0.5800564833005893,1.1439,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,260,870,870,2
2022-07-03 19:40:00,0.0004972986247544187,0.5805537819253438,0.7247,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,270,870,870,2
2022-07-03 19:50:00,0.00039783889980353124,0.5809516208251473,0.0,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,280,870,870,2
2022-07-03 20:00:00,0.00029837917485265,0.5812499999999999,0.2797,0.462459195,0.007616975,0.52992383,775583.9086,11.48068523,290,870,870,2
