站点编号,观测时间,存储时间,1小时时段降水量(毫米),日降水量(毫米),当前降水量(毫米),1分钟时段降水量(毫米),5分钟时段降水量(毫米),10分钟时段降水量(毫米),30分钟时段降水量(毫米),降水量累计值(毫米),小时水量1(立方米/小时),信号强度(百分比),浊度1(度),电源电压(伏特),水位1(米),报警信息
0210150002,2022-06-13 13:45:00,2022-06-13 13:45:28,,,1.0,0.0,0.0,,,2299.0,0.000,84,95.0,13.92,0.027,129
0210150002,2022-06-13 13:40:00,2022-06-13 13:40:23,,,1.0,0.0,0.0,0.0,,2299.0,0.000,84,95.3,13.92,0.028,129
0210150002,2022-06-13 13:35:00,2022-06-13 13:35:21,,,1.0,0.0,0.0,,,2299.0,0.000,87,94.9,13.91,0.028,129
0210150002,2022-06-13 13:30:00,2022-06-13 13:30:19,,,1.0,0.0,0.5,0.5,0.5,2299.0,0.000,84,94.9,13.93,0.028,129
0210150002,2022-06-13 13:25:00,2022-06-13 13:25:20,,,0.5,0.0,0.0,,,2298.5,0.000,84,94.6,13.92,0.028,129
0210150002,2022-06-13 13:20:00,2022-06-13 13:20:24,,,0.5,0.0,0.0,0.0,,2298.5,0.000,87,94.8,13.93,0.028,129
0210150002,2022-06-13 13:15:00,2022-06-13 13:15:20,,,0.5,0.0,0.0,,,2298.5,0.000,84,95.0,13.91,0.028,129
0210150002,2022-06-13 13:10:00,2022-06-13 13:10:20,,,0.5,0.0,0.0,0.0,,2298.5,0.000,87,95.3,13.91,0.028,129
0210150002,2022-06-13 13:05:00,2022-06-13 13:05:18,,,0.5,0.0,0.0,,,2298.5,0.000,84,95.6,13.92,0.028,129
0210150002,2022-06-13 13:00:00,2022-06-13 13:00:17,,,0.5,0.0,0.0,0.0,0.0,2298.5,0.000,87,95.4,13.92,0.028,129
0210150002,2022-06-13 12:55:00,2022-06-13 12:55:24,,,0.5,0.0,0.0,,,2298.5,0.000,87,95.9,13.91,0.029,129
0210150002,2022-06-13 12:50:00,2022-06-13 12:50:19,,,0.5,0.0,0.0,0.0,,2298.5,0.000,87,96.7,13.91,0.030,129
0210150002,2022-06-13 12:45:00,2022-06-13 12:45:18,,,0.5,0.0,0.0,,,2298.5,0.000,84,97.8,13.92,0.029,129
0210150002,2022-06-13 12:40:00,2022-06-13 12:40:17,,,0.5,0.0,0.0,0.0,,2298.5,0.000,81,99.2,13.93,0.030,129
0210150002,2022-06-13 12:35:00,2022-06-13 12:35:24,,,0.5,0.0,0.0,,,2298.5,0.000,87,100.9,13.93,0.030,129
0210150002,2022-06-13 12:30:00,2022-06-13 12:30:19,,,0.5,0.0,0.0,0.0,0.0,2298.5,0.000,84,103.8,13.93,0.030,129
0210150002,2022-06-13 12:25:00,2022-06-13 12:25:18,,,0.5,0.0,0.0,,,2298.5,0.000,81,104.2,13.92,0.031,129
0210150002,2022-06-13 12:20:00,2022-06-13 12:20:21,,,0.5,0.0,0.0,0.0,,2298.5,0.000,81,100.9,13.92,0.031,129
0210150002,2022-06-13 12:15:00,2022-06-13 12:15:20,,,0.5,0.0,0.0,,,2298.5,0.000,84,97.3,13.94,0.033,129
0210150002,2022-06-13 12:10:00,2022-06-13 12:10:21,,,0.5,0.0,0.0,0.0,,2298.5,0.000,84,95.1,13.93,0.033,129
0210150002,2022-06-13 12:05:00,2022-06-13 12:05:23,,,0.5,0.0,0.0,,,2298.5,0.000,90,94.0,13.92,0.036,129
0210150002,2022-06-13 12:00:00,2022-06-13 12:00:23,,,0.5,0.0,0.0,0.0,0.5,2298.5,0.000,84,88.9,13.92,0.037,129
0210150002,2022-06-13 11:55:00,2022-06-13 11:55:23,,,0.5,0.0,0.0,,,2298.5,0.000,81,88.0,13.93,0.038,129
0210150002,2022-06-13 11:50:00,2022-06-13 11:50:26,,,0.5,0.0,0.5,0.5,,2298.5,0.000,90,85.6,13.93,0.040,129
0210150002,2022-06-13 11:45:00,2022-06-13 11:45:22,,,0.0,0.0,0.0,,,2298.0,0.000,90,85.0,13.92,0.040,129
0210150002,2022-06-13 11:40:00,2022-06-13 11:40:21,,,0.0,0.0,0.0,0.0,,2298.0,0.010,84,84.2,13.93,0.042,129
0210150002,2022-06-13 11:35:00,2022-06-13 11:35:16,,,0.0,0.0,0.0,,,2298.0,0.030,84,83.9,13.92,0.046,129
0210150002,2022-06-13 11:30:00,2022-06-13 11:30:15,,,0.0,0.0,0.0,0.0,0.0,2298.0,0.050,81,84.4,13.93,0.050,129
0210150002,2022-06-13 11:25:00,2022-06-13 11:25:18,,,0.0,0.0,0.0,,,2298.0,0.120,90,86.1,13.93,0.053,129
0210150002,2022-06-13 11:20:00,2022-06-13 11:20:21,,,0.0,0.0,0.0,0.0,,2298.0,0.214,93,87.3,13.93,0.057,129
0210150002,2022-06-13 11:15:00,2022-06-13 11:15:25,,,0.0,0.0,0.0,,,2298.0,0.435,84,66.5,13.93,0.063,129
0210150002,2022-06-13 11:10:00,2022-06-13 11:10:19,,,0.0,0.0,0.0,0.0,,2298.0,0.285,84,65.8,13.93,0.060,129
0210150002,2022-06-13 11:05:00,2022-06-13 11:05:20,,,0.0,0.0,0.0,,,2298.0,0.120,81,54.0,14.13,0.053,129
0210150002,2022-06-13 11:00:00,2022-06-13 11:00:17,,,0.0,0.0,0.0,0.0,0.0,2298.0,0.435,90,74.2,13.93,0.063,129
0210150002,2022-06-13 10:55:00,2022-06-13 10:55:22,,,0.0,0.0,0.0,,,2298.0,0.050,71,71.5,14.13,0.050,129
0210150002,2022-06-13 10:50:00,2022-06-13 10:50:19,,,0.0,0.0,0.0,0.0,,2298.0,0.214,84,167.3,14.00,0.057,129
0210150002,2022-06-13 10:45:00,2022-06-13 10:45:17,,,0.0,0.0,0.0,,,2298.0,0.000,84,122.7,13.93,0.024,129
0210150002,2022-06-13 10:40:00,2022-06-13 10:40:19,,,0.0,0.0,0.0,0.0,,2298.0,0.000,84,122.7,13.93,0.024,129
0210150002,2022-06-13 10:35:00,2022-06-13 10:35:16,,,0.0,0.0,0.0,,,2298.0,0.000,90,121.4,13.90,0.023,129
0210150002,2022-06-13 10:30:00,2022-06-13 10:30:18,,,0.0,0.0,0.0,0.0,0.0,2298.0,0.000,84,120.8,13.91,0.023,129
0210150002,2022-06-13 10:25:00,2022-06-13 10:25:22,,,0.0,0.0,0.0,,,2298.0,0.000,84,120.1,13.93,0.024,129
0210150002,2022-06-13 10:20:00,2022-06-13 10:20:20,,,0.0,0.0,0.0,0.0,,2298.0,0.000,84,120.2,13.91,0.024,129
0210150002,2022-06-13 10:15:00,2022-06-13 10:15:21,,,0.0,0.0,0.0,,,2298.0,0.000,84,120.9,13.93,0.023,129
