站点编号,观测时间,存储时间,1小时时段降水量(毫米),日降水量(毫米),当前降水量(毫米),1分钟时段降水量(毫米),5分钟时段降水量(毫米),10分钟时段降水量(毫米),30分钟时段降水量(毫米),降水量累计值(毫米),小时水量1(立方米/小时),信号强度(百分比),浊度1(度),电源电压(伏特),水位1(米),报警信息
0210150002,2022-01-16 17:50:00,2022-01-16 17:50:20,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,42.8,13.82,0.000,129
0210150002,2022-01-16 17:45:00,2022-01-16 17:45:23,,,0.0,0.0,0.0,,,973.0,0.000,59,42.7,13.87,0.000,129
0210150002,2022-01-16 17:40:00,2022-01-16 17:40:21,,,0.0,0.0,0.0,0.0,,973.0,0.000,90,42.5,13.91,0.000,129
0210150002,2022-01-16 17:35:00,2022-01-16 17:35:23,,,0.0,0.0,0.0,,,973.0,0.000,93,42.5,13.97,0.000,129
0210150002,2022-01-16 17:30:00,2022-01-16 17:30:23,,,0.0,0.0,0.0,0.0,0.0,973.0,0.000,87,42.6,13.96,0.000,129
0210150002,2022-01-16 17:25:00,2022-01-16 17:25:21,,,0.0,0.0,0.0,,,973.0,0.000,90,42.6,13.93,0.000,129
0210150002,2022-01-16 17:20:00,2022-01-16 17:20:23,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,42.6,14.14,0.000,129
0210150002,2022-01-16 17:15:00,2022-01-16 17:15:30,,,0.0,0.0,0.0,,,973.0,0.000,90,42.6,14.14,0.000,129
0210150002,2022-01-16 17:10:00,2022-01-16 17:10:21,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,42.5,13.93,0.000,129
0210150002,2022-01-16 17:05:00,2022-01-16 17:05:22,,,0.0,0.0,0.0,,,973.0,0.000,87,42.4,13.93,0.000,129
0210150002,2022-01-16 17:00:00,2022-01-16 17:00:23,,,0.0,0.0,0.0,0.0,0.0,973.0,0.000,90,42.3,13.93,0.000,129
0210150002,2022-01-16 16:55:00,2022-01-16 16:55:23,,,0.0,0.0,0.0,,,973.0,0.000,87,42.1,13.93,0.000,129
0210150002,2022-01-16 16:50:00,2022-01-16 16:50:22,,,0.0,0.0,0.0,0.0,,973.0,0.000,93,41.8,14.07,0.000,129
0210150002,2022-01-16 16:45:00,2022-01-16 16:45:22,,,0.0,0.0,0.0,,,973.0,0.000,78,41.8,13.93,0.000,129
0210150002,2022-01-16 16:40:00,2022-01-16 16:40:25,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,41.5,13.93,0.000,129
0210150002,2022-01-16 16:35:00,2022-01-16 16:35:22,,,0.0,0.0,0.0,,,973.0,0.000,87,41.4,14.16,0.000,129
0210150002,2022-01-16 16:30:00,2022-01-16 16:30:24,,,0.0,0.0,0.0,0.0,0.0,973.0,0.000,93,41.6,13.93,0.000,129
0210150002,2022-01-16 16:25:00,2022-01-16 16:25:25,,,0.0,0.0,0.0,,,973.0,0.000,56,41.5,13.93,0.000,129
0210150002,2022-01-16 16:20:00,2022-01-16 16:20:24,,,0.0,0.0,0.0,0.0,,973.0,0.000,90,41.0,13.92,0.000,129
0210150002,2022-01-16 16:15:00,2022-01-16 16:15:21,,,0.0,0.0,0.0,,,973.0,0.000,87,41.0,13.93,0.000,129
0210150002,2022-01-16 16:10:00,2022-01-16 16:10:24,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,41.2,13.93,0.000,129
0210150002,2022-01-16 16:05:00,2022-01-16 16:05:24,,,0.0,0.0,0.0,,,973.0,0.000,78,40.9,13.93,0.000,129
0210150002,2022-01-16 16:00:00,2022-01-16 16:00:23,,,0.0,0.0,0.0,0.0,0.0,973.0,0.000,81,40.6,13.96,0.000,129
0210150002,2022-01-16 15:55:00,2022-01-16 15:55:24,,,0.0,0.0,0.0,,,973.0,0.000,90,40.7,13.93,0.000,129
0210150002,2022-01-16 15:50:00,2022-01-16 15:50:21,,,0.0,0.0,0.0,0.0,,973.0,0.000,78,41.2,14.06,0.000,129
0210150002,2022-01-16 15:45:00,2022-01-16 15:45:23,,,0.0,0.0,0.0,,,973.0,0.000,90,41.1,13.93,0.000,129
0210150002,2022-01-16 15:40:00,2022-01-16 15:40:22,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,41.0,13.93,0.000,129
0210150002,2022-01-16 15:35:00,2022-01-16 15:35:25,,,0.0,0.0,0.0,,,973.0,0.000,87,40.8,13.92,0.000,129
0210150002,2022-01-16 15:30:00,2022-01-16 15:30:20,,,0.0,0.0,0.0,0.0,0.0,973.0,0.000,87,40.7,13.93,0.000,129
0210150002,2022-01-16 15:25:00,2022-01-16 15:25:21,,,0.0,0.0,0.0,,,973.0,0.000,90,40.3,13.93,0.000,129
0210150002,2022-01-16 15:20:00,2022-01-16 15:20:23,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,40.2,13.92,0.000,129
0210150002,2022-01-16 15:15:00,2022-01-16 15:15:22,,,0.0,0.0,0.0,,,973.0,0.000,87,40.1,13.93,0.000,129
0210150002,2022-01-16 15:10:00,2022-01-16 15:10:20,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,40.2,13.93,0.000,129
0210150002,2022-01-16 15:05:00,2022-01-16 15:05:24,,,0.0,0.0,0.0,,,973.0,0.000,90,40.0,13.93,0.000,129
0210150002,2022-01-16 15:00:00,2022-01-16 15:00:23,,,0.0,0.0,0.0,0.0,0.0,973.0,0.000,87,39.6,13.93,0.000,129
0210150002,2022-01-16 14:55:00,2022-01-16 14:55:22,,,0.0,0.0,0.0,,,973.0,0.000,53,39.5,13.93,0.000,129
0210150002,2022-01-16 14:50:00,2022-01-16 14:50:22,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,39.5,13.93,0.000,129
0210150002,2022-01-16 14:45:00,2022-01-16 14:45:23,,,0.0,0.0,0.0,,,973.0,0.000,87,39.2,13.92,0.000,129
0210150002,2022-01-16 14:40:00,2022-01-16 14:40:23,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,39.5,13.92,0.000,129
0210150002,2022-01-16 14:35:00,2022-01-16 14:35:24,,,0.0,0.0,0.0,,,973.0,0.000,87,39.4,13.93,0.000,129
0210150002,2022-01-16 14:30:00,2022-01-16 14:30:26,,,0.0,0.0,0.0,0.0,0.0,973.0,0.000,87,39.5,13.93,0.000,129
0210150002,2022-01-16 14:25:00,2022-01-16 14:25:24,,,0.0,0.0,0.0,,,973.0,0.000,87,39.8,13.93,0.000,129
0210150002,2022-01-16 14:20:00,2022-01-16 14:20:22,,,0.0,0.0,0.0,0.0,,973.0,0.000,78,39.5,13.93,0.000,129
0210150002,2022-01-16 14:15:00,2022-01-16 14:15:24,,,0.0,0.0,0.0,,,973.0,0.000,93,39.3,13.93,0.000,129
0210150002,2022-01-16 14:10:00,2022-01-16 14:10:23,,,0.0,0.0,0.0,0.0,,973.0,0.000,84,39.2,14.29,0.000,129
0210150002,2022-01-16 14:05:00,2022-01-16 14:05:23,,,0.0,0.0,0.0,,,973.0,0.000,87,39.4,13.92,0.000,129
0210150002,2022-01-16 14:00:00,2022-01-16 14:00:23,,,0.0,0.0,0.0,0.0,0.0,973.0,0.000,87,39.3,13.94,0.000,129
0210150002,2022-01-16 13:55:00,2022-01-16 13:55:25,,,0.0,0.0,0.0,,,973.0,0.000,90,39.2,13.92,0.000,129
0210150002,2022-01-16 13:50:00,2022-01-16 13:50:23,,,0.0,0.0,0.0,0.0,,973.0,0.000,90,39.0,14.31,0.000,129
0210150002,2022-01-16 13:45:00,2022-01-16 13:45:23,,,0.0,0.0,0.0,,,973.0,0.000,87,39.7,13.93,0.000,129
0210150002,2022-01-16 13:40:00,2022-01-16 13:40:28,,,0.0,0.0,0.0,0.0,,973.0,0.000,90,39.5,13.93,0.000,129
0210150002,2022-01-16 13:35:00,2022-01-16 13:35:21,,,0.0,0.0,0.0,,,973.0,0.000,78,39.0,13.93,0.000,129
0210150002,2022-01-16 13:30:00,2022-01-16 13:30:22,,,0.0,0.0,0.0,0.0,0.0,973.0,0.000,87,39.0,13.93,0.000,129
0210150002,2022-01-16 13:25:00,2022-01-16 13:25:22,,,0.0,0.0,0.0,,,973.0,0.000,87,39.4,13.94,0.000,129
0210150002,2022-01-16 13:20:00,2022-01-16 13:20:21,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,39.6,13.93,0.000,129
0210150002,2022-01-16 13:15:00,2022-01-16 13:15:23,,,0.0,0.0,0.0,,,973.0,0.000,56,39.4,13.94,0.000,129
0210150002,2022-01-16 13:10:00,2022-01-16 13:10:23,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,38.9,13.93,0.000,129
0210150002,2022-01-16 13:05:00,2022-01-16 13:05:22,,,0.0,0.0,0.0,,,973.0,0.000,84,39.5,13.93,0.000,129
0210150002,2022-01-16 13:00:00,2022-01-16 13:00:24,,,0.0,0.0,0.0,0.0,0.0,973.0,0.000,90,39.8,13.92,0.000,129
0210150002,2022-01-16 12:55:00,2022-01-16 12:55:22,,,0.0,0.0,0.0,,,973.0,0.000,87,40.0,13.93,0.000,129
0210150002,2022-01-16 12:50:00,2022-01-16 12:50:31,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,40.1,14.33,0.000,129
0210150002,2022-01-16 12:45:00,2022-01-16 12:45:22,,,0.0,0.0,0.0,,,973.0,0.000,87,39.6,13.92,0.000,129
0210150002,2022-01-16 12:40:00,2022-01-16 12:40:23,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,39.8,13.93,0.000,129
0210150002,2022-01-16 12:35:00,2022-01-16 12:35:22,,,0.0,0.0,0.0,,,973.0,0.000,81,39.7,14.05,0.000,129
0210150002,2022-01-16 12:30:00,2022-01-16 12:30:21,,,0.0,0.0,0.0,0.0,0.0,973.0,0.000,81,39.2,13.96,0.000,129
0210150002,2022-01-16 12:25:00,2022-01-16 12:25:22,,,0.0,0.0,0.0,,,973.0,0.000,56,39.6,13.96,0.000,129
0210150002,2022-01-16 12:20:00,2022-01-16 12:20:23,,,0.0,0.0,0.0,0.0,,973.0,0.000,93,38.9,14.34,0.000,129
0210150002,2022-01-16 12:15:00,2022-01-16 12:15:24,,,0.0,0.0,0.0,,,973.0,0.000,87,38.8,14.30,0.000,129
0210150002,2022-01-16 12:10:00,2022-01-16 12:10:22,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,38.6,14.54,0.000,129
0210150002,2022-01-16 12:05:00,2022-01-16 12:05:20,,,0.0,0.0,0.0,,,973.0,0.000,87,38.8,14.29,0.000,129
0210150002,2022-01-16 12:00:00,2022-01-16 12:00:17,,,0.0,0.0,0.0,0.0,0.0,973.0,0.000,78,38.6,14.33,0.000,129
0210150002,2022-01-16 11:55:00,2022-01-16 11:55:23,,,0.0,0.0,0.0,,,973.0,0.000,56,38.5,13.93,0.000,129
0210150002,2022-01-16 11:50:00,2022-01-16 11:50:21,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,38.7,13.96,0.000,129
0210150002,2022-01-16 11:45:00,2022-01-16 11:45:21,,,0.0,0.0,0.0,,,973.0,0.000,93,38.7,13.94,0.000,129
0210150002,2022-01-16 11:40:00,2022-01-16 11:40:22,,,0.0,0.0,0.0,0.0,,973.0,0.000,87,38.5,14.33,0.000,129
0210150002,2022-01-16 11:35:00,2022-01-16 11:35:21,,,0.0,0.0,0.0,,,973.0,0.000,93,38.8,13.99,0.000,129
0210150002,2022-01-16 11:30:00,2022-01-16 11:30:22,,,0.0,0.0,0.0,0.0,0.0,973.0,0.000,87,38.4,14.10,0.000,129
0210150002,2022-01-16 11:25:00,2022-01-16 11:25:20,,,0.0,0.0,0.0,,,973.0,0.000,87,38.4,14.16,0.000,129
